"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.1000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,     0.000
         0.083,         237,         0,         0,  2.165100    , 0.8333334E-01,  0.000000    ,  117.1168    ,  114.9155    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2.201299    , -2.201294    , 0.5319353E-05,  267.1555    ,     0.000
         0.167,         410,         0,         0,  1.440013    , 0.1666667    ,  0.000000    ,  50.05857    ,  894.0203    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  843.9617    ,  843.9617    ,-0.6020069E-05,  1111.117    ,    -0.000
         0.250,         683,         0,         0, 0.9641972    , 0.2500000    ,  0.000000    ,  28.38796    ,  1941.723    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1913.335    ,  1913.334    ,-0.2305880E-03,  3024.452    ,    -0.000
         0.333,        1020,         0,         0, 0.8410505    , 0.3333333    ,  0.000000    ,  18.23538    ,  2845.944    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  2827.709    ,  2827.709    ,-0.5433336E-04,  5852.161    ,    -0.000
         0.417,        1397,         0,         0, 0.7607873    , 0.4166667    ,  0.000000    ,  12.18820    ,  4760.676    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  4748.488    ,  4748.488    , 0.2403818E-03,  10600.65    ,     0.000
         0.500,        1812,         0,         0, 0.6917828    , 0.5000000    ,  0.000000    ,  8.505018    ,  8617.997    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  8609.492    ,  8609.492    , 0.3322810E-03,  19210.14    ,     0.000
         0.583,        2284,         0,         0, 0.5350802    , 0.5833334    ,  0.000000    ,  6.172405    ,  20684.88    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  20678.71    ,  20678.71    , 0.6145537E-02,  39888.86    ,     0.000
         0.667,        2901,         0,         0, 0.4529176    , 0.6666667    ,  0.000000    ,  4.686150    ,  35329.57    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  35324.88    ,  35324.87    ,-0.9776531E-02,  75213.73    ,    -0.000
         0.750,        3586,         0,         0, 0.4274778    , 0.7500000    ,  0.000000    ,  3.542821    ,  43223.41    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  43219.87    ,  43219.89    , 0.2137823E-01,  118433.6    ,     0.000
         0.833,        4296,         0,         0, 0.4196233    , 0.8333334    ,  0.000000    ,  2.729197    ,  46903.21    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  46900.48    ,  46900.46    ,-0.1624094E-01,  165334.1    ,    -0.000
         0.917,        5014,         0,         0, 0.4175357    , 0.9166667    ,  0.000000    ,  10415.36    ,  48115.10    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  37699.74    ,  37699.77    , 0.3011371E-01,  203033.8    ,     0.000
         1.000,        5733,         0,         0, 0.4184220    ,  1.000000    , 0.2239028E-03,  39170.82    ,  48315.40    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  9144.579    ,  9144.578    ,-0.1330165E-02,  212178.4    ,    -0.000
         1.083,        6447,         0,         0, 0.4241346    ,  1.083333    ,  0.000000    ,  46632.74    ,  47549.27    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  916.5303    ,  916.4844    ,-0.4591370E-01,  213094.9    ,    -0.000
         1.167,        7143,         0,         0, 0.4404303    ,  1.166667    ,  0.000000    ,  47729.60    ,  45066.17    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2663.434    , -2663.422    , 0.1198196E-01,  210431.5    ,     0.000
         1.250,        7810,         0,         0, 0.4639839    ,  1.250000    ,  0.000000    ,  46717.80    ,  41100.72    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -5617.081    , -5617.094    ,-0.1302719E-01,  204814.4    ,    -0.000
         1.333,        8431,         0,         0, 0.5113049    ,  1.333333    ,  0.000000    ,  43997.13    ,  35894.83    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -8102.298    , -8102.266    , 0.3262329E-01,  196712.1    ,     0.000
         1.417,        8983,         0,         0, 0.5862263    ,  1.416667    ,  0.000000    ,  40099.54    ,  30033.02    , 0.7433506E-06,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -10066.52    , -10066.53    ,-0.1010820E-01,  186645.6    ,    -0.000
         1.500,        9462,         0,         0, 0.6496178    ,  1.500000    ,  0.000000    ,  35249.72    ,  24489.05    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -10760.67    , -10760.66    , 0.1182175E-01,  175884.9    ,     0.000
         1.583,        9924,         0,         0, 0.6539241    ,  1.583333    ,  0.000000    ,  30204.34    ,  19374.09    , 0.4795070E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -10830.26    , -10830.28    ,-0.2405281E-01,  165054.7    ,    -0.000
         1.667,       10383,         0,         0, 0.6566638    ,  1.666667    ,  0.000000    ,  25437.48    ,  15929.58    , 0.6516297E-05,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -9507.903    , -9507.859    , 0.4380306E-01,  155546.8    ,     0.000
         1.750,       10840,         0,         0, 0.6594855    ,  1.749635    ,  0.000000    ,  21088.83    ,  13440.12    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -7648.711    , -7648.719    ,-0.7896423E-02,  147898.1    ,    -0.000
         1.833,       11295,         0,         0, 0.6614406    ,  1.831502    ,  0.000000    ,  17702.63    ,  11367.18    , 0.5766267E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -6335.449    , -6335.453    ,-0.4035342E-02,  141562.6    ,    -0.000
         1.917,       11749,         0,         0, 0.6625922    ,  1.916483    ,  0.000000    ,  15055.67    ,  10403.69    , 0.6442354E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -4651.975    , -4652.000    ,-0.2541396E-01,  136910.6    ,    -0.000
         2.000,       12202,         0,         0, 0.6635230    ,  1.987491    ,  0.000000    ,  12940.90    ,  9655.817    , 0.7975497E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -3285.083    , -3285.078    , 0.4476194E-02,  133625.5    ,     0.000
         2.083,       12655,         0,         0, 0.6648303    ,  2.041943    ,  0.000000    ,  11513.70    ,  8768.160    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2745.537    , -2745.531    , 0.5718231E-02,  130880.0    ,     0.000
         2.167,       13107,         0,         0, 0.6666792    ,  2.099926    ,  0.000000    ,  10506.67    ,  7496.641    , 0.3827676E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -3010.027    , -3010.016    , 0.1175152E-01,  127870.0    ,     0.000
         2.250,       13557,         0,         0, 0.6679724    ,  2.099926    ,  0.000000    ,  9624.432    ,  6515.223    , 0.5552746E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -3109.209    , -3109.211    ,-0.1669669E-02,  124760.8    ,    -0.000
         2.333,       14007,         0,         0, 0.6689720    ,  2.099926    ,  0.000000    ,  8682.123    ,  5946.940    , 0.7979663E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2735.183    , -2735.195    ,-0.1254590E-01,  122025.6    ,    -0.000
         2.417,       14456,         0,         0, 0.6697994    ,  2.099926    ,  0.000000    ,  7741.166    ,  5407.229    , 0.8953811E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2333.937    , -2333.922    , 0.1519479E-01,  119691.7    ,     0.000
         2.500,       14904,         0,         0, 0.6707710    ,  2.099926    ,  0.000000    ,  6943.856    ,  4895.078    , 0.2246443E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2048.778    , -2048.734    , 0.4352337E-01,  117642.9    ,     0.000
         2.583,       15352,         0,         0, 0.6720106    ,  2.099926    ,  0.000000    ,  6296.176    ,  4219.784    , 0.2339507E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2076.393    , -2076.430    ,-0.3709286E-01,  115566.5    ,    -0.000
         2.667,       15799,         0,         0, 0.6729855    ,  2.099926    ,  0.000000    ,  5747.345    ,  3680.498    , 0.1601852E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2066.847    , -2066.844    , 0.3074614E-02,  113499.7    ,     0.000
         2.750,       16245,         0,         0, 0.6740954    ,  2.099926    ,  0.000000    ,  5225.478    ,  3167.399    , 0.1722680E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2058.079    , -2058.086    ,-0.7001747E-02,  111441.6    ,    -0.000
         2.833,       16691,         0,         0, 0.6756195    ,  2.099926    ,  0.000000    ,  4709.957    ,  2478.930    , 0.2001536E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2231.027    , -2231.039    ,-0.1221287E-01,  109210.5    ,    -0.000
         2.917,       17136,         0,         0, 0.6772503    ,  2.099926    ,  0.000000    ,  4210.734    ,  1841.283    , 0.1673819E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2369.452    , -2369.461    ,-0.9434211E-02,  106841.1    ,    -0.000
         3.000,       17579,         0,         0, 0.6787193    ,  2.099926    ,  0.000000    ,  3727.685    ,  1354.911    , 0.1106129E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2372.774    , -2372.758    , 0.1584123E-01,  104468.3    ,     0.000
