"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.083,              ,  0.000000    ,  117.1007    ,  227.2246    ,  0.000000    ,  227.2246    ,  117.1007    ,  110.1239    ,  113.1129    ,  2.989038    , 0.8680855    ,  344.3253    ,  382.4697    ,  344.3253    ,  2.989038    , 0.7815096    , 0.8680855    
         0.167,              ,  0.000000    ,  50.06649    ,  1085.838    ,  0.000000    ,  1085.838    ,  50.06649    ,  1035.772    ,  1042.090    ,  6.318592    , 0.5562608    ,  1135.904    ,  1424.560    ,  1480.230    ,  9.307630    , 0.6287962    , 0.6287962    
         0.250,              ,  0.000000    ,  28.39138    ,  2062.083    ,  0.000000    ,  2062.083    ,  28.39138    ,  2033.692    ,  2035.186    ,  1.494145    , 0.7147396E-01,  2090.475    ,  3459.746    ,  3570.704    ,  10.80177    , 0.3025110    , 0.3025110    
         0.333,              ,  0.000000    ,  18.23713    ,  3078.119    ,  0.000000    ,  3078.119    ,  18.23713    ,  3059.882    ,  3064.208    ,  4.326155    , 0.1397176    ,  3096.356    ,  6523.954    ,  6667.060    ,  15.12793    , 0.2269055    , 0.2269055    
         0.417,              ,  0.000000    ,  12.18917    ,  5092.859    ,  0.000000    ,  5092.859    ,  12.18917    ,  5080.670    ,  5089.403    ,  8.733132    , 0.1710685    ,  5105.048    ,  11613.36    ,  11772.11    ,  23.86106    , 0.2026915    , 0.2026915    
         0.500,              ,  0.000000    ,  8.505577    ,  9074.539    ,  0.000000    ,  9074.539    ,  8.505577    ,  9066.033    ,  9079.748    ,  13.71503    , 0.1509959    ,  9083.045    ,  20693.10    ,  20855.15    ,  37.57609    , 0.1801765    , 0.1801765    
         0.583,              ,  0.000000    ,  6.172406    ,  21531.19    ,  0.000000    ,  21531.19    ,  6.172406    ,  21525.02    ,  21554.47    ,  29.45262    , 0.1367513    ,  21537.37    ,  42247.58    ,  42392.52    ,  67.02871    , 0.1581145    , 0.1581145    
         0.667,              ,  0.000000    ,  4.686618    ,  35760.94    ,  0.000000    ,  35760.94    ,  4.686618    ,  35756.25    ,  35762.81    ,  6.563771    , 0.1835218E-01,  35765.62    ,  78010.39    ,  78158.14    ,  73.59248    , 0.9415843E-01, 0.9415843E-01
         0.750,              ,  0.000000    ,  3.543140    ,  43437.08    ,  0.000000    ,  43437.08    ,  3.543140    ,  43433.54    ,  43439.71    ,  6.168155    , 0.1419905E-01,  43440.63    ,  121450.1    ,  121598.8    ,  79.76063    , 0.6559329E-01, 0.6559329E-01
         0.833,              ,  0.000000    ,  2.729378    ,  46974.21    ,  0.000000    ,  46974.21    ,  2.729378    ,  46971.48    ,  46971.62    , 0.1376579    , 0.2930329E-03,  46976.94    ,  168421.7    ,  168575.7    ,  79.89829    , 0.4739609E-01, 0.4739609E-01
         0.917,              ,  0.000000    ,  10976.30    ,  48133.65    ,  0.000000    ,  48133.65    ,  10976.30    ,  37157.36    ,  37158.50    ,  1.142359    , 0.1932601E-02,  59109.95    ,  205580.2    ,  227685.7    ,  81.04065    , 0.3559322E-01, 0.3559322E-01
         1.000,              , 0.2588516E-03,  37241.33    ,  48309.80    ,  0.000000    ,  48309.80    ,  37241.33    ,  11068.47    ,  11069.01    , 0.5416113    , 0.6330849E-03,  85551.12    ,  216649.2    ,  313236.8    ,  81.58226    , 0.2604492E-01, 0.2604492E-01
         1.083,              ,  0.000000    ,  45881.30    ,  47505.66    ,  0.000000    ,  47505.66    ,  45881.30    ,  1624.366    ,  1623.157    , -1.209244    ,-0.1294874E-02,  93386.96    ,  218272.4    ,  406623.7    ,  80.37302    , 0.1976594E-01, 0.1976594E-01
         1.167,              ,  0.000000    ,  47520.94    ,  44944.54    ,  0.000000    ,  44944.54    ,  47520.94    , -2576.395    , -2580.394    , -3.999025    ,-0.4324885E-02,  92465.48    ,  215692.0    ,  499089.2    ,  76.37399    , 0.1530267E-01, 0.1530267E-01
         1.250,              ,  0.000000    ,  46736.13    ,  40928.72    ,  0.000000    ,  40928.72    ,  46736.13    , -5807.405    , -5811.981    , -4.575970    ,-0.5219846E-02,  87664.85    ,  209880.0    ,  586754.1    ,  71.79802    , 0.1223648E-01, 0.1223648E-01
         1.333,              ,  0.000000    ,  44185.63    ,  35641.67    ,  0.000000    ,  35641.67    ,  44185.63    , -8543.959    , -8548.667    , -4.707083    ,-0.5896582E-02,  79827.30    ,  201331.3    ,  666581.4    ,  67.09094    , 0.1006493E-01, 0.1006493E-01
         1.417,              ,  0.000000    ,  40442.43    ,  29821.39    ,  0.000000    ,  29821.39    ,  40442.43    , -10621.05    , -10624.55    , -3.503405    ,-0.4986072E-02,  70263.82    ,  190706.8    ,  736845.2    ,  63.58754    , 0.8629701E-02, 0.8629701E-02
         1.500,              ,  0.000000    ,  35737.28    ,  24308.29    ,  0.000000    ,  24308.29    ,  35737.28    , -11428.99    , -11431.75    , -2.763143    ,-0.4601743E-02,  60045.57    ,  179275.0    ,  796890.8    ,  60.82439    , 0.7632715E-02, 0.7632715E-02
         1.583,              ,  0.000000    ,  30732.89    ,  19224.34    ,  0.000000    ,  19224.34    ,  30732.89    , -11508.54    , -11519.35    , -10.81055    ,-0.2163961E-01,  49957.23    ,  167755.7    ,  846848.0    ,  50.01384    , 0.5905882E-02, 0.5905882E-02
         1.667,              ,  0.000000    ,  26074.76    ,  15858.81    ,  0.000000    ,  15858.81    ,  26074.76    , -10215.95    , -10220.86    , -4.916138    ,-0.1172363E-01,  41933.57    ,  157534.8    ,  888781.6    ,  45.09771    , 0.5074104E-02, 0.5074104E-02
         1.750,              ,  0.000000    ,  21941.18    ,  13353.72    ,  0.000000    ,  13353.72    ,  21941.18    , -8587.460    , -8594.264    , -6.804186    ,-0.1927810E-01,  35294.91    ,  148940.6    ,  924076.5    ,  38.29352    , 0.4143978E-02, 0.4143978E-02
         1.833,              ,  0.000000    ,  18590.88    ,  11327.86    ,  0.000000    ,  11327.86    ,  18590.88    , -7263.025    , -7265.373    , -2.347704    ,-0.7846935E-02,  29918.74    ,  141675.2    ,  953995.2    ,  35.94582    , 0.3767924E-02, 0.3767924E-02
         1.917,              ,  0.000000    ,  15947.00    ,  10378.10    ,  0.000000    ,  10378.10    ,  15947.00    , -5568.907    , -5570.445    , -1.538408    ,-0.5843883E-02,  26325.10    ,  136104.7    ,  980320.3    ,  34.40741    , 0.3509813E-02, 0.3509813E-02
         2.000,              ,  0.000000    ,  13758.45    ,  9635.127    ,  0.000000    ,  9635.127    ,  13758.45    , -4123.319    , -4124.295    ,-0.9758716    ,-0.4171537E-02,  23393.57    ,  131980.4    ,  1003714.    ,  33.43154    , 0.3330783E-02, 0.3330783E-02
         2.083,              ,  0.000000    ,  12175.04    ,  8736.176    ,  0.000000    ,  8736.176    ,  12175.04    , -3438.868    , -3441.576    , -2.707959    ,-0.1294979E-01,  20911.22    ,  128538.9    ,  1024625.    ,  30.72358    , 0.2998519E-02, 0.2998519E-02
         2.167,              ,  0.000000    ,  11047.27    ,  7457.637    ,  0.000000    ,  7457.637    ,  11047.27    , -3589.636    , -3592.941    , -3.304319    ,-0.1785645E-01,  18504.91    ,  124945.9    ,  1043130.    ,  27.41926    , 0.2628556E-02, 0.2628556E-02
         2.250,              ,  0.000000    ,  10145.33    ,  6496.872    ,  0.000000    ,  6496.872    ,  10145.33    , -3648.459    , -3649.802    , -1.343769    ,-0.8074466E-02,  16642.20    ,  121296.1    ,  1059772.    ,  26.07549    , 0.2460480E-02, 0.2460480E-02
         2.333,              ,  0.000000    ,  9264.199    ,  5927.999    ,  0.000000    ,  5927.999    ,  9264.199    , -3336.201    , -3337.989    , -1.787734    ,-0.1176745E-01,  15192.20    ,  117958.1    ,  1074964.    ,  24.28776    , 0.2259401E-02, 0.2259401E-02
