"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.083,              ,  0.000000    ,  117.0904    ,  108.5125    ,  0.000000    ,  108.5125    ,  117.0904    , -8.577928    , -7.122704    ,  1.455224    , 0.6450378    ,  225.6030    ,  262.2341    ,  225.6030    ,  1.455224    , 0.5549334    , 0.6450378    
         0.167,              ,  0.000000    ,  50.06722    ,  329.6512    ,  0.000000    ,  329.6512    ,  50.06722    ,  279.5839    ,  281.6443    ,  2.060355    , 0.5426008    ,  379.7184    ,  543.8784    ,  605.3213    ,  3.515579    , 0.5807790    , 0.5807790    
         0.250,              ,  0.000000    ,  28.40126    ,  763.8748    ,  0.000000    ,  763.8748    ,  28.40126    ,  735.4736    ,  737.7621    ,  2.288546    , 0.2888572    ,  792.2761    ,  1281.641    ,  1397.597    ,  5.804126    , 0.4152931    , 0.4152931    
         0.333,              ,  0.000000    ,  18.23996    ,  1412.527    ,  0.000000    ,  1412.527    ,  18.23996    ,  1394.287    ,  1396.381    ,  2.094269    , 0.1463739    ,  1430.767    ,  2678.022    ,  2828.364    ,  7.898395    , 0.2792566    , 0.2792566    
         0.417,              ,  0.000000    ,  12.18956    ,  1907.328    ,  0.000000    ,  1907.328    ,  12.18956    ,  1895.138    ,  1896.010    , 0.8722331    , 0.4544023E-01,  1919.517    ,  4574.032    ,  4747.881    ,  8.770628    , 0.1847272    , 0.1847272    
         0.500,              ,  0.000000    ,  8.505027    ,  2245.064    ,  0.000000    ,  2245.064    ,  8.505027    ,  2236.559    ,  2238.557    ,  1.997895    , 0.8865471E-01,  2253.569    ,  6812.589    ,  7001.450    ,  10.76852    , 0.1538042    , 0.1538042    
         0.583,              ,  0.000000    ,  6.172174    ,  2732.662    ,  0.000000    ,  2732.662    ,  6.172174    ,  2726.489    ,  2729.341    ,  2.851785    , 0.1041241    ,  2738.834    ,  9541.930    ,  9740.284    ,  13.62031    , 0.1398348    , 0.1398348    
         0.667,              ,  0.000000    ,  4.686056    ,  3371.350    ,  0.000000    ,  3371.350    ,  4.686056    ,  3366.664    ,  3368.623    ,  1.959472    , 0.5804061E-01,  3376.036    ,  12910.55    ,  13116.32    ,  15.57978    , 0.1187816    , 0.1187816    
         0.750,              ,  0.000000    ,  3.543109    ,  4391.036    ,  0.000000    ,  4391.036    ,  3.543109    ,  4387.493    ,  4392.179    ,  4.686229    , 0.1066366    ,  4394.579    ,  17302.73    ,  17510.90    ,  20.26601    , 0.1157337    , 0.1157337    
         0.833,              ,  0.000000    ,  2.729224    ,  5798.991    ,  0.000000    ,  5798.991    ,  2.729224    ,  5796.262    ,  5799.859    ,  3.597474    , 0.6200702E-01,  5801.720    ,  23102.59    ,  23312.62    ,  23.86348    , 0.1023629    , 0.1023629    
         0.917,              ,  0.000000    ,  2.140548    ,  7843.835    ,  0.000000    ,  7843.835    ,  2.140548    ,  7841.694    ,  7848.221    ,  6.527236    , 0.8319215E-01,  7845.975    ,  30950.81    ,  31158.59    ,  30.39072    , 0.9753559E-01, 0.9753559E-01
         1.000,              ,  0.000000    ,  1.701257    ,  10531.87    ,  0.000000    ,  10531.87    ,  1.701257    ,  10530.17    ,  10536.55    ,  6.376711    , 0.6053700E-01,  10533.57    ,  41487.36    ,  41692.17    ,  36.76743    , 0.8818785E-01, 0.8818785E-01
         1.083,              ,  0.000000    ,  1.375616    ,  16509.03    ,  0.000000    ,  16509.03    ,  1.375616    ,  16507.65    ,  16527.89    ,  20.23673    , 0.1225696    ,  16510.40    ,  58015.25    ,  58202.57    ,  57.00416    , 0.9794097E-01, 0.9794097E-01
         1.167,              ,  0.000000    ,  1.140395    ,  25812.85    ,  0.000000    ,  25812.85    ,  1.140395    ,  25811.71    ,  25818.90    ,  7.189804    , 0.2785235E-01,  25814.00    ,  83834.16    ,  84016.57    ,  64.19396    , 0.7640631E-01, 0.7640631E-01
         1.250,              ,  0.000000    , 0.9581498    ,  33111.14    ,  0.000000    ,  33111.14    , 0.9581498    ,  33110.18    ,  33113.13    ,  2.945147    , 0.8894475E-02,  33112.10    ,  116947.3    ,  117128.7    ,  67.13911    , 0.5732082E-01, 0.5732082E-01
         1.333,              ,  0.000000    , 0.8097077    ,  38411.34    ,  0.000000    ,  38411.34    , 0.8097077    ,  38410.53    ,  38414.71    ,  4.176920    , 0.1087396E-01,  38412.15    ,  155362.0    ,  155540.8    ,  71.31603    , 0.4585037E-01, 0.4585037E-01
         1.417,              ,  0.000000    ,  7737.971    ,  42306.06    ,  0.000000    ,  42306.06    ,  7737.971    ,  34568.09    ,  34569.83    ,  1.743049    , 0.3483031E-02,  50044.03    ,  189931.8    ,  205584.9    ,  73.05908    , 0.3553719E-01, 0.3553719E-01
         1.500,              ,  0.000000    ,  28263.93    ,  44789.25    ,  0.000000    ,  44789.25    ,  28263.93    ,  16525.32    ,  16525.68    , 0.3572807    , 0.4890693E-03,  73053.18    ,  206457.5    ,  278638.0    ,  73.41636    , 0.2634829E-01, 0.2634829E-01
