"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.5000000E-01,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,     0.000
         0.083,         266,         0,         0,  2.500000    , 0.8333334E-01,  0.000000    ,  117.0904    ,  43.71944    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -73.37100    , -73.37097    , 0.2735089E-04,  195.9858    ,     0.000
         0.167,         399,         0,         0,  2.071680    , 0.1666667    ,  0.000000    ,  50.06722    ,  270.3382    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  220.2710    ,  220.2710    , 0.6109476E-05,  416.2568    ,     0.000
         0.250,         584,         0,         0,  1.293667    , 0.2500000    ,  0.000000    ,  28.40126    ,  659.5120    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  631.1107    ,  631.1110    , 0.2476647E-03,  1047.368    ,     0.000
         0.333,         851,         0,         0,  1.019923    , 0.3333333    ,  0.000000    ,  18.23996    ,  1307.917    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1289.677    ,  1289.676    ,-0.4462041E-03,  2337.044    ,    -0.000
         0.417,        1169,         0,         0, 0.8976754    , 0.4166667    ,  0.000000    ,  12.18956    ,  1791.168    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1778.979    ,  1778.979    , 0.5014613E-04,  4116.023    ,     0.000
         0.500,        1519,         0,         0, 0.8324154    , 0.5000000    ,  0.000000    ,  8.505027    ,  2076.657    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  2068.152    ,  2068.152    , 0.3545452E-03,  6184.175    ,     0.000
         0.583,        1891,         0,         0, 0.7897673    , 0.5833334    ,  0.000000    ,  6.172174    ,  2569.848    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  2563.675    ,  2563.676    , 0.8550659E-03,  8747.852    ,     0.000
         0.667,        2281,         0,         0, 0.7581474    , 0.6666667    ,  0.000000    ,  4.686056    ,  3221.496    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  3216.810    ,  3216.811    , 0.1409454E-03,  11964.66    ,     0.000
         0.750,        2685,         0,         0, 0.7335232    , 0.7500000    ,  0.000000    ,  3.543109    ,  4237.613    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  4234.070    ,  4234.071    , 0.1519987E-02,  16198.73    ,     0.000
