Simulation Time,1D (%),2D (%),Other (%)
         0.0833,     1,    72,       27
         0.1667,     1,    76,       23
         0.2500,     1,    79,       20
         0.3333,     1,    81,       18
         0.4167,     1,    82,       17
         0.5000,     1,    83,       16
         0.5833,     1,    84,       15
         0.6667,     1,    85,       14
         0.7500,     1,    85,       14
         0.8333,     1,    86,       13
         0.9167,     1,    86,       13
         1.0000,     1,    86,       13
         1.0833,     1,    87,       13
         1.1667,     1,    87,       13
         1.2500,     1,    87,       13
         1.3333,     1,    87,       12
         1.4167,     1,    87,       12
         1.5000,     1,    87,       12
         1.5833,     1,    87,       12
         1.6667,     1,    87,       12
         1.7500,     1,    87,       12
         1.8333,     1,    87,       12
         1.9167,     1,    87,       12
         2.0000,     1,    87,       12
         2.0833,     1,    87,       12
         2.1667,     1,    87,       12
         2.2500,     1,    87,       12
         2.3333,     1,    87,       12
         2.4167,     1,    87,       12
         2.5000,     1,    87,       12
         2.5833,     1,    87,       12
         2.6667,     1,    87,       12
         2.7500,     1,    87,       12
         2.8333,     1,    87,       12
         2.9167,     1,    87,       12
         3.0000,     1,    87,       12
