"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.017,              ,  0.000000    , 0.8010327E-02,  6.204493    ,  0.000000    ,  6.204493    , 0.8010327E-02,  6.196482    ,  6.232534    , 0.3605149E-01, 0.5803055    ,  6.212503    ,  6.232534    ,  6.212503    , 0.3605149E-01, 0.5784404    , 0.5803055    
         0.033,              ,  0.000000    , 0.8458225E-01,  18.83942    ,  0.000000    ,  18.83942    , 0.8458225E-01,  18.75483    ,  19.06702    , 0.3121807    ,  1.649655    ,  18.92400    ,  25.29955    ,  25.13650    , 0.3482322    ,  1.376436    ,  1.385365    
         0.050,              ,  0.000000    , 0.1656384    ,  31.74471    ,  0.000000    ,  31.74471    , 0.1656384    ,  31.57907    ,  31.88584    , 0.3067720    , 0.9613557    ,  31.91035    ,  57.18539    ,  57.04685    , 0.6550042    ,  1.145405    ,  1.148186    
         0.067,              ,  0.000000    , 0.2148419    ,  44.67997    ,  0.000000    ,  44.67997    , 0.2148419    ,  44.46512    ,  44.55969    , 0.9456374E-01, 0.2106340    ,  44.89481    ,  101.7451    ,  101.9417    , 0.7495679    , 0.7352911    , 0.7352911    
         0.083,              ,  0.000000    , 0.2906337    ,  57.40267    ,  0.000000    ,  57.40267    , 0.2906337    ,  57.11204    ,  57.53104    , 0.4190010    , 0.7262559    ,  57.69330    ,  159.2761    ,  159.6350    ,  1.168569    , 0.7320256    , 0.7320256    
         0.100,              ,  0.000000    , 0.3985826    ,  84.39039    ,  0.000000    ,  84.39039    , 0.3985826    ,  83.99181    ,  84.34580    , 0.3539911    , 0.4174966    ,  84.78898    ,  243.6219    ,  244.4239    ,  1.522560    , 0.6229177    , 0.6229177    
         0.117,              ,  0.000000    , 0.5560334    ,  117.7799    ,  0.000000    ,  117.7799    , 0.5560334    ,  117.2238    ,  117.6928    , 0.4689776    , 0.3963105    ,  118.3359    ,  361.3147    ,  362.7598    ,  1.991538    , 0.5489962    , 0.5489962    
         0.133,              ,  0.000000    , 0.7161144    ,  151.2417    ,  0.000000    ,  151.2417    , 0.7161144    ,  150.5256    ,  150.9725    , 0.4468796    , 0.2940814    ,  151.9578    ,  512.2872    ,  514.7177    ,  2.438417    , 0.4737388    , 0.4737388    
         0.150,              ,  0.000000    , 0.8778110    ,  184.7865    ,  0.000000    ,  184.7865    , 0.8778110    ,  183.9087    ,  184.2416    , 0.3328769    , 0.1792897    ,  185.6643    ,  696.5288    ,  700.3820    ,  2.771294    , 0.3956833    , 0.3956833    
         0.167,              ,  0.000000    ,  1.039473    ,  218.1798    ,  0.000000    ,  218.1798    ,  1.039473    ,  217.1404    ,  217.5189    , 0.3785426    , 0.1726776    ,  219.2193    ,  914.0477    ,  919.6013    ,  3.149837    , 0.3425220    , 0.3425220    
         0.183,              ,  0.000000    ,  1.219861    ,  248.1731    ,  0.000000    ,  248.1731    ,  1.219861    ,  246.9533    ,  246.3511    ,-0.6021917    ,-0.2414629    ,  249.3930    ,  1160.399    ,  1168.994    ,  2.547645    , 0.2179348    , 0.2179348    
         0.200,              ,  0.000000    ,  1.413419    ,  266.9969    ,  0.000000    ,  266.9969    ,  1.413419    ,  265.5835    ,  265.9666    , 0.3830959    , 0.1427277    ,  268.4103    ,  1426.365    ,  1437.405    ,  2.930741    , 0.2038912    , 0.2038912    
         0.217,              ,  0.000000    ,  1.590854    ,  287.0404    ,  0.000000    ,  287.0404    ,  1.590854    ,  285.4495    ,  285.4061    ,-0.4338318E-01,-0.1503066E-01,  288.6312    ,  1711.771    ,  1726.036    ,  2.887358    , 0.1672826    , 0.1672826    
         0.233,              ,  0.000000    ,  1.768077    ,  306.9061    ,  0.000000    ,  306.9061    ,  1.768077    ,  305.1381    ,  304.8585    ,-0.2796036    ,-0.9058211E-01,  308.6742    ,  2016.630    ,  2034.710    ,  2.607754    , 0.1281634    , 0.1281634    
         0.250,              ,  0.000000    ,  1.949442    ,  325.8993    ,  0.000000    ,  325.8993    ,  1.949442    ,  323.9498    ,  324.2984    , 0.3485368    , 0.1063102    ,  327.8487    ,  2340.928    ,  2362.559    ,  2.956291    , 0.1251309    , 0.1251309    
         0.267,              ,  0.000000    ,  2.129198    ,  354.2488    ,  0.000000    ,  354.2488    ,  2.129198    ,  352.1196    ,  352.3711    , 0.2514288    , 0.7055114E-01,  356.3780    ,  2693.299    ,  2718.937    ,  3.207720    , 0.1179770    , 0.1179770    
         0.283,              ,  0.000000    ,  2.323311    ,  391.2396    ,  0.000000    ,  391.2396    ,  2.323311    ,  388.9163    ,  389.1081    , 0.1918207    , 0.4873954E-01,  393.5629    ,  3082.407    ,  3112.500    ,  3.399540    , 0.1092222    , 0.1092222    
         0.300,              ,  0.000000    ,  2.526826    ,  428.4600    ,  0.000000    ,  428.4600    ,  2.526826    ,  425.9332    ,  425.7939    ,-0.1393695    ,-0.3233729E-01,  430.9869    ,  3508.201    ,  3543.487    ,  3.260171    , 0.9200460E-01, 0.9200460E-01
         0.317,              ,  0.000000    ,  2.733981    ,  464.7039    ,  0.000000    ,  464.7039    ,  2.733981    ,  461.9699    ,  462.4505    , 0.4805713    , 0.1028097    ,  467.4378    ,  3970.652    ,  4010.924    ,  3.740742    , 0.9326384E-01, 0.9326384E-01
         0.333,              ,  0.000000    ,  2.945727    ,  502.5684    ,  0.000000    ,  502.5684    ,  2.945727    ,  499.6227    ,  499.8469    , 0.2242130    , 0.4435346E-01,  505.5141    ,  4470.499    ,  4516.439    ,  3.964955    , 0.8778942E-01, 0.8778942E-01
         0.350,              ,  0.000000    ,  3.195285    ,  563.7943    ,  0.000000    ,  563.7943    ,  3.195285    ,  560.5990    ,  560.9471    , 0.3481076    , 0.6139576E-01,  566.9896    ,  5031.446    ,  5083.428    ,  4.313063    , 0.8484555E-01, 0.8484555E-01
         0.367,              ,  0.000000    ,  3.525123    ,  636.5842    ,  0.000000    ,  636.5842    ,  3.525123    ,  633.0591    ,  633.4172    , 0.3581472    , 0.5595093E-01,  640.1093    ,  5664.863    ,  5723.537    ,  4.671210    , 0.8161403E-01, 0.8161403E-01
         0.383,              ,  0.000000    ,  3.880330    ,  709.3663    ,  0.000000    ,  709.3663    ,  3.880330    ,  705.4860    ,  705.8504    , 0.3644305    , 0.5109459E-01,  713.2467    ,  6370.713    ,  6436.784    ,  5.035640    , 0.7823224E-01, 0.7823224E-01
