"M01_2.5m_001 [Q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_01\Complete_Model\TUFLOW\runs\M01_2.5m_001.tcf]","Time (h)","Q Loc1_L [M01_2.5m_001]"
           1,        0.000000,          0.0000
           2,        0.016667,          0.0000
           3,        0.033333,          0.0000
           4,        0.050000,          0.0000
           5,        0.066667,          0.0000
           6,        0.083333,          0.0000
           7,        0.100000,          0.0000
           8,        0.116667,          0.0000
           9,        0.133333,          0.0000
          10,        0.150000,          0.0000
          11,        0.166667,          0.0000
          12,        0.183333,          0.0000
          13,        0.200000,          0.0000
          14,        0.216667,          0.0000
          15,        0.233333,          0.0000
          16,        0.250000,          0.0000
          17,        0.266667,          0.0000
          18,        0.283333,          0.0000
          19,        0.300000,          0.0000
          20,        0.316667,          0.0000
          21,        0.333333,          0.0000
          22,        0.350000,          0.0000
          23,        0.366667,          0.0000
          24,        0.383333,          0.0000
          25,        0.400000,          0.0000
          26,        0.416667,          0.0000
          27,        0.433333,          0.0000
          28,        0.450000,          0.0000
          29,        0.466667,          0.0000
          30,        0.483333,          0.0000
          31,        0.500000,          0.0000
          32,        0.516667,          0.0000
          33,        0.533333,          0.0000
          34,        0.550000,          0.0000
          35,        0.566667,          0.0000
          36,        0.583333,          0.0000
          37,        0.600000,          0.0000
          38,        0.616667,          0.0000
          39,        0.633333,          0.0000
          40,        0.650000,         -0.0342
          41,        0.666667,         -0.0902
          42,        0.683333,         -0.1006
          43,        0.700000,         27.6939
          44,        0.716667,         42.9867
          45,        0.733333,         54.2478
          46,        0.750000,         64.3405
          47,        0.766667,         72.2337
          48,        0.783333,         77.9326
          49,        0.800000,         81.6135
          50,        0.816667,         83.0652
          51,        0.833333,         81.5010
          52,        0.850000,         78.8597
          53,        0.866667,         76.5992
          54,        0.883333,         74.7099
          55,        0.900000,         73.1193
          56,        0.916667,         72.9178
          57,        0.933333,         73.9036
          58,        0.950000,         75.3053
          59,        0.966667,         77.5983
          60,        0.983333,         84.4074
          61,        1.000000,         88.7001
          62,        1.016667,         89.1601
          63,        1.033333,         90.6205
          64,        1.050000,         91.5414
          65,        1.066667,         92.5079
          66,        1.083333,         92.9171
          67,        1.100000,         93.2651
          68,        1.116667,         93.1436
          69,        1.133333,         93.0769
          70,        1.150000,         92.4347
          71,        1.166667,         91.7016
          72,        1.183333,         90.6812
          73,        1.200000,         89.6284
          74,        1.216667,         88.4346
          75,        1.233333,         87.1222
          76,        1.250000,         85.6547
          77,        1.266667,         84.1141
          78,        1.283333,         82.5304
          79,        1.300000,         80.8707
          80,        1.316667,         79.0337
          81,        1.333333,         77.0440
          82,        1.350000,         75.0090
          83,        1.366667,         72.8691
          84,        1.383333,         70.6798
          85,        1.400000,         68.5351
          86,        1.416667,         66.4231
          87,        1.433333,         64.3256
          88,        1.450000,         62.1958
          89,        1.466667,         60.0694
          90,        1.483333,         57.9885
          91,        1.500000,         55.9218
          92,        1.516667,         53.8617
          93,        1.533333,         51.8512
          94,        1.550000,         49.8737
          95,        1.566667,         47.9445
          96,        1.583333,         46.0634
          97,        1.600000,         44.2246
          98,        1.616667,         42.4161
          99,        1.633333,         40.6767
         100,        1.650000,         39.0983
         101,        1.666667,         37.6239
         102,        1.683333,         36.2926
         103,        1.700000,         35.1355
         104,        1.716667,         34.0768
         105,        1.733333,         33.0638
         106,        1.750000,         32.0431
         107,        1.766667,         31.0252
         108,        1.783333,         29.9711
         109,        1.800000,         28.9062
         110,        1.816667,         27.8811
         111,        1.833333,         26.9460
         112,        1.850000,         26.1274
         113,        1.866667,         25.4026
         114,        1.883333,         24.7620
         115,        1.900000,         24.1698
         116,        1.916667,         23.6142
         117,        1.933333,         23.1227
         118,        1.950000,         22.7042
         119,        1.966667,         22.2636
         120,        1.983333,         21.8292
         121,        2.000000,         21.4337
         122,        2.016667,         21.0663
         123,        2.033333,         20.7277
         124,        2.050000,         20.4083
         125,        2.066667,         20.0847
         126,        2.083333,         19.7566
         127,        2.100000,         19.4071
         128,        2.116667,         19.0420
         129,        2.133333,         18.6625
         130,        2.150000,         18.2694
         131,        2.166667,         17.8719
         132,        2.183333,         17.4519
         133,        2.200000,         17.0318
         134,        2.216667,         16.5824
         135,        2.233333,         16.1572
         136,        2.250000,         15.7084
         137,        2.266667,         15.2953
         138,        2.283333,         14.9292
         139,        2.300000,         14.6035
         140,        2.316667,         14.2984
         141,        2.333333,         14.0084
         142,        2.350000,         13.7476
         143,        2.366667,         13.4654
         144,        2.383333,         13.2128
         145,        2.400000,         12.9320
         146,        2.416667,         12.7102
         147,        2.433333,         12.4574
         148,        2.450000,         12.2863
         149,        2.466667,         12.0524
         150,        2.483333,         11.8282
         151,        2.500000,         11.6223
         152,        2.516667,         11.3935
         153,        2.533333,         11.1819
         154,        2.550000,         10.9287
         155,        2.566667,         10.7340
         156,        2.583333,         10.5014
         157,        2.600000,         10.2566
         158,        2.616667,          9.9714
         159,        2.633333,          9.7163
         160,        2.650000,          9.4710
         161,        2.666667,          9.2307
         162,        2.683333,          8.9880
         163,        2.700000,          8.7967
         164,        2.716667,          8.6413
         165,        2.733333,          8.4540
         166,        2.750000,          8.2981
         167,        2.766667,          8.0511
         168,        2.783333,          7.8201
         169,        2.800000,          7.6739
         170,        2.816667,          7.4855
         171,        2.833333,          7.2319
         172,        2.850000,          6.9517
         173,        2.866667,          6.7267
         174,        2.883333,          6.4955
         175,        2.900000,          6.2189
         176,        2.916667,          5.9875
         177,        2.933333,          5.7796
         178,        2.950000,          5.6025
         179,        2.966667,          5.3878
         180,        2.983333,          5.1309
         181,        3.000000,          4.8640

