"M03_5m_001 [Q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_03\Complete_Model\TUFLOW\runs\M03_5m_001.tcf]","Time (h)","Q FC01.1_R [M03_5m_001]","Q FC01.2_R [M03_5m_001]","Q FC04.1_C [M03_5m_001]"
       1,          0.000000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000
       5,          0.066667,           0.000,           0.016,           0.000
       6,          0.083333,           0.000,           0.021,           0.000
       7,          0.100000,           0.000,           0.030,           0.000
       8,          0.116667,           0.000,           0.039,           0.000
       9,          0.133333,           0.000,           0.049,           0.000
      10,          0.150000,           0.000,           0.058,           0.000
      11,          0.166667,           0.000,           0.067,           0.000
      12,          0.183333,           0.000,           0.073,           0.000
      13,          0.200000,           0.090,           0.073,           0.000
      14,          0.216667,           1.120,           0.003,           0.000
      15,          0.233333,           1.989,           0.001,           0.000
      16,          0.250000,           2.628,           0.000,           0.000
      17,          0.266667,           3.153,           0.000,           0.000
      18,          0.283333,           3.571,           0.000,           0.000
      19,          0.300000,           3.978,           0.000,           0.000
      20,          0.316667,           4.498,           0.000,           0.000
      21,          0.333333,           5.020,           0.000,           0.000
      22,          0.350000,           5.553,           0.000,           0.000
      23,          0.366667,           6.159,           0.000,           0.000
      24,          0.383333,           6.880,           0.000,           0.000
      25,          0.400000,           7.604,           0.000,           0.000
      26,          0.416667,           8.399,           0.000,           0.000
      27,          0.433333,           9.372,           0.000,           0.000
      28,          0.450000,          10.418,           0.000,           0.000
      29,          0.466667,          11.755,           0.000,           0.000
      30,          0.483333,          13.496,           0.000,           0.000
      31,          0.500000,          15.382,           0.000,           0.000
      32,          0.516667,          17.445,           2.144,           0.000
      33,          0.533333,          20.383,           3.431,           0.000
      34,          0.550000,          24.456,           4.404,           0.000
      35,          0.566667,          28.824,           5.417,           0.000
      36,          0.583333,          31.974,           6.536,           0.000
      37,          0.600000,          34.815,           7.642,           0.000
      38,          0.616667,          37.197,           9.264,           0.000
      39,          0.633333,          39.255,          11.594,           0.000
      40,          0.650000,          41.113,          13.741,           0.000
      41,          0.666667,          42.839,          16.606,           0.000
      42,          0.683333,          44.376,          19.562,           0.168
      43,          0.700000,          45.524,          22.737,           0.846
      44,          0.716667,          46.261,          25.575,           1.692
      45,          0.733333,          46.725,          28.021,           2.617
      46,          0.750000,          47.013,          30.520,           3.528
      47,          0.766667,          47.199,          33.171,           4.378
      48,          0.783333,          47.303,          36.422,           5.014
      49,          0.800000,          47.373,          40.140,           5.496
      50,          0.816667,          47.420,          44.155,           5.843
      51,          0.833333,          47.458,          48.169,           6.089
      52,          0.850000,          47.488,          51.703,           6.298
      53,          0.866667,          47.505,          54.602,           6.509
      54,          0.883333,          47.517,          56.891,           6.713
      55,          0.900000,          47.527,          58.759,           6.905
      56,          0.916667,          47.536,          60.309,           7.091
      57,          0.933333,          47.544,          61.637,           7.271
      58,          0.950000,          47.547,          62.807,           7.444
      59,          0.966667,          47.546,          63.847,           7.610
      60,          0.983333,          47.544,          64.862,           7.769
      61,          1.000000,          47.541,          65.831,           7.923
      62,          1.016667,          47.536,          66.724,           8.070
      63,          1.033333,          47.523,          67.540,           8.211
      64,          1.050000,          47.507,          68.300,           8.345
      65,          1.066667,          47.489,          69.002,           8.472
      66,          1.083333,          47.471,          69.624,           8.595
      67,          1.100000,          47.446,          70.187,           8.710
      68,          1.116667,          47.406,          70.606,           8.816
      69,          1.133333,          47.358,          70.865,           8.914
      70,          1.150000,          47.306,          70.995,           9.004
      71,          1.166667,          47.254,          71.026,           9.087
      72,          1.183333,          47.199,          71.003,           9.161
      73,          1.200000,          47.136,          70.955,           9.228
      74,          1.216667,          47.067,          70.896,           9.286
      75,          1.233333,          46.993,          70.837,           9.336
      76,          1.250000,          46.918,          70.785,           9.379
      77,          1.266667,          46.839,          70.740,           9.413
      78,          1.283333,          46.743,          70.704,           9.437
      79,          1.300000,          46.639,          70.678,           9.453
      80,          1.316667,          46.528,          70.660,           9.460
      81,          1.333333,          46.411,          70.649,           9.458
      82,          1.350000,          46.289,          70.643,           9.447
      83,          1.366667,          46.164,          70.643,           9.430
      84,          1.383333,          46.037,          70.645,           9.405
      85,          1.400000,          45.904,          70.651,           9.372
      86,          1.416667,          45.764,          70.657,           9.333
      87,          1.433333,          45.614,          70.661,           9.287
      88,          1.450000,          45.459,          70.663,           9.234
      89,          1.466667,          45.292,          70.660,           9.175
      90,          1.483333,          45.113,          70.650,           9.109
      91,          1.500000,          44.919,          70.632,           9.038
      92,          1.516667,          44.707,          70.605,           8.961
      93,          1.533333,          44.476,          70.566,           8.878
      94,          1.550000,          44.222,          70.511,           8.791
      95,          1.566667,          43.948,          70.436,           8.699
      96,          1.583333,          43.614,          70.334,           8.602
      97,          1.600000,          43.207,          70.200,           8.503
      98,          1.616667,          42.777,          70.031,           8.404
      99,          1.633333,          42.313,          69.825,           8.303
     100,          1.650000,          41.812,          69.584,           8.201
     101,          1.666667,          41.271,          69.316,           8.099
     102,          1.683333,          40.690,          69.031,           7.995
     103,          1.700000,          40.048,          68.726,           7.889
     104,          1.716667,          39.340,          68.407,           7.781
     105,          1.733333,          38.558,          68.074,           7.671
     106,          1.750000,          37.703,          67.729,           7.559
     107,          1.766667,          36.767,          67.368,           7.446
     108,          1.783333,          35.790,          66.990,           7.333
     109,          1.800000,          34.770,          66.593,           7.222
     110,          1.816667,          33.703,          66.176,           7.111
     111,          1.833333,          32.579,          65.739,           7.001
     112,          1.850000,          31.394,          65.278,           6.892
     113,          1.866667,          30.164,          64.788,           6.783
     114,          1.883333,          28.889,          64.268,           6.677
     115,          1.900000,          27.409,          63.719,           6.571
     116,          1.916667,          25.701,          63.138,           6.466
     117,          1.933333,          24.269,          62.524,           6.362
     118,          1.950000,          23.075,          61.858,           6.259
     119,          1.966667,          22.097,          61.141,           6.158
     120,          1.983333,          21.288,          60.372,           6.057
     121,          2.000000,          20.619,          59.545,           5.957
     122,          2.016667,          20.062,          58.648,           5.858
     123,          2.033334,          19.543,          57.680,           5.759
     124,          2.050000,          19.041,          56.635,           5.660
     125,          2.066667,          18.553,          55.502,           5.561
     126,          2.083333,          18.072,          54.280,           5.463
     127,          2.100000,          17.584,          52.957,           5.364
     128,          2.116667,          17.087,          51.543,           5.265
     129,          2.133333,          16.579,          50.022,           5.165
     130,          2.150000,          16.059,          48.378,           5.064
     131,          2.166667,          15.530,          46.593,           4.963
     132,          2.183333,          14.999,          44.663,           4.861
     133,          2.200000,          14.533,          42.567,           4.759
     134,          2.216667,          14.103,          40.334,           4.657
     135,          2.233333,          13.744,          38.041,           4.556
     136,          2.250000,          13.443,          35.745,           4.434
     137,          2.266667,          13.172,          33.495,           4.311
     138,          2.283334,          12.920,          31.351,           4.190
     139,          2.300000,          12.674,          29.313,           4.071
     140,          2.316667,          12.443,          27.401,           3.952
     141,          2.333333,          12.173,          25.650,           3.835
     142,          2.350000,          11.903,          24.076,           3.718
     143,          2.366667,          11.649,          22.654,           3.602
     144,          2.383333,          11.441,          21.441,           3.486
     145,          2.400000,          11.245,          20.438,           3.372
     146,          2.416667,          11.049,          19.579,           3.259
     147,          2.433333,          10.849,          18.840,           3.146
     148,          2.450000,          10.658,          18.215,           3.035
     149,          2.466667,          10.452,          17.684,           2.925
     150,          2.483333,          10.243,          17.202,           2.816
     151,          2.500000,          10.058,          16.751,           2.707
     152,          2.516667,           9.828,          16.341,           2.602
     153,          2.533334,           9.575,          15.951,           2.499
     154,          2.550000,           9.319,          15.588,           2.399
     155,          2.566667,           9.056,          15.240,           2.301
     156,          2.583333,           8.831,          14.944,           2.207
     157,          2.600000,           8.602,          14.563,           2.117
     158,          2.616667,           8.331,          14.249,           2.030
     159,          2.633333,           8.095,          13.895,           1.948
     160,          2.650000,           7.897,          13.540,           1.871
     161,          2.666667,           7.697,          13.193,           1.797
     162,          2.683333,           7.541,          12.874,           1.728
     163,          2.700000,           7.352,          12.551,           1.662
     164,          2.716667,           7.156,          12.225,           1.600
     165,          2.733334,           6.944,          11.906,           1.540
     166,          2.750000,           6.723,          11.619,           1.484
     167,          2.766667,           6.495,          11.321,           1.431
     168,          2.783334,           6.270,          11.055,           1.380
     169,          2.800000,           6.021,          10.739,           1.331
     170,          2.816667,           5.825,          10.443,           1.284
     171,          2.833333,           5.546,          10.159,           1.238
     172,          2.850000,           5.272,           9.872,           1.194
     173,          2.866667,           5.002,           9.587,           1.152
     174,          2.883333,           4.743,           9.322,           1.110
     175,          2.900000,           4.490,           9.085,           1.071
     176,          2.916667,           4.241,           8.810,           1.032
     177,          2.933333,           3.990,           8.611,           0.995
     178,          2.950000,           3.767,           8.334,           0.958
     179,          2.966667,           3.555,           8.057,           0.923
     180,          2.983334,           3.350,           7.812,           0.889
     181,          3.000000,           3.192,           7.584,           0.856
