"M03_5m_001 [Q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_03\Complete_Model\TUFLOW\runs\M03_5m_001.tcf]","Time (h)","SQ FC01.1_R [M03_5m_001]","SQ FC04.1_C [M03_5m_001]","SQ FC01.2_R [M03_5m_001]"
       1,          0.000000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0161
       6,          0.083333,      0.0000,      0.0000,      0.0208
       7,          0.100000,      0.0000,      0.0000,      0.0301
       8,          0.116667,      0.0000,      0.0000,      0.0394
       9,          0.133333,      0.0000,      0.0000,      0.0487
      10,          0.150000,      0.0000,      0.0000,      0.0580
      11,          0.166667,      0.0000,      0.0000,      0.0673
      12,          0.183333,      0.0000,      0.0000,      0.0730
      13,          0.200000,      0.0905,      0.0000,      0.0732
      14,          0.216667,      1.1196,      0.0000,      0.0030
      15,          0.233333,      1.9891,      0.0000,      0.0007
      16,          0.250000,      2.6282,      0.0000,      0.0000
      17,          0.266667,      3.1534,      0.0000,      0.0000
      18,          0.283333,      3.5711,      0.0000,      0.0000
      19,          0.300000,      3.9780,      0.0000,      0.0000
      20,          0.316667,      4.4984,      0.0000,      0.0000
      21,          0.333333,      5.0195,      0.0000,      0.0003
      22,          0.350000,      5.5534,      0.0000,      0.0000
      23,          0.366667,      6.1592,      0.0000,      0.0000
      24,          0.383333,      6.8801,      0.0000,      0.0000
      25,          0.400000,      7.6041,      0.0000,      0.0000
      26,          0.416667,      8.3991,      0.0000,      0.0000
      27,          0.433333,      9.3724,      0.0000,      0.0000
      28,          0.450000,     10.4183,      0.0000,      0.0000
      29,          0.466667,     11.7550,      0.0000,      0.0000
      30,          0.483333,     13.4963,      0.0000,      0.0000
      31,          0.500000,     15.3815,      0.0000,      0.0000
      32,          0.516667,     17.4453,      0.0000,      2.1439
      33,          0.533333,     20.3829,      0.0000,      3.4313
      34,          0.550000,     24.4556,      0.0000,      4.4044
      35,          0.566667,     28.8236,      0.0000,      5.4175
      36,          0.583333,     31.9742,      0.0000,      6.5364
      37,          0.600000,     34.8147,      0.0000,      7.6422
      38,          0.616667,     37.1972,      0.0000,      9.2635
      39,          0.633333,     39.2553,      0.0000,     11.5939
      40,          0.650000,     41.1132,      0.0000,     13.7410
      41,          0.666667,     42.8389,      0.0000,     16.6058
      42,          0.683333,     44.3764,      0.1679,     19.5617
      43,          0.700000,     45.5235,      0.8463,     22.7365
      44,          0.716667,     46.2608,      1.6918,     25.5747
      45,          0.733333,     46.7249,      2.6168,     28.0215
      46,          0.750000,     47.0131,      3.5279,     30.5201
      47,          0.766667,     47.1994,      4.3780,     33.1713
      48,          0.783333,     47.3031,      5.0138,     36.4221
      49,          0.800000,     47.3725,      5.4964,     40.1402
      50,          0.816667,     47.4203,      5.8435,     44.1549
      51,          0.833333,     47.4584,      6.0889,     48.1687
      52,          0.850000,     47.4884,      6.2981,     51.7029
      53,          0.866667,     47.5051,      6.5091,     54.6018
      54,          0.883333,     47.5173,      6.7129,     56.8908
      55,          0.900000,     47.5271,      6.9053,     58.7587
      56,          0.916667,     47.5360,      7.0908,     60.3086
      57,          0.933333,     47.5442,      7.2715,     61.6370
      58,          0.950000,     47.5467,      7.4439,     62.8068
      59,          0.966667,     47.5460,      7.6096,     63.8471
      60,          0.983333,     47.5437,      7.7691,     64.8624
      61,          1.000000,     47.5407,      7.9229,     65.8307
      62,          1.016667,     47.5361,      8.0704,     66.7239
      63,          1.033333,     47.5232,      8.2108,     67.5404
      64,          1.050000,     47.5070,      8.3450,     68.3003
      65,          1.066667,     47.4888,      8.4724,     69.0021
      66,          1.083333,     47.4709,      8.5951,     69.6241
      67,          1.100000,     47.4465,      8.7099,     70.1866
      68,          1.116667,     47.4057,      8.8160,     70.6056
      69,          1.133333,     47.3580,      8.9138,     70.8652
      70,          1.150000,     47.3063,      9.0041,     70.9951
      71,          1.166667,     47.2543,      9.0865,     71.0262
      72,          1.183333,     47.1994,      9.1613,     71.0027
      73,          1.200000,     47.1361,      9.2277,     70.9551
      74,          1.216667,     47.0667,      9.2859,     70.8963
      75,          1.233333,     46.9935,      9.3361,     70.8374
      76,          1.250000,     46.9177,      9.3787,     70.7848
      77,          1.266667,     46.8387,      9.4128,     70.7395
      78,          1.283333,     46.7428,      9.4374,     70.7043
      79,          1.300000,     46.6394,      9.4528,     70.6777
      80,          1.316667,     46.5281,      9.4595,     70.6598
      81,          1.333333,     46.4108,      9.4575,     70.6489
      82,          1.350000,     46.2886,      9.4475,     70.6434
      83,          1.366667,     46.1637,      9.4299,     70.6427
      84,          1.383333,     46.0371,      9.4048,     70.6449
      85,          1.400000,     45.9036,      9.3725,     70.6508
      86,          1.416667,     45.7639,      9.3330,     70.6565
      87,          1.433333,     45.6144,      9.2867,     70.6607
      88,          1.450000,     45.4589,      9.2339,     70.6628
      89,          1.466667,     45.2922,      9.1747,     70.6598
