"M04_5m_001","Location","Flow","Structure Flow","Water Level","Velocity","U/S Structure Water Level","D/S Structure Water Level"
"q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_04\Complete_Model\TUFLOW\runs\M04_5m_001.tcf","Time","Loc1_L","Bridge","Loc1_P","Loc1_P","Bridge","Bridge"
"q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_04\Complete_Model\TUFLOW\results\M04_5m_001_PO.csv",        0.000000,          0.0000,          0.0000,         39.0108,          0.0000,     -99999.0000,     -99999.0000
,        0.016667,          0.0000,          0.0034,         39.0108,          0.0000,     -99999.0000,         37.5036
,        0.033333,          0.0000,          0.0077,         39.0108,          0.0000,     -99999.0000,         37.5408
,        0.050000,          0.0000,          0.0119,         39.0108,          0.0000,     -99999.0000,         37.5563
,        0.066667,          0.0000,          0.0161,         39.0108,          0.0000,     -99999.0000,         37.5648
,        0.083333,          0.0000,          0.0208,         39.0108,          0.0000,     -99999.0000,         37.5714
,        0.100000,          0.0000,          0.0300,         39.0108,          0.0000,     -99999.0000,         37.5821
,        0.116667,          0.0000,          0.0391,         39.0108,          0.0000,         37.6311,         37.5967
,        0.133333,          0.0000,          0.0477,         39.0108,          0.0000,         37.6368,         37.6164
,        0.150000,          0.0000,          0.0474,         39.0108,          0.0000,         37.7120,         37.6151
,        0.166667,          0.0000,          0.0471,         39.0108,          0.0000,         37.7485,         37.6164
,        0.183333,          0.0000,          0.0687,         39.0108,          0.0000,         37.7665,         37.6318
,        0.200000,          0.0000,          0.0756,         39.0108,          0.0000,         37.7696,         37.6363
,        0.216667,          0.0000,          0.0797,         39.0108,          0.0000,         37.7720,         37.6386
,        0.233333,          0.0000,          0.0840,         39.0108,          0.0000,         37.7743,         37.6404
,        0.250000,          0.0000,          0.0885,         39.0108,          0.0000,         37.7763,         37.6421
,        0.266667,          0.0000,          0.0968,         39.0108,          0.0000,         37.7804,         37.6447
,        0.283333,          0.0000,          0.1069,         39.0108,          0.0000,         37.7847,         37.6488
,        0.300000,          0.0000,          0.1175,         39.0108,          0.0000,         37.7904,         37.6520
,        0.316667,          0.0000,          0.1286,         39.0108,          0.0000,         37.7950,         37.6573
,        0.333333,          0.0000,          0.1377,         39.0108,          0.0000,         37.8003,         37.6603
,        0.350000,          0.0000,          0.1567,         39.0108,          0.0000,         37.8080,         37.6672
,        0.366667,          0.0000,          0.1769,         39.0108,          0.0000,         37.8157,         37.6739
,        0.383333,          0.0000,          0.1973,         39.0108,          0.0000,         37.8227,         37.6807
,        0.400000,          0.0000,          0.2185,         39.0108,          0.0000,         37.8296,         37.6871
,        0.416667,          0.0000,          0.2392,         39.0108,          0.0000,         37.8360,         37.6933
,        0.433333,          0.0000,          0.2704,         39.0108,          0.0000,         37.8456,         37.7007
,        0.450000,          0.0000,          0.3114,         39.0108,          0.0000,         37.8571,         37.7112
,        0.466667,          0.0000,          0.3543,         39.0108,          0.0000,         37.8679,         37.7211
,        0.483333,          0.0000,          0.3956,         39.0108,          0.0000,         37.8780,         37.7308
,        0.500000,          0.0000,          0.4371,         39.0108,          0.0000,         37.8874,         37.7400
,        0.516667,          0.0000,          0.5566,         39.0108,          0.0000,         37.9123,         37.7616
,        0.533333,          0.0000,          0.7056,         39.0108,          0.0000,         37.9386,         37.7917
,        0.550000,          0.0000,          0.8532,         39.0108,          0.0000,         37.9623,         37.8189
,        0.566667,          0.0000,          1.0007,         39.0108,          0.0000,         37.9832,         37.8439
,        0.583333,          0.0000,          0.1958,         39.0108,          0.0000,         37.8103,         37.7255
,        0.600000,          0.0000,          0.0280,         39.0108,          0.0000,         37.7234,         37.6219
,        0.616667,          0.0000,          0.0077,         39.0108,          0.0000,         37.6800,         37.5780
,        0.633333,          0.0000,          0.0029,         39.0108,          0.0000,         37.6654,         37.5494
,        0.650000,          0.0000,          0.0022,         39.0108,          0.0000,         37.6635,         37.5344
,        0.666667,          0.0000,          0.0017,         39.0108,          0.0000,         37.6593,         37.5283
,        0.683333,          0.0000,          0.0011,         39.0108,          0.0000,         37.6549,         37.5240
,        0.700000,         27.7787,          0.0008,         40.8235,          1.4575,         37.6516,         37.5203
,        0.716667,         42.4579,          0.0006,         41.5003,          1.1266,         37.6492,         37.5173
,        0.733333,         53.8508,         18.7273,         41.8285,          0.9970,         38.9104,         38.7377
,        0.750000,         63.8733,         32.3120,         42.0168,          0.9664,         39.4244,         39.3064
,        0.766667,         71.8027,         42.1955,         42.1330,          0.9656,         39.7965,         39.6816
,        0.783333,         77.5356,         51.3056,         42.2071,          0.9671,         40.0760,         39.9566
,        0.800000,         82.0058,         60.3273,         42.2570,          0.9715,         40.2920,         40.1668
,        0.816667,         85.1926,         67.5671,         42.2908,          0.9749,         40.4652,         40.3350
,        0.833333,         87.5531,         73.7754,         42.3139,          0.9786,         40.5947,         40.4597
,        0.850000,         89.0927,         79.1234,         42.3292,          0.9801,         40.6907,         40.5486
,        0.866667,         90.2811,         82.9568,         42.3401,          0.9819,         40.7588,         40.6082
,        0.883333,         91.1176,         85.9162,         42.3477,          0.9826,         40.8063,         40.6474
,        0.900000,         91.7062,         88.0485,         42.3531,          0.9829,         40.8413,         40.6747
,        0.916667,         92.1451,         89.5861,         42.3570,          0.9833,         40.8653,         40.6929
,        0.933333,         92.7815,         90.8981,         42.3613,          0.9863,         40.8806,         40.7053
,        0.950000,         93.1269,         91.7632,         42.3644,          0.9868,         40.8929,         40.7141
,        0.966667,         93.3288,         92.4936,         42.3663,          0.9868,         40.9018,         40.7207
,        0.983333,         93.5592,         93.0721,         42.3680,          0.9875,         40.9087,         40.7258
,        1.000000,         94.4827,         93.4433,         42.3726,          0.9946,         40.9137,         40.7293
,        1.016667,         95.7616,         93.9916,         42.3802,          1.0039,         40.9201,         40.7330
,        1.033333,         96.0332,         94.7929,         42.3837,          1.0041,         40.9271,         40.7376
,        1.050000,         96.2781,         95.5864,         42.3860,          1.0052,         40.9346,         40.7431
,        1.066667,         96.2785,         96.1093,         42.3869,          1.0051,         40.9401,         40.7469
,        1.083333,         96.1082,         96.3135,         42.3866,          1.0043,         40.9451,         40.7502
,        1.100000,         95.8237,         96.5624,         42.3855,          1.0032,         40.9476,         40.7517
,        1.116667,         95.4497,         96.5980,         42.3836,          1.0019,         40.9482,         40.7525
,        1.133333,         94.9543,         96.4081,         42.3811,          1.0000,         40.9471,         40.7521
,        1.150000,         94.2608,         96.1131,         42.3775,          0.9975,         40.9447,         40.7506
,        1.166667,         93.3269,         95.6933,         42.3726,          0.9940,         40.9408,         40.7483
