"M04_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_04\Complete_Model\TUFLOW\runs\M04_5m_001.tcf]","Time (h)","HD Bridge [M04_5m_001]"
           1,        0.000000,     -99999.0000
           2,        0.016667,         37.5036
           3,        0.033333,         37.5408
           4,        0.050000,         37.5563
           5,        0.066667,         37.5648
           6,        0.083333,         37.5714
           7,        0.100000,         37.5821
           8,        0.116667,         37.5967
           9,        0.133333,         37.6164
          10,        0.150000,         37.6151
          11,        0.166667,         37.6164
          12,        0.183333,         37.6318
          13,        0.200000,         37.6363
          14,        0.216667,         37.6386
          15,        0.233333,         37.6404
          16,        0.250000,         37.6421
          17,        0.266667,         37.6447
          18,        0.283333,         37.6488
          19,        0.300000,         37.6520
          20,        0.316667,         37.6573
          21,        0.333333,         37.6603
          22,        0.350000,         37.6672
          23,        0.366667,         37.6739
          24,        0.383333,         37.6807
          25,        0.400000,         37.6871
          26,        0.416667,         37.6933
          27,        0.433333,         37.7007
          28,        0.450000,         37.7112
          29,        0.466667,         37.7211
          30,        0.483333,         37.7308
          31,        0.500000,         37.7400
          32,        0.516667,         37.7616
          33,        0.533333,         37.7917
          34,        0.550000,         37.8189
          35,        0.566667,         37.8439
          36,        0.583333,         37.7255
          37,        0.600000,         37.6219
          38,        0.616667,         37.5780
          39,        0.633333,         37.5494
          40,        0.650000,         37.5344
          41,        0.666667,         37.5283
          42,        0.683333,         37.5240
          43,        0.700000,         37.5203
          44,        0.716667,         37.5173
          45,        0.733333,         38.7377
          46,        0.750000,         39.3064
          47,        0.766667,         39.6816
          48,        0.783333,         39.9566
          49,        0.800000,         40.1668
          50,        0.816667,         40.3350
          51,        0.833333,         40.4597
          52,        0.850000,         40.5486
          53,        0.866667,         40.6082
          54,        0.883333,         40.6474
          55,        0.900000,         40.6747
          56,        0.916667,         40.6929
          57,        0.933333,         40.7053
          58,        0.950000,         40.7141
          59,        0.966667,         40.7207
          60,        0.983333,         40.7258
          61,        1.000000,         40.7293
          62,        1.016667,         40.7330
          63,        1.033333,         40.7376
          64,        1.050000,         40.7431
          65,        1.066667,         40.7469
          66,        1.083333,         40.7502
          67,        1.100000,         40.7517
          68,        1.116667,         40.7525
          69,        1.133333,         40.7521
          70,        1.150000,         40.7506
          71,        1.166667,         40.7483
          72,        1.183333,         40.7447
          73,        1.200000,         40.7405
          74,        1.216667,         40.7347
          75,        1.233333,         40.7281
          76,        1.250000,         40.7204
          77,        1.266667,         40.7119
          78,        1.283333,         40.7023
          79,        1.300000,         40.6920
          80,        1.316667,         40.6810
          81,        1.333333,         40.6692
          82,        1.350000,         40.6561
          83,        1.366667,         40.6431
          84,        1.383333,         40.6282
          85,        1.400000,         40.6128
          86,        1.416667,         40.5959
          87,        1.433333,         40.5784
          88,        1.450000,         40.5601
          89,        1.466667,         40.5410
          90,        1.483333,         40.5214
          91,        1.500000,         40.5011
          92,        1.516667,         40.4800
          93,        1.533333,         40.4581
          94,        1.550000,         40.4355
          95,        1.566667,         40.4112
          96,        1.583333,         40.3883
          97,        1.600000,         40.3627
          98,        1.616667,         40.3386
          99,        1.633333,         40.3083
         100,        1.650000,         40.2803
         101,        1.666667,         40.2497
         102,        1.683333,         40.2180
         103,        1.700000,         40.1850
         104,        1.716667,         40.1516
         105,        1.733333,         40.1176
         106,        1.750000,         40.0832
         107,        1.766667,         40.0484
         108,        1.783333,         40.0139
         109,        1.800000,         39.9793
         110,        1.816667,         39.9451
         111,        1.833333,         39.9115
         112,        1.850000,         39.8786
         113,        1.866667,         39.8465
         114,        1.883333,         39.8146
         115,        1.900000,         39.7832
         116,        1.916667,         39.7523
         117,        1.933333,         39.7222
         118,        1.950000,         39.6939
         119,        1.966667,         39.6664
         120,        1.983333,         39.6403
         121,        2.000000,         39.6156
         122,        2.016667,         39.5924
         123,        2.033333,         39.5707
         124,        2.050000,         39.5503
         125,        2.066667,         39.5311
         126,        2.083333,         39.5134
         127,        2.100000,         39.4964
         128,        2.116667,         39.4802
         129,        2.133333,         39.4638
         130,        2.150000,         39.4494
         131,        2.166667,         39.4336
         132,        2.183333,         39.4194
         133,        2.200000,         39.4029
         134,        2.216667,         39.3863
         135,        2.233333,         39.3695
         136,        2.250000,         39.3524
         137,        2.266667,         39.3346
         138,        2.283333,         39.3162
         139,        2.300000,         39.2969
         140,        2.316667,         39.2776
         141,        2.333333,         39.2587
         142,        2.350000,         39.2389
         143,        2.366667,         39.2194
         144,        2.383333,         39.2004
         145,        2.400000,         39.1827
         146,        2.416667,         39.1657
         147,        2.433333,         39.1483
         148,        2.450000,         39.1309
         149,        2.466667,         39.1141
         150,        2.483333,         39.0958
         151,        2.500000,         39.0787
         152,        2.516667,         39.0638
         153,        2.533333,         39.0487
         154,        2.550000,         39.0335
         155,        2.566667,         39.0193
         156,        2.583333,         39.0050
         157,        2.600000,         38.9898
         158,        2.616667,         38.9741
         159,        2.633333,         38.9551
         160,        2.650000,         38.9383
         161,        2.666667,         38.9213
         162,        2.683333,         38.9040
         163,        2.700000,         38.8866
         164,        2.716667,         38.8689
         165,        2.733333,         38.8504
         166,        2.750000,         38.8321
         167,        2.766667,         38.8128
         168,        2.783333,         38.7945
         169,        2.800000,         38.7759
         170,        2.816667,         38.7546
         171,        2.833333,         38.7314
         172,        2.850000,         38.7092
         173,        2.866667,         38.6878
         174,        2.883333,         38.6672
         175,        2.900000,         38.6467
         176,        2.916667,         38.6250
         177,        2.933333,         38.6025
         178,        2.950000,         38.5797
         179,        2.966667,         38.5578
         180,        2.983333,         38.5346
         181,        3.000000,         38.5123

