"M04_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_04\Complete_Model\TUFLOW\runs\M04_5m_001.tcf]","Time (h)","HU Bridge [M04_5m_001]"
           1,        0.000000,     -99999.0000
           2,        0.016667,     -99999.0000
           3,        0.033333,     -99999.0000
           4,        0.050000,     -99999.0000
           5,        0.066667,     -99999.0000
           6,        0.083333,     -99999.0000
           7,        0.100000,     -99999.0000
           8,        0.116667,         37.6311
           9,        0.133333,         37.6368
          10,        0.150000,         37.7120
          11,        0.166667,         37.7485
          12,        0.183333,         37.7665
          13,        0.200000,         37.7696
          14,        0.216667,         37.7720
          15,        0.233333,         37.7743
          16,        0.250000,         37.7763
          17,        0.266667,         37.7804
          18,        0.283333,         37.7847
          19,        0.300000,         37.7904
          20,        0.316667,         37.7950
          21,        0.333333,         37.8003
          22,        0.350000,         37.8080
          23,        0.366667,         37.8157
          24,        0.383333,         37.8227
          25,        0.400000,         37.8296
          26,        0.416667,         37.8360
          27,        0.433333,         37.8456
          28,        0.450000,         37.8571
          29,        0.466667,         37.8679
          30,        0.483333,         37.8780
          31,        0.500000,         37.8874
          32,        0.516667,         37.9123
          33,        0.533333,         37.9386
          34,        0.550000,         37.9623
          35,        0.566667,         37.9832
          36,        0.583333,         37.8103
          37,        0.600000,         37.7234
          38,        0.616667,         37.6800
          39,        0.633333,         37.6654
          40,        0.650000,         37.6635
          41,        0.666667,         37.6593
          42,        0.683333,         37.6549
          43,        0.700000,         37.6516
          44,        0.716667,         37.6492
          45,        0.733333,         38.9104
          46,        0.750000,         39.4244
          47,        0.766667,         39.7965
          48,        0.783333,         40.0760
          49,        0.800000,         40.2920
          50,        0.816667,         40.4652
          51,        0.833333,         40.5947
          52,        0.850000,         40.6907
          53,        0.866667,         40.7588
          54,        0.883333,         40.8063
          55,        0.900000,         40.8413
          56,        0.916667,         40.8653
          57,        0.933333,         40.8806
          58,        0.950000,         40.8929
          59,        0.966667,         40.9018
          60,        0.983333,         40.9087
          61,        1.000000,         40.9137
          62,        1.016667,         40.9201
          63,        1.033333,         40.9271
          64,        1.050000,         40.9346
          65,        1.066667,         40.9401
          66,        1.083333,         40.9451
          67,        1.100000,         40.9476
          68,        1.116667,         40.9482
          69,        1.133333,         40.9471
          70,        1.150000,         40.9447
          71,        1.166667,         40.9408
          72,        1.183333,         40.9354
          73,        1.200000,         40.9282
          74,        1.216667,         40.9194
          75,        1.233333,         40.9091
          76,        1.250000,         40.8976
          77,        1.266667,         40.8839
          78,        1.283333,         40.8688
          79,        1.300000,         40.8537
          80,        1.316667,         40.8376
          81,        1.333333,         40.8212
          82,        1.350000,         40.8021
          83,        1.366667,         40.7816
          84,        1.383333,         40.7610
          85,        1.400000,         40.7398
          86,        1.416667,         40.7171
          87,        1.433333,         40.6939
          88,        1.450000,         40.6703
          89,        1.466667,         40.6464
          90,        1.483333,         40.6225
          91,        1.500000,         40.5979
          92,        1.516667,         40.5726
          93,        1.533333,         40.5470
          94,        1.550000,         40.5207
          95,        1.566667,         40.4944
          96,        1.583333,         40.4673
          97,        1.600000,         40.4398
          98,        1.616667,         40.4084
          99,        1.633333,         40.3767
         100,        1.650000,         40.3442
         101,        1.666667,         40.3111
         102,        1.683333,         40.2765
         103,        1.700000,         40.2410
         104,        1.716667,         40.2052
         105,        1.733333,         40.1691
         106,        1.750000,         40.1329
         107,        1.766667,         40.0964
         108,        1.783333,         40.0602
         109,        1.800000,         40.0240
         110,        1.816667,         39.9882
         111,        1.833333,         39.9531
         112,        1.850000,         39.9185
         113,        1.866667,         39.8848
         114,        1.883333,         39.8513
         115,        1.900000,         39.8182
         116,        1.916667,         39.7859
         117,        1.933333,         39.7545
         118,        1.950000,         39.7242
         119,        1.966667,         39.6957
         120,        1.983333,         39.6687
         121,        2.000000,         39.6432
         122,        2.016667,         39.6193
         123,        2.033333,         39.5968
         124,        2.050000,         39.5758
         125,        2.066667,         39.5562
         126,        2.083333,         39.5379
