"M04_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_04\Complete_Model\TUFLOW\runs\M04_5m_001.tcf]","Time (h)","QS Bridge [M04_5m_001]"
           1,        0.000000,          0.0000
           2,        0.016667,          0.0034
           3,        0.033333,          0.0077
           4,        0.050000,          0.0119
           5,        0.066667,          0.0161
           6,        0.083333,          0.0208
           7,        0.100000,          0.0300
           8,        0.116667,          0.0391
           9,        0.133333,          0.0477
          10,        0.150000,          0.0474
          11,        0.166667,          0.0471
          12,        0.183333,          0.0687
          13,        0.200000,          0.0756
          14,        0.216667,          0.0797
          15,        0.233333,          0.0840
          16,        0.250000,          0.0885
          17,        0.266667,          0.0968
          18,        0.283333,          0.1069
          19,        0.300000,          0.1175
          20,        0.316667,          0.1286
          21,        0.333333,          0.1377
          22,        0.350000,          0.1567
          23,        0.366667,          0.1769
          24,        0.383333,          0.1973
          25,        0.400000,          0.2185
          26,        0.416667,          0.2392
          27,        0.433333,          0.2704
          28,        0.450000,          0.3114
          29,        0.466667,          0.3543
          30,        0.483333,          0.3956
          31,        0.500000,          0.4371
          32,        0.516667,          0.5566
          33,        0.533333,          0.7056
          34,        0.550000,          0.8532
          35,        0.566667,          1.0007
          36,        0.583333,          0.1958
          37,        0.600000,          0.0280
          38,        0.616667,          0.0077
          39,        0.633333,          0.0029
          40,        0.650000,          0.0022
          41,        0.666667,          0.0017
          42,        0.683333,          0.0011
          43,        0.700000,          0.0008
          44,        0.716667,          0.0006
          45,        0.733333,         18.7273
          46,        0.750000,         32.3120
          47,        0.766667,         42.1955
          48,        0.783333,         51.3056
          49,        0.800000,         60.3273
          50,        0.816667,         67.5671
          51,        0.833333,         73.7754
          52,        0.850000,         79.1234
          53,        0.866667,         82.9568
          54,        0.883333,         85.9162
          55,        0.900000,         88.0485
          56,        0.916667,         89.5861
          57,        0.933333,         90.8981
          58,        0.950000,         91.7632
          59,        0.966667,         92.4936
          60,        0.983333,         93.0721
          61,        1.000000,         93.4433
          62,        1.016667,         93.9916
          63,        1.033333,         94.7929
          64,        1.050000,         95.5864
          65,        1.066667,         96.1093
          66,        1.083333,         96.3135
          67,        1.100000,         96.5624
          68,        1.116667,         96.5980
          69,        1.133333,         96.4081
          70,        1.150000,         96.1131
          71,        1.166667,         95.6933
          72,        1.183333,         95.1412
          73,        1.200000,         94.3977
          74,        1.216667,         93.4377
          75,        1.233333,         92.4181
          76,        1.250000,         91.1923
          77,        1.266667,         89.9575
          78,        1.283333,         88.6642
          79,        1.300000,         87.0951
          80,        1.316667,         85.5091
          81,        1.333333,         83.7290
          82,        1.350000,         82.1488
          83,        1.366667,         80.3494
          84,        1.383333,         78.3054
          85,        1.400000,         76.3356
          86,        1.416667,         74.2108
          87,        1.433333,         72.0862
          88,        1.450000,         69.9714
          89,        1.466667,         67.8664
          90,        1.483333,         65.7466
          91,        1.500000,         63.6939
          92,        1.516667,         61.4557
          93,        1.533333,         59.3737
          94,        1.550000,         57.3506
          95,        1.566667,         55.4458
