No,Channel,US Node,DS Node,US Channel,DS Channel,Flags,Length,Form Loss,n or Cd,pSlope,US Invert,DS Invert,LBUS Obvert,RBUS Obvert,LBDS Obvert,RBDS Obvert,pBlockage
     8,"Pipe0","Pit1","Pit2","------","Pipe1","C",            17.0,   0.000,   0.015,   0.8,    41.602,    41.468,    42.202,    42.202,    42.068,    42.068,     0.000
     7,"Pipe1","Pit2","Pit3","Pipe0","Pipe19","C",            26.6,   0.000,   0.015,   0.4,    41.468,    41.349,    42.068,    42.068,    41.949,    41.949,     0.000
    16,"Pipe10","Pit7","Pit8","Pipe9","Pipe12","C",            32.6,   0.000,   0.015,   0.5,    41.155,    40.988,    41.755,    41.755,    41.588,    41.588,     0.000
    15,"Pipe11","Pit9","Pit10","Pipe12","Pipe13","C",            26.9,   0.000,   0.015,   0.2,    40.808,    40.766,    41.408,    41.408,    41.366,    41.366,     0.000
    14,"Pipe12","Pit8","Pit9","Pipe10","Pipe11","C",            28.4,   0.000,   0.015,   0.6,    40.988,    40.808,    41.588,    41.588,    41.408,    41.408,     0.000
    13,"Pipe13","Pit10","Pit11","Pipe11","Pipe14","C",            21.3,   0.000,   0.015,   0.5,    40.766,    40.660,    41.366,    41.366,    41.260,    41.260,     0.000
    12,"Pipe14","Pit11","Pit12","Pipe13","Pipe17","C",            26.3,   0.000,   0.015,   0.5,    40.660,    40.526,    41.260,    41.260,    41.126,    41.126,     0.000
    11,"Pipe15","Pit14","Pit13","Pipe6","Pipe16","C",            13.8,   0.000,   0.015,   6.3,    40.869,    40.000,    41.469,    41.469,    40.600,    40.600,     0.000
    10,"Pipe16","Pit13","Pipe16.2","Pipe17","------","C",            72.8,   0.000,   0.015,   0.3,    40.000,    39.800,    40.900,    40.900,    40.700,    40.700,     0.000
     9,"Pipe17","Pit12","Pit13","Pipe14","Pipe16","C",            21.2,   0.000,   0.015,   2.5,    40.526,    40.000,    41.126,    41.126,    40.600,    40.600,     0.000
     4,"Pipe19","Pit3","Pit16","Pipe1","Pipe5","C",            31.7,   0.000,   0.015,   0.6,    41.349,    41.146,    41.949,    41.949,    41.746,    41.746,     0.000
     6,"Pipe2","Pit6","Pit17","------","Pipe9","C",            14.7,   0.000,   0.015,   2.4,    41.672,    41.318,    42.272,    42.272,    41.918,    41.918,     0.000
     5,"Pipe3","Pit5","Pit4","------","Pipe4","C",            35.8,   0.000,   0.015,   1.3,    41.900,    41.451,    42.500,    42.500,    42.051,    42.051,     0.000
    19,"Pipe4","Pit4","Pit3","Pipe3","Pipe19","C",            25.4,   0.000,   0.015,   0.4,    41.451,    41.349,    42.051,    42.051,    41.949,    41.949,     0.000
     3,"Pipe5","Pit16","Pit15","Pipe19","Pipe6","C",            36.5,   0.000,   0.015,   0.5,    41.146,    40.974,    41.746,    41.746,    41.574,    41.574,     0.000
     2,"Pipe6","Pit15","Pit14","Pipe5","Pipe15","C",            31.4,   0.000,   0.015,   0.3,    40.974,    40.869,    41.574,    41.574,    41.469,    41.469,     0.000
     1,"Pipe7","Pit19","Pit18","------","Pipe8","C",            21.0,   0.000,   0.015,   1.4,    41.698,    41.413,    42.298,    42.298,    42.013,    42.013,     0.000
    18,"Pipe8","Pit18","Pit17","Pipe7","Pipe9","C",            17.0,   0.000,   0.015,   0.6,    41.413,    41.318,    42.013,    42.013,    41.918,    41.918,     0.000
    17,"Pipe9","Pit17","Pit7","Pipe2","Pipe10","C",            30.0,   0.000,   0.015,   0.5,    41.318,    41.155,    41.918,    41.918,    41.755,    41.755,     0.000
    20,"Pit1","Pit1.1","Pit1","------","------","Q",             0.0,   0.000,   0.012,   0.0,    43.251,    43.251,    43.399,    43.399,    43.399,    43.399,     0.000
    29,"Pit10","Pit10.1","Pit10","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.753,    42.753,    42.901,    42.901,    42.901,    42.901,     0.000
    30,"Pit11","Pit11.1","Pit11","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.782,    42.782,    42.930,    42.930,    42.930,    42.930,     0.000
    31,"Pit12","Pit12.1","Pit12","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.820,    42.820,    42.968,    42.968,    42.968,    42.968,     0.000
    32,"Pit13","Pit13.1","Pit13","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.839,    42.839,    42.987,    42.987,    42.987,    42.987,     0.000
    33,"Pit14","Pit14.1","Pit14","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.860,    42.860,    43.009,    43.009,    43.009,    43.009,     0.000
