"M05_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_05\Complete_Model\TUFLOW\runs\M05_5m_001.tcf]","Chan ID","Qmax","Time Qmax","Vmax","Time Vmax"
     1,"Pipe0",           0.150,          0.8345,      0.8517,          0.2290
     2,"Pipe1",           0.239,          0.8345,      0.9260,          0.1609
     3,"Pipe10",           0.419,          0.3439,      1.4813,          0.3439
     4,"Pipe11",           0.483,          0.4902,      1.7085,          0.4902
     5,"Pipe12",           0.446,          0.3883,      1.5800,          0.3883
     6,"Pipe13",           0.530,          0.5586,      1.8743,          0.5586
     7,"Pipe14",           0.648,          0.9797,      2.2936,          0.9797
     8,"Pipe15",           0.744,          1.5232,      2.6329,          1.5232
     9,"Pipe16",           2.009,          1.1397,      3.1601,          1.1397
    10,"Pipe17",           0.843,          1.0079,      2.9840,          1.0079
    11,"Pipe19",           0.445,          0.7242,      1.5744,          0.7242
    12,"Pipe2",           0.045,          0.4276,      0.6660,          0.1937
    13,"Pipe3",           0.074,          0.7613,      0.8027,          0.9608
    14,"Pipe4",           0.135,          0.7535,      0.5594,          0.0754
    15,"Pipe5",           0.491,          0.7598,      1.7369,          0.7598
    16,"Pipe6",           0.535,          0.7557,      1.8947,          0.7557
    17,"Pipe7",           0.127,          0.3454,      0.9681,          0.2258
    18,"Pipe8",           0.277,          0.3432,      1.1229,          0.1619
    19,"Pipe9",           0.381,          0.3434,      1.3495,          0.3434
    20,"Pit1",           0.149,          0.8345,      0.9722,          2.9497
    21,"Pit10",           0.212,          1.6907,      0.9722,          2.9989
    22,"Pit11",           0.335,          0.9877,      0.9722,          3.0001
    23,"Pit12",           0.436,          1.0306,      0.9722,          2.9998
    24,"Pit13",           0.626,          1.1493,      1.1587,          1.1493
    25,"Pit14",           0.425,          1.0490,      0.9722,          2.9999
    26,"Pit15",           0.178,          1.0469,      0.9722,          2.9965
    27,"Pit16",           0.047,          0.7505,      0.9722,          2.9974
    28,"Pit17",           0.099,          0.4393,      0.9722,          2.9466
    29,"Pit18",           0.155,          0.3431,      0.9722,          2.9600
    30,"Pit19",           0.127,          0.3487,      0.9722,          2.9270
    31,"Pit2",           0.099,          0.7510,      0.9722,          2.9386
    32,"Pit3",           0.089,          0.7505,      0.9722,          2.9367
    33,"Pit4",           0.062,          0.7513,      0.9722,          2.9390
    34,"Pit5",           0.074,          0.7518,      0.9722,          2.9444
    35,"Pit6",           0.045,          0.4274,      0.9722,          2.9352
    36,"Pit7",           0.074,          0.4655,      0.9722,          3.0001
    37,"Pit8",           0.069,          0.4927,      0.9722,          3.0001
    38,"Pit9",           0.104,          0.5358,      0.9722,          2.9956
