"M05_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_05\Complete_Model\TUFLOW\runs\M05_5m_001.tcf]","Time(h)","Entry LC Pipe0 [M05_5m_001]","Additional LC Pipe0 [M05_5m_001]","Exit LC Pipe0 [M05_5m_001]","Entry LC Pipe1 [M05_5m_001]","Additional LC Pipe1 [M05_5m_001]","Exit LC Pipe1 [M05_5m_001]","Entry LC Pipe10 [M05_5m_001]","Additional LC Pipe10 [M05_5m_001]","Exit LC Pipe10 [M05_5m_001]","Entry LC Pipe11 [M05_5m_001]","Additional LC Pipe11 [M05_5m_001]","Exit LC Pipe11 [M05_5m_001]","Entry LC Pipe12 [M05_5m_001]","Additional LC Pipe12 [M05_5m_001]","Exit LC Pipe12 [M05_5m_001]","Entry LC Pipe13 [M05_5m_001]","Additional LC Pipe13 [M05_5m_001]","Exit LC Pipe13 [M05_5m_001]","Entry LC Pipe14 [M05_5m_001]","Additional LC Pipe14 [M05_5m_001]","Exit LC Pipe14 [M05_5m_001]","Entry LC Pipe15 [M05_5m_001]","Additional LC Pipe15 [M05_5m_001]","Exit LC Pipe15 [M05_5m_001]","Entry LC Pipe16 [M05_5m_001]","Additional LC Pipe16 [M05_5m_001]","Exit LC Pipe16 [M05_5m_001]","Entry LC Pipe17 [M05_5m_001]","Additional LC Pipe17 [M05_5m_001]","Exit LC Pipe17 [M05_5m_001]","Entry LC Pipe19 [M05_5m_001]","Additional LC Pipe19 [M05_5m_001]","Exit LC Pipe19 [M05_5m_001]","Entry LC Pipe2 [M05_5m_001]","Additional LC Pipe2 [M05_5m_001]","Exit LC Pipe2 [M05_5m_001]","Entry LC Pipe3 [M05_5m_001]","Additional LC Pipe3 [M05_5m_001]","Exit LC Pipe3 [M05_5m_001]","Entry LC Pipe4 [M05_5m_001]","Additional LC Pipe4 [M05_5m_001]","Exit LC Pipe4 [M05_5m_001]","Entry LC Pipe5 [M05_5m_001]","Additional LC Pipe5 [M05_5m_001]","Exit LC Pipe5 [M05_5m_001]","Entry LC Pipe6 [M05_5m_001]","Additional LC Pipe6 [M05_5m_001]","Exit LC Pipe6 [M05_5m_001]","Entry LC Pipe7 [M05_5m_001]","Additional LC Pipe7 [M05_5m_001]","Exit LC Pipe7 [M05_5m_001]","Entry LC Pipe8 [M05_5m_001]","Additional LC Pipe8 [M05_5m_001]","Exit LC Pipe8 [M05_5m_001]","Entry LC Pipe9 [M05_5m_001]","Additional LC Pipe9 [M05_5m_001]","Exit LC Pipe9 [M05_5m_001]","LC Pit1 [M05_5m_001]","LC Pit10 [M05_5m_001]","LC Pit11 [M05_5m_001]","LC Pit12 [M05_5m_001]","LC Pit13 [M05_5m_001]","LC Pit14 [M05_5m_001]","LC Pit15 [M05_5m_001]","LC Pit16 [M05_5m_001]","LC Pit17 [M05_5m_001]","LC Pit18 [M05_5m_001]","LC Pit19 [M05_5m_001]","LC Pit2 [M05_5m_001]","LC Pit3 [M05_5m_001]","LC Pit4 [M05_5m_001]","LC Pit5 [M05_5m_001]","LC Pit6 [M05_5m_001]","LC Pit7 [M05_5m_001]","LC Pit8 [M05_5m_001]","LC Pit9 [M05_5m_001]"
       1,          0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       2,          0.016667,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.85,0.23,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       3,          0.033333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       4,          0.050000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       5,          0.066667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       6,          0.083333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       7,          0.100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       8,          0.116667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.21,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       9,          0.133333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.38,0.00,0.00,0.00,0.16,0.59,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.19,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      10,          0.150000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.36,0.00,0.00,0.00,0.16,0.59,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.14,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
