"M05_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_05\Complete_Model\TUFLOW\runs\M05_5m_001.tcf]","Time (h)","SQ Pipe7 [M05_5m_001]","SQ Pipe6 [M05_5m_001]","SQ Pipe5 [M05_5m_001]","SQ Pipe19 [M05_5m_001]","SQ Pipe3 [M05_5m_001]","SQ Pipe2 [M05_5m_001]","SQ Pipe1 [M05_5m_001]","SQ Pipe0 [M05_5m_001]","SQ Pipe17 [M05_5m_001]","SQ Pipe16 [M05_5m_001]","SQ Pipe15 [M05_5m_001]","SQ Pipe14 [M05_5m_001]","SQ Pipe13 [M05_5m_001]","SQ Pipe12 [M05_5m_001]","SQ Pipe11 [M05_5m_001]","SQ Pipe10 [M05_5m_001]","SQ Pipe9 [M05_5m_001]","SQ Pipe8 [M05_5m_001]","SQ Pipe4 [M05_5m_001]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0056,      0.0002,      0.0002,      0.0007,      0.0005,      0.0010,      0.0015,      0.0026,      0.0002,      0.0002,      0.0002,      0.0004,      0.0004,      0.0002,      0.0002,      0.0002,      0.0009,      0.0046,      0.0003
       3,          0.033333,      0.0159,      0.0009,      0.0017,      0.0048,      0.0029,      0.0042,      0.0079,      0.0056,      0.0014,      0.0010,      0.0011,      0.0019,      0.0018,      0.0013,      0.0011,      0.0034,      0.0117,      0.0231,      0.0022
       4,          0.050000,      0.0257,      0.0036,      0.0070,      0.0147,      0.0056,      0.0064,      0.0158,      0.0181,      0.0043,      0.0033,      0.0034,      0.0055,      0.0046,      0.0080,      0.0035,      0.0184,      0.0368,      0.0447,      0.0062
       5,          0.066667,      0.0348,      0.0109,      0.0198,      0.0318,      0.0081,      0.0090,      0.0282,      0.0137,      0.0096,      0.0086,      0.0084,      0.0104,      0.0106,      0.0297,      0.0138,      0.0483,      0.0647,      0.0648,      0.0107
       6,          0.083333,      0.0452,      0.0284,      0.0424,      0.0553,      0.0106,      0.0114,      0.0380,      0.0213,      0.0192,      0.0209,      0.0212,      0.0239,      0.0316,      0.0639,      0.0440,      0.0812,      0.0934,      0.0851,      0.0126
       7,          0.100000,      0.0536,      0.0544,      0.0666,      0.0757,      0.0129,      0.0137,      0.0465,      0.0196,      0.0466,      0.0508,      0.0481,      0.0600,      0.0745,      0.1021,      0.0883,      0.1142,      0.1199,      0.1031,      0.0169
       8,          0.116667,      0.0616,      0.0842,      0.0918,      0.0967,      0.0154,      0.0160,      0.0568,      0.0295,      0.1000,      0.1065,      0.0806,      0.1135,      0.1231,      0.1358,      0.1288,      0.1419,      0.1428,      0.1195,      0.0219
       9,          0.133333,      0.0695,      0.1143,      0.1185,      0.1211,      0.0179,      0.0183,      0.0735,      0.0472,      0.1573,      0.1842,      0.1140,      0.1614,      0.1628,      0.1653,      0.1628,      0.1673,      0.1657,      0.1373,      0.0257
      10,          0.150000,      0.0770,      0.1450,      0.1457,      0.1446,      0.0203,      0.0206,      0.0829,      0.0439,      0.2008,      0.3098,      0.1476,      0.1983,      0.1949,      0.1944,      0.1937,      0.1945,      0.1916,      0.1565,      0.0325
      11,          0.166667,      0.0843,      0.1729,      0.1709,      0.1666,      0.0227,      0.0229,      0.0930,      0.0518,      0.2404,      0.3954,      0.1782,      0.2353,      0.2300,      0.2265,      0.2274,      0.2230,      0.2172,      0.1735,      0.0381
      12,          0.183333,      0.0911,      0.1975,      0.1937,      0.1866,      0.0251,      0.0251,      0.1022,      0.0543,      0.2823,      0.4770,      0.2067,      0.2759,      0.2695,      0.2536,      0.2626,      0.2502,      0.2425,      0.1912,      0.0437
