iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,         31.863,0.738956,0.721455,0.00328064,0.105774,0,99.4265
200,        232.007,2.83698,2.66447,0.329468,1.00587,0.0343933,96.1467
300,        455.917,1.9917,1.85257,0.417603,1.00217,0.0758362,96.188
400,        632.071,1.70124,1.64286,0.453003,1.00117,0.104736,96.284
500,        769.193,1.23974,1.20082,0.345505,1.00168,0.0883636,96.3715
600,        883.423,1.10559,1.10512,0.312744,1.00078,0.085083,96.6153
700,        987.870,1.03374,1.00406,0.272232,1.0006,0.0862885,96.7487
800,       1086.774,0.980493,0.967742,0.245697,1.00053,0.0895691,96.8927
900,       1181.293,0.93859,0.935375,0.220032,1.00038,0.0908813,97.0319
1000,       1271.653,0.905384,0.895317,0.204468,1.0004,0.0957336,97.1098
1100,       1359.247,0.874686,0.864706,0.191589,1.00037,0.100388,97.1982
1200,       1444.225,0.847702,0.845071,0.184509,1.00031,0.105103,97.2879
1300,       1527.123,0.824198,0.821918,0.177094,1.00027,0.10907,97.3931
1400,       1607.267,0.803047,0.795796,0.184586,1.00027,0.12207,97.4501
1500,       1685.455,0.782331,0.779221,0.187408,1.00026,0.132004,97.5073
1600,       1762.025,0.763232,0.759493,0.185516,1.00024,0.139679,97.5773
1700,       1836.400,0.745133,0.7375,0.196152,1.00023,0.157288,97.621
1800,       1909.274,0.726022,0.715078,0.219543,1.00029,0.191483,97.6751
1900,       1980.000,0.705666,0.698052,0.231918,1.00027,0.214432,97.7163
2000,       2048.864,0.68654,0.68182,0.240494,1.00024,0.234863,97.7585
2100,       2116.006,0.671109,0.666583,0.4039,1.0002,0.247803,97.7976
2200,       2181.758,0.661321,0.659341,0.368698,1.00012,0.254547,97.8276
2300,       2246.739,0.655864,0.652174,0.339828,1.00008,0.264175,97.8536
2400,       2311.957,0.652669,0.652174,0.41037,1.00005,0.275406,97.9058
2500,       2376.129,0.650701,0.645161,0.394424,1.00003,0.286774,97.9221
2600,       2440.645,0.649223,0.645161,0.373459,1.00003,0.296875,97.9576
2700,       2504.876,0.642764,0.630158,0.355255,0.991638,0.300064,97.9899
2800,       2567.835,0.629789,0.60826,0.346405,0.972702,0.300064,98.0141
2900,       2629.510,0.617641,0.617089,0.342041,0.954819,0.300064,98.0352
3000,       2689.747,0.606406,0.603106,0.337952,0.938202,0.300049,98.045
3100,       2749.800,0.600179,0.6,0.336517,0.929276,0.300018,98.0806
3200,       2808.713,0.596618,0.594059,0.335648,0.924164,0.300018,98.0897
3300,       2867.769,0.593018,0.582411,0.334442,0.9189,0.300018,98.1146
3400,       2926.471,0.58959,0.588235,0.333252,0.913864,0.300018,98.138
3500,       2984.888,0.586719,0.581234,0.332336,0.909653,0.300018,98.1616
3600,       3043.107,0.585409,0.582524,0.338455,0.907852,0.300003,98.1847
3700,       3101.359,0.584548,0.582524,0.332153,0.906647,0.300003,98.2109
3800,       3159.612,0.583689,0.582524,0.33194,0.905411,0.300003,98.2388
3900,       3217.864,0.582771,0.582524,0.331635,0.904068,0.300003,98.2685
4000,       3275.769,0.581826,0.576922,0.331299,0.902679,0.300003,98.2893
4100,       3333.462,0.581177,0.576923,0.331131,0.901733,0.300003,98.3056
4200,       3391.154,0.581622,0.576923,0.331528,0.902466,0.300003,98.3214
4300,       3448.846,0.582098,0.576923,0.331772,0.903198,0.300003,98.3352
4400,       3506.539,0.582544,0.576923,0.33197,0.90387,0.300003,98.3474
4500,       3564.466,0.582991,0.582524,0.332153,0.904541,0.300003,98.3645
4600,       3622.718,0.583853,0.582524,0.332565,0.905838,0.299988,98.3887
4700,       3680.971,0.586175,0.582524,0.333725,0.909378,0.299988,98.4075
4800,       3739.223,0.588447,0.582524,0.334641,0.912766,0.299988,98.4195
4900,       3797.647,0.590487,0.588235,0.335358,0.915771,0.299988,98.4301
5000,       3856.471,0.592896,0.588237,0.336273,0.919342,0.299988,98.4452
5100,       3915.446,0.596679,0.594059,0.337936,0.925049,0.299973,98.4569
5200,       3975.000,0.604011,0.6,0.34137,0.936111,0.299973,98.4681
5300,       4035.152,0.611744,0.606061,0.344513,0.947678,0.299957,98.4753
5400,       4095.919,0.619828,0.612245,0.347702,0.959732,0.299957,98.4783
5500,       4157.500,0.628306,0.625001,0.351059,0.972366,0.299957,98.4813
5600,       4220.211,0.637289,0.631579,0.354721,0.985748,0.299942,98.4906
5700,       4283.617,0.646869,0.638298,0.358414,1,0.298981,98.4927
5800,       4347.742,0.647304,0.645161,0.356705,1,0.293503,98.5017
5900,       4412.258,0.647758,0.645161,0.354828,0.999985,0.287994,98.5182
6000,       4476.774,0.648233,0.645158,0.352844,1,0.282425,98.5332
6100,       4541.290,0.648717,0.645161,0.350922,1,0.275818,98.5468
6200,       4605.806,0.649292,0.645161,0.351929,1,0.268036,98.5589
6300,       4670.323,0.649926,0.645161,0.355408,0.999985,0.260269,98.5693
6400,       4734.839,0.650581,0.645161,0.35965,1,0.257523,98.5782
6500,       4799.355,0.651276,0.645163,0.364609,0.999985,0.256058,98.5854
6600,       4863.871,0.651962,0.645161,0.36969,1,0.253998,98.591
6700,       4928.478,0.652629,0.652174,0.37352,1,0.25148,98.597
6800,       4993.696,0.653297,0.652174,0.374893,0.999985,0.248947,98.6137
6900,       5058.913,0.653985,0.652175,0.377167,0.999985,0.246201,98.6287
7000,       5124.131,0.654694,0.652174,0.379669,0.999985,0.24324,98.6419
7100,       5189.348,0.655414,0.652174,0.382309,0.999985,0.240036,98.6534
7200,       5254.566,0.656144,0.652174,0.385483,0.999985,0.237274,98.6633
7300,       5319.783,0.656885,0.652174,0.389053,1,0.233932,98.6716
7400,       5385.000,0.657638,0.652171,0.38829,0.999985,0.230377,98.6783
7500,       5450.217,0.658411,0.652174,0.387222,1,0.226593,98.6835
7600,       5515.435,0.659135,0.652174,0.384766,0.999985,0.222321,98.6872
7700,       5580.659,0.659859,0.659341,0.382141,0.999985,0.217758,98.6897
7800,       5646.593,0.660605,0.659342,0.363556,0.999985,0.213791,98.7034
7900,       5712.528,0.661371,0.659341,0.334747,0.999985,0.208069,98.7155
8000,       5778.462,0.662027,0.659341,0.313522,1,0.203476,98.726
8100,       5844.396,0.662523,0.659341,0.312103,0.999985,0.199615,98.7354
8200,       5910.330,0.662968,0.659341,0.311081,0.999985,0.195801,98.7438
8300,       5976.264,0.663382,0.659342,0.310074,1,0.193039,98.7512
8400,       6042.198,0.663777,0.659341,0.308563,0.999985,0.191574,98.7579
8500,       6108.132,0.664233,0.659341,0.306931,1,0.190033,98.7637
8600,       6174.066,0.66473,0.659341,0.305496,0.999985,0.188385,98.7687
8700,       6240.000,0.665258,0.659341,0.30368,0.999985,0.186768,98.7727
8800,       6305.934,0.665806,0.659341,0.301773,0.999985,0.184967,98.7758
8900,       6371.868,0.666335,0.659341,0.299973,1,0.182648,98.778
9000,       6437.802,0.666691,0.659341,0.299057,0.999985,0.180771,98.7795
9100,       6504.000,0.667016,0.666667,0.298141,1,0.178452,98.7845
9200,       6570.667,0.667301,0.666668,0.300537,0.999985,0.176651,98.796
9300,       6637.333,0.667576,0.666667,0.302917,1,0.174728,98.807
9400,       6704.000,0.6678,0.666667,0.305435,0.999985,0.173248,98.8173
9500,       6770.667,0.668014,0.666667,0.307312,1,0.171402,98.8271
9600,       6837.333,0.668218,0.666667,0.309387,1,0.170486,98.8364
9700,       6904.000,0.668412,0.666667,0.310944,1,0.168701,98.8453
9800,       6970.667,0.668606,0.666667,0.312454,1,0.167206,98.8537
9900,       7037.334,0.668779,0.666667,0.313766,1,0.165955,98.8617
10000,       7104.000,0.668953,0.666667,0.315079,1,0.164719,98.8693
10100,       7170.667,0.669116,0.666663,0.315872,1,0.163513,98.8765
10200,       7237.333,0.669269,0.666667,0.316864,0.999985,0.162613,98.8834
10300,       7304.000,0.669484,0.666667,0.317505,1,0.161377,98.8899
10400,       7370.667,0.669698,0.666667,0.318802,1,0.160217,98.896
10500,       7437.333,0.669933,0.666667,0.320251,1,0.158859,98.9017
10600,       7504.001,0.670179,0.666667,0.320129,0.999985,0.157516,98.9069
10700,       7570.667,0.670465,0.666667,0.319977,1,0.155838,98.9118
10800,       7637.334,0.670782,0.666667,0.319855,1,0.154037,98.9161
10900,       7704.001,0.67112,0.666667,0.32135,1,0.152084,98.92
11000,       7770.667,0.671469,0.666663,0.321289,0.999985,0.150024,98.9233
11100,       7837.334,0.671838,0.666667,0.32135,0.999985,0.147629,98.9261
11200,       7904.000,0.672145,0.666667,0.322037,1,0.145325,98.9285
11300,       7970.667,0.672381,0.666667,0.322998,0.999985,0.142548,98.9305
11400,       8037.334,0.672586,0.666667,0.324173,1,0.139847,98.9322
11500,       8104.000,0.672761,0.666667,0.325195,1,0.137665,98.9336
11600,       8170.667,0.672925,0.666667,0.326263,1,0.136063,98.9348
11700,       8237.333,0.67311,0.666667,0.327042,1,0.134186,98.9358
11800,       8304.000,0.673295,0.666667,0.327789,1,0.132294,98.9366
11900,       8370.667,0.67349,0.666673,0.328491,1,0.130554,98.9371
12000,       8437.334,0.673696,0.666667,0.329834,1,0.128784,98.9373
12100,       8504.001,0.67386,0.666667,0.331543,1,0.12738,98.9374
12200,       8570.667,0.674004,0.666667,0.33287,0.999985,0.124603,98.9373
12300,       8637.334,0.674138,0.666667,0.333969,0.999985,0.122757,98.937
12400,       8704.719,0.674282,0.674157,0.42276,1,0.120987,98.9448
12500,       8772.135,0.674416,0.674157,0.420288,1,0.11911,98.9527
12600,       8839.551,0.674591,0.674157,0.41713,1,0.116882,98.9603
12700,       8906.967,0.674776,0.674157,0.415482,0.999985,0.1147,98.9676
12800,       8974.382,0.674982,0.674154,0.413574,1,0.112823,98.9745
12900,       9041.798,0.675198,0.674157,0.411545,1,0.112198,98.9811
13000,       9109.213,0.675415,0.674157,0.409393,1,0.111633,98.9874
13100,       9176.629,0.675652,0.674157,0.407028,1,0.111328,98.9934
13200,       9244.045,0.675889,0.674164,0.404587,1,0.110947,98.999
13300,       9311.461,0.676136,0.674157,0.401855,1,0.111328,99.0042
13400,       9378.877,0.676353,0.674157,0.399155,0.999985,0.110886,99.0092
13500,       9446.293,0.676559,0.674157,0.397842,1,0.109619,99.0138
13600,       9513.708,0.676745,0.674157,0.395065,1,0.107834,99.0182
13700,       9581.124,0.676931,0.674154,0.393112,1,0.10759,99.0223
13800,       9648.540,0.677096,0.674157,0.39122,1,0.106567,99.0262
13900,       9715.955,0.677303,0.674157,0.389038,1,0.105453,99.0298
14000,       9783.371,0.67752,0.674157,0.386612,1,0.104523,99.0332
14100,       9850.787,0.677758,0.674154,0.383942,1,0.1026,99.0363
14200,       9918.202,0.678006,0.674157,0.381042,1,0.101013,99.0391
14300,       9985.618,0.678244,0.674157,0.377396,0.999985,0.0990448,99.0417
14400,      10053.034,0.678513,0.674157,0.373779,1,0.096817,99.0439
14500,      10120.449,0.678803,0.674157,0.36972,1,0.0946655,99.0459
14600,      10187.866,0.679093,0.674164,0.365234,0.999985,0.0923157,99.0475
14700,      10255.281,0.679332,0.674157,0.360123,0.999985,0.0896454,99.0488
14800,      10322.697,0.679415,0.674157,0.354752,1.00002,0.0874176,99.05
14900,      10390.113,0.67929,0.674157,0.348831,1,0.0852509,99.0513
15000,      10457.529,0.679197,0.674154,0.342117,1,0.0826721,99.0525
15100,      10524.944,0.679259,0.674157,0.335678,1,0.0803223,99.0538
15200,      10592.360,0.679031,0.674157,0.329208,1,0.0781555,99.0551
15300,      10659.776,0.679176,0.674157,0.323334,1,0.074707,99.0565
15400,      10727.191,0.678959,0.674157,0.317322,1,0.0730438,99.0579
15500,      10794.607,0.679031,0.674154,0.311005,1,0.0712585,99.0593
