"M08_10m_EXG_002","Location","Flow","Water Level","Velocity"
"q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_08\Complete_Model\TUFLOW\runs\M08_~s1~_~s2~_002.tcf","Time","Loc1_L","Loc1_P","Loc1_P"
"q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_08\Complete_Model\TUFLOW\results\M08_10m_EXG_002_PO.csv",        0.000000,          0.0000,         39.0041,          0.0000
,        0.016667,          0.0000,         39.0041,          0.0000
,        0.033333,          0.0000,         39.0041,          0.0000
,        0.050000,          0.0000,         39.0041,          0.0000
,        0.066667,          0.0000,         39.0041,          0.0000
,        0.083333,          0.0000,         39.0041,          0.0000
,        0.100000,          0.0000,         39.0041,          0.0000
,        0.116667,          0.0000,         39.0041,          0.0000
,        0.133333,          0.0000,         39.0041,          0.0000
,        0.150000,          0.0000,         39.0041,          0.0000
,        0.166667,          0.0000,         39.0041,          0.0000
,        0.183333,          0.0000,         39.0041,          0.0000
,        0.200000,          0.0000,         39.0041,          0.0000
,        0.216667,          0.0000,         39.0041,          0.0000
,        0.233333,          0.0000,         39.0041,          0.0000
,        0.250000,          0.0000,         39.0041,          0.0000
,        0.266667,          0.0000,         39.0041,          0.0000
,        0.283333,          0.0000,         39.0041,          0.0000
,        0.300000,          0.0000,         39.0041,          0.0000
,        0.316667,          0.0000,         39.0041,          0.0000
,        0.333333,          0.0000,         39.0041,          0.0000
,        0.350000,          0.0000,         39.0041,          0.0000
,        0.366667,          0.0000,         39.0041,          0.0000
,        0.383333,          0.0000,         39.0041,          0.0000
,        0.400000,          0.0000,         39.0041,          0.0000
,        0.416667,          0.0000,         39.0041,          0.0000
,        0.433333,          0.0000,         39.0041,          0.0000
,        0.450000,          0.0000,         39.0041,          0.0000
,        0.466667,          0.0000,         39.0041,          0.0000
,        0.483333,          0.0000,         39.0041,          0.0000
,        0.500000,          0.0000,         39.0041,          0.0000
,        0.516667,          0.0000,         39.0041,          0.0000
,        0.533333,          0.0000,         39.0041,          0.0000
,        0.550000,          0.0000,         39.0041,          0.0000
,        0.566667,          0.0000,         39.0041,          0.0000
,        0.583333,          0.0000,         39.0041,          0.0000
,        0.600000,          0.0000,         39.0041,          0.0000
,        0.616667,          0.0000,         39.0041,          0.0000
