"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.5000000E-01,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,     0.000
         0.017,         162,         0,         0,  1.319307    , 0.1666667E-01,  0.000000    , 0.8034338E-02, 0.3920799    ,  0.000000    ,  0.000000    ,  0.000000    ,  1.125000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1.509046    ,  1.509046    , 0.6906171E-07,  1.509046    ,     0.000
         0.033,         198,         0,         0,  1.726095    , 0.3333333E-01,  0.000000    , 0.8474049E-01,  6.158565    ,  0.000000    ,  0.000000    ,  0.000000    ,  3.375000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  9.448825    ,  9.448825    ,-0.3292807E-06,  10.95787    ,    -0.000
         0.050,         238,         0,         0,  1.429599    , 0.5000000E-01,  0.000000    , 0.1656047    ,  18.41431    ,  0.000000    ,  0.000000    ,  0.000000    ,  5.625000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  23.87371    ,  23.87371    , 0.4038448E-05,  34.83158    ,     0.000
         0.067,         284,         0,         0,  1.288641    , 0.6666667E-01,  0.000000    , 0.2149596    ,  30.48396    ,  0.000000    ,  0.000000    ,  0.000000    ,  7.875000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  38.14400    ,  38.14400    ,-0.4961854E-05,  72.97558    ,    -0.000
         0.083,         333,         0,         0,  1.198209    , 0.8333334E-01,  0.000000    , 0.2905791    ,  41.89535    ,  0.000000    ,  0.000000    ,  0.000000    ,  10.20000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  51.80477    ,  51.80477    , 0.1398847E-05,  124.7803    ,     0.000
         0.100,         387,         0,         0,  1.084691    , 0.1000000    ,  0.000000    , 0.3985840    ,  59.82858    ,  0.000000    ,  0.000000    ,  0.000000    ,  15.00000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  74.42999    ,  74.42998    ,-0.1569372E-04,  199.2103    ,    -0.000
         0.117,         446,         0,         0, 0.9965239    , 0.1166667    ,  0.000000    , 0.5559776    ,  86.70252    ,  0.000000    ,  0.000000    ,  0.000000    ,  21.00000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  107.1465    ,  107.1465    , 0.1347624E-05,  306.3569    ,     0.000
         0.133,         509,         0,         0, 0.9339106    , 0.1333333    ,  0.000000    , 0.7160710    ,  114.8775    ,  0.000000    ,  0.000000    ,  0.000000    ,  27.00000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  141.1614    ,  141.1614    ,-0.4530419E-04,  447.5182    ,    -0.000
         0.150,         576,         0,         0, 0.8864423    , 0.1500000    ,  0.000000    , 0.8777752    ,  142.9679    ,  0.000000    ,  0.000000    ,  0.000000    ,  33.00000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  175.0901    ,  175.0901    , 0.6554183E-04,  622.6084    ,     0.000
         0.167,         646,         0,         0, 0.8486014    , 0.1666667    ,  0.000000    ,  1.039458    ,  170.8499    ,  0.000000    ,  0.000000    ,  0.000000    ,  39.00001    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  208.8104    ,  208.8104    ,-0.5251355E-04,  831.4188    ,    -0.000
         0.183,         725,         0,         0, 0.7092171    , 0.1833333    ,  0.000000    ,  1.219861    ,  196.5188    ,  0.000000    ,  0.000000    ,  0.000000    ,  44.20002    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  239.4990    ,  239.4991    , 0.9070244E-04,  1070.918    ,     0.000
         0.200,         816,         0,         0, 0.6342327    , 0.2000000    ,  0.000000    ,  1.413419    ,  214.4835    ,  0.000000    ,  0.000000    ,  0.000000    ,  47.75000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  260.8201    ,  260.8199    ,-0.1389189E-03,  1331.738    ,    -0.000
         0.217,         916,         0,         0, 0.5868561    , 0.2166667    ,  0.000000    ,  1.590855    ,  231.0007    ,  0.000000    ,  0.000000    ,  0.000000    ,  51.25000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  280.6599    ,  280.6599    , 0.3611110E-04,  1612.398    ,     0.000
         0.233,        1023,         0,         0, 0.5552424    , 0.2333333    ,  0.000000    ,  1.768075    ,  247.3013    ,  0.000000    ,  0.000000    ,  0.000000    ,  54.75000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  300.2832    ,  300.2833    , 0.1194589E-03,  1912.681    ,     0.000
         0.250,        1135,         0,         0, 0.5320482    , 0.2500000    ,  0.000000    ,  1.949429    ,  263.1681    ,  0.000000    ,  0.000000    ,  0.000000    ,  58.24999    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  319.4686    ,  319.4684    ,-0.2648681E-03,  2232.149    ,    -0.000
         0.267,        1251,         0,         0, 0.5132325    , 0.2666667    ,  0.000000    ,  2.129182    ,  283.3436    ,  0.000000    ,  0.000000    ,  0.000000    ,  63.25000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  344.4644    ,  344.4644    ,-0.7468276E-04,  2576.614    ,    -0.000
         0.283,        1371,         0,         0, 0.4974592    , 0.2833333    ,  0.000000    ,  2.323323    ,  312.0102    ,  0.000000    ,  0.000000    ,  0.000000    ,  69.75000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  379.4369    ,  379.4373    , 0.3967024E-03,  2956.051    ,     0.000
         0.300,        1495,         0,         0, 0.4833563    , 0.3000000    ,  0.000000    ,  2.526837    ,  341.6083    ,  0.000000    ,  0.000000    ,  0.000000    ,  76.25000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  415.3315    ,  415.3315    , 0.6727502E-04,  3371.383    ,     0.000
         0.317,        1622,         0,         0, 0.4708225    , 0.3166667    ,  0.000000    ,  2.733976    ,  371.0236    ,  0.000000    ,  0.000000    ,  0.000000    ,  82.75000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  451.0396    ,  451.0396    ,-0.3873371E-04,  3822.422    ,    -0.000
         0.333,        1752,         0,         0, 0.4595943    , 0.3333333    ,  0.000000    ,  2.945715    ,  400.4504    ,  0.000000    ,  0.000000    ,  0.000000    ,  89.38448    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  486.8892    ,  486.8889    ,-0.2416596E-03,  4309.311    ,    -0.000
         0.350,        1885,         0,         0, 0.4492365    , 0.3500000    ,  0.000000    ,  3.195277    ,  445.9497    ,  0.000000    ,  0.000000    ,  0.000000    ,  100.4556    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  543.2100    ,  543.2100    ,-0.5401671E-06,  4852.521    ,    -0.000
         0.367,        2021,         0,         0, 0.4388911    , 0.3666667    ,  0.000000    ,  3.525117    ,  505.0941    ,  0.000000    ,  0.000000    ,  0.000000    ,  113.6778    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  615.2468    ,  615.2480    , 0.1274874E-02,  5467.769    ,     0.000
         0.383,        2160,         0,         0, 0.4290914    , 0.3833333    ,  0.000000    ,  3.880323    ,  564.1635    ,  0.000000    ,  0.000000    ,  0.000000    ,  126.9000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  687.1832    ,  687.1821    ,-0.1025209E-02,  6154.951    ,    -0.000
         0.400,        2303,         0,         0, 0.4198372    , 0.4000000    ,  0.000000    ,  4.215112    ,  623.5969    ,  0.000000    ,  0.000000    ,  0.000000    ,  140.1222    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  759.5040    ,  759.5029    ,-0.1045732E-02,  6914.454    ,    -0.000
         0.417,        2449,         0,         0, 0.4115289    , 0.4166667    ,  0.000000    ,  4.542863    ,  682.6167    ,  0.000000    ,  0.000000    ,  0.000000    ,  153.3446    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  831.4184    ,  831.4199    , 0.1556164E-02,  7745.874    ,     0.000
         0.433,        2597,         0,         0, 0.4037915    , 0.4333334    ,  0.000000    ,  4.908699    ,  759.5742    ,  0.000000    ,  0.000000    ,  0.000000    ,  171.1355    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  925.8010    ,  925.7998    ,-0.1208052E-02,  8671.674    ,    -0.000
