"M08_10m_EXG_002 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_08\Complete_Model\TUFLOW\runs\M08_~s1~_~s2~_002.tcf]","Time (h)","Q Loc1_L [M08_10m_EXG_002]"
           1,        0.000000,          0.0000
           2,        0.016667,          0.0000
           3,        0.033333,          0.0000
           4,        0.050000,          0.0000
           5,        0.066667,          0.0000
           6,        0.083333,          0.0000
           7,        0.100000,          0.0000
           8,        0.116667,          0.0000
           9,        0.133333,          0.0000
          10,        0.150000,          0.0000
          11,        0.166667,          0.0000
          12,        0.183333,          0.0000
          13,        0.200000,          0.0000
          14,        0.216667,          0.0000
          15,        0.233333,          0.0000
          16,        0.250000,          0.0000
          17,        0.266667,          0.0000
          18,        0.283333,          0.0000
          19,        0.300000,          0.0000
          20,        0.316667,          0.0000
          21,        0.333333,          0.0000
          22,        0.350000,          0.0000
          23,        0.366667,          0.0000
          24,        0.383333,          0.0000
          25,        0.400000,          0.0000
          26,        0.416667,          0.0000
          27,        0.433333,          0.0000
          28,        0.450000,          0.0000
          29,        0.466667,          0.0000
          30,        0.483333,          0.0000
          31,        0.500000,          0.0000
          32,        0.516667,          0.0000
          33,        0.533333,          0.0000
          34,        0.550000,          0.0000
          35,        0.566667,          0.0000
          36,        0.583333,          0.0000
          37,        0.600000,          0.0000
          38,        0.616667,          0.0000
          39,        0.633333,          0.0000
          40,        0.650000,         -0.0304
          41,        0.666667,         -0.1297
          42,        0.683333,         -0.1375
          43,        0.700000,         12.6306
          44,        0.716667,         35.8409
          45,        0.733333,         49.3144
          46,        0.750000,         60.0630
          47,        0.766667,         68.9891
          48,        0.783333,         74.5550
          49,        0.800000,         78.3778
          50,        0.816667,         80.1321
          51,        0.833333,         79.0781
          52,        0.850000,         76.0010
          53,        0.866667,         73.9434
          54,        0.883333,         74.5164
          55,        0.900000,         75.6430
          56,        0.916667,         74.5884
          57,        0.933333,         75.1379
          58,        0.950000,         76.6123
          59,        0.966667,         80.0715
          60,        0.983333,         83.4785
          61,        1.000000,         86.4623
          62,        1.016667,         88.3843
          63,        1.033333,         90.2815
          64,        1.050000,         91.5669
          65,        1.066667,         92.5840
          66,        1.083333,         93.0824
          67,        1.100000,         93.3448
          68,        1.116667,         93.3473
          69,        1.133333,         93.1828
          70,        1.150000,         92.6406
          71,        1.166667,         91.8652
          72,        1.183333,         90.8657
          73,        1.200000,         89.7343
          74,        1.216667,         88.5556
          75,        1.233333,         87.4698
          76,        1.250000,         86.0965
          77,        1.266667,         84.4749
          78,        1.283333,         82.8202
          79,        1.300000,         81.0428
          80,        1.316667,         79.2494
          81,        1.333333,         77.2504
          82,        1.350000,         75.3414
          83,        1.366667,         72.9293
          84,        1.383333,         70.8161
          85,        1.400000,         68.5666
          86,        1.416667,         66.4707
          87,        1.433333,         64.2236
          88,        1.450000,         62.0216
          89,        1.466667,         59.8681
          90,        1.483333,         57.8130
          91,        1.500000,         55.7115
          92,        1.516667,         53.4892
          93,        1.533333,         51.4263
          94,        1.550000,         49.6364
          95,        1.566667,         47.7280
          96,        1.583333,         45.8482
          97,        1.600000,         43.9382
          98,        1.616667,         42.0772
          99,        1.633333,         40.1983
         100,        1.650000,         38.6327
         101,        1.666667,         37.1675
         102,        1.683333,         36.0025
         103,        1.700000,         34.7462
         104,        1.716667,         33.6105
         105,        1.733333,         32.5717
         106,        1.750000,         31.5927
         107,        1.766667,         30.5108
         108,        1.783333,         29.3893
         109,        1.800000,         28.3636
         110,        1.816667,         27.3322
         111,        1.833333,         26.4933
         112,        1.850000,         25.6232
         113,        1.866667,         24.8962
         114,        1.883333,         24.2050
         115,        1.900000,         23.6224
         116,        1.916667,         23.1170
         117,        1.933333,         22.6847
         118,        1.950000,         22.2421
         119,        1.966667,         21.8606
         120,        1.983333,         21.4503
         121,        2.000000,         21.1008
         122,        2.016667,         20.7977
         123,        2.033333,         20.5171
         124,        2.050000,         20.1646
         125,        2.066667,         19.8319
         126,        2.083333,         19.5134
         127,        2.100000,         19.2001
         128,        2.116667,         18.8189
         129,        2.133333,         18.4336
         130,        2.150000,         17.9763
         131,        2.166667,         17.6116
         132,        2.183333,         17.1746
         133,        2.200000,         16.7017
         134,        2.216667,         16.2162
         135,        2.233333,         15.8115
         136,        2.250000,         15.4008
         137,        2.266667,         15.0330
         138,        2.283333,         14.6664
         139,        2.300000,         14.3714
         140,        2.316667,         14.0698
         141,        2.333333,         13.7697
         142,        2.350000,         13.4819
         143,        2.366667,         13.2518
         144,        2.383333,         12.9898
         145,        2.400000,         12.7155
         146,        2.416667,         12.4360
         147,        2.433333,         12.2065
         148,        2.450000,         11.9864
         149,        2.466667,         11.7980
         150,        2.483333,         11.9235
         151,        2.500000,         11.5869
         152,        2.516667,         11.1782
         153,        2.533333,         10.9327
         154,        2.550000,         10.7409
         155,        2.566667,         10.6339
         156,        2.583333,         10.4614
         157,        2.600000,         10.0949
         158,        2.616667,          9.5589
         159,        2.633333,          9.4616
         160,        2.650000,          9.2472
         161,        2.666667,          9.0459
         162,        2.683333,          8.6993
         163,        2.700000,          8.5614
         164,        2.716667,          8.4119
         165,        2.733333,          8.2405
         166,        2.750000,          8.0739
         167,        2.766667,          7.7538
         168,        2.783333,          7.6441
         169,        2.800000,          7.4303
         170,        2.816667,          7.3780
         171,        2.833333,          7.0515
         172,        2.850000,          6.9498
         173,        2.866667,          6.7255
         174,        2.883333,          6.5935
         175,        2.900000,          6.2739
         176,        2.916667,          6.0183
         177,        2.933333,          5.7404
         178,        2.950000,          5.5462
         179,        2.966667,          5.4038
         180,        2.983333,          5.1361
         181,        3.000000,          4.9388

