"M08_2.5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_08\Complete_Model\TUFLOW\runs\M08_~s1~_001.tcf]","Time (h)","H Loc1_P [M08_2.5m_001]"
           1,        0.000000,         39.0120
           2,        0.016667,         39.0120
           3,        0.033333,         39.0120
           4,        0.050000,         39.0120
           5,        0.066667,         39.0120
           6,        0.083333,         39.0120
           7,        0.100000,         39.0120
           8,        0.116667,         39.0120
           9,        0.133333,         39.0120
          10,        0.150000,         39.0120
          11,        0.166667,         39.0120
          12,        0.183333,         39.0120
          13,        0.200000,         39.0120
          14,        0.216667,         39.0120
          15,        0.233333,         39.0120
          16,        0.250000,         39.0120
          17,        0.266667,         39.0120
          18,        0.283333,         39.0120
          19,        0.300000,         39.0120
          20,        0.316667,         39.0120
          21,        0.333333,         39.0120
          22,        0.350000,         39.0120
          23,        0.366667,         39.0120
          24,        0.383333,         39.0120
          25,        0.400000,         39.0120
          26,        0.416667,         39.0120
          27,        0.433333,         39.0120
          28,        0.450000,         39.0120
          29,        0.466667,         39.0120
          30,        0.483333,         39.0120
          31,        0.500000,         39.0120
          32,        0.516667,         39.0120
          33,        0.533333,         39.0120
          34,        0.550000,         39.0120
          35,        0.566667,         39.0120
          36,        0.583333,         39.0120
          37,        0.600000,         39.0120
          38,        0.616667,         39.0120
          39,        0.633333,         39.0120
          40,        0.650000,         39.0691
          41,        0.666667,         39.1280
          42,        0.683333,         39.1496
          43,        0.700000,         40.8015
          44,        0.716667,         41.4809
          45,        0.733333,         41.8134
          46,        0.750000,         42.0090
          47,        0.766667,         42.1301
          48,        0.783333,         42.2103
          49,        0.800000,         42.2717
          50,        0.816667,         42.3320
          51,        0.833333,         42.4098
          52,        0.850000,         42.5058
          53,        0.866667,         42.6098
          54,        0.883333,         42.7110
          55,        0.900000,         42.8057
          56,        0.916667,         42.8886
          57,        0.933333,         42.9563
          58,        0.950000,         43.0099
          59,        0.966667,         43.0538
          60,        0.983333,         43.0954
          61,        1.000000,         43.1245
          62,        1.016667,         43.1490
          63,        1.033333,         43.1689
          64,        1.050000,         43.1829
          65,        1.066667,         43.1942
