"M08_2.5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_08\Complete_Model\TUFLOW\runs\M08_~s1~_001.tcf]","Time (h)","Q Loc1_L [M08_2.5m_001]"
           1,        0.000000,          0.0000
           2,        0.016667,          0.0000
           3,        0.033333,          0.0000
           4,        0.050000,          0.0000
           5,        0.066667,          0.0000
           6,        0.083333,          0.0000
           7,        0.100000,          0.0000
           8,        0.116667,          0.0000
           9,        0.133333,          0.0000
          10,        0.150000,          0.0000
          11,        0.166667,          0.0000
          12,        0.183333,          0.0000
          13,        0.200000,          0.0000
          14,        0.216667,          0.0000
          15,        0.233333,          0.0000
          16,        0.250000,          0.0000
          17,        0.266667,          0.0000
          18,        0.283333,          0.0000
          19,        0.300000,          0.0000
          20,        0.316667,          0.0000
          21,        0.333333,          0.0000
          22,        0.350000,          0.0000
          23,        0.366667,          0.0000
          24,        0.383333,          0.0000
          25,        0.400000,          0.0000
          26,        0.416667,          0.0000
          27,        0.433333,          0.0000
          28,        0.450000,          0.0000
          29,        0.466667,          0.0000
          30,        0.483333,          0.0000
          31,        0.500000,          0.0000
          32,        0.516667,          0.0000
          33,        0.533333,          0.0000
          34,        0.550000,          0.0000
          35,        0.566667,          0.0000
          36,        0.583333,          0.0000
          37,        0.600000,          0.0000
          38,        0.616667,          0.0000
          39,        0.633333,          0.0000
          40,        0.650000,         -0.0341
          41,        0.666667,         -0.0904
          42,        0.683333,         -0.1009
          43,        0.700000,         26.6215
          44,        0.716667,         42.3107
          45,        0.733333,         53.5459
          46,        0.750000,         63.6662
          47,        0.766667,         71.6794
          48,        0.783333,         77.4591
          49,        0.800000,         81.2519
          50,        0.816667,         82.8458
          51,        0.833333,         81.5322
          52,        0.850000,         78.8736
          53,        0.866667,         76.6155
          54,        0.883333,         74.7333
          55,        0.900000,         72.9442
          56,        0.916667,         72.2125
          57,        0.933333,         72.7816
          58,        0.950000,         73.9878
          59,        0.966667,         76.3345
          60,        0.983333,         83.4221
          61,        1.000000,         87.6789
          62,        1.016667,         88.2082
          63,        1.033333,         89.7919
          64,        1.050000,         90.8907
          65,        1.066667,         91.9224
          66,        1.083333,         92.4766
          67,        1.100000,         92.8763
          68,        1.116667,         92.8387
          69,        1.133333,         92.8496
          70,        1.150000,         92.2553
          71,        1.166667,         91.6033
          72,        1.183333,         90.6406
          73,        1.200000,         89.6307
          74,        1.216667,         88.4667
          75,        1.233333,         87.1867
          76,        1.250000,         85.7612
          77,        1.266667,         84.2462
          78,        1.283333,         82.6501
          79,        1.300000,         81.0088
          80,        1.316667,         79.1744
          81,        1.333333,         77.2003
          82,        1.350000,         75.1236
          83,        1.366667,         72.9777
          84,        1.383333,         70.8140
          85,        1.400000,         68.6926
          86,        1.416667,         66.5774
          87,        1.433333,         64.4653
          88,        1.450000,         62.3573
          89,        1.466667,         60.2575
          90,        1.483333,         58.1742
          91,        1.500000,         56.1408
          92,        1.516667,         54.1157
          93,        1.533333,         52.1117
          94,        1.550000,         50.1086
          95,        1.566667,         48.1486
          96,        1.583333,         46.2449
          97,        1.600000,         44.3983
          98,        1.616667,         42.5943
          99,        1.633333,         40.8300
         100,        1.650000,         39.1813
         101,        1.666667,         37.7330
         102,        1.683333,         36.4633
         103,        1.700000,         35.3330
         104,        1.716667,         34.2193
         105,        1.733333,         33.1745
         106,        1.750000,         32.1659
         107,        1.766667,         31.1254
         108,        1.783333,         30.0839
         109,        1.800000,         29.0168
         110,        1.816667,         27.9883
         111,        1.833333,         27.0395
         112,        1.850000,         26.2254
         113,        1.866667,         25.4962
         114,        1.883333,         24.8481
         115,        1.900000,         24.2295
         116,        1.916667,         23.6628
         117,        1.933333,         23.1665
         118,        1.950000,         22.7290
         119,        1.966667,         22.2978
         120,        1.983333,         21.9032
         121,        2.000000,         21.5110
         122,        2.016667,         21.1385
         123,        2.033333,         20.7759
         124,        2.050000,         20.4621
         125,        2.066667,         20.1539
         126,        2.083333,         19.8621
         127,        2.100000,         19.4768
         128,        2.116667,         19.0994
         129,        2.133333,         18.7461
         130,        2.150000,         18.3564
         131,        2.166667,         17.9509
         132,        2.183333,         17.5348
         133,        2.200000,         17.1142
         134,        2.216667,         16.6692
         135,        2.233333,         16.2355
         136,        2.250000,         15.8037
         137,        2.266667,         15.3967
         138,        2.283333,         15.0324
         139,        2.300000,         14.6741
         140,        2.316667,         14.3755
         141,        2.333333,         14.0834
         142,        2.350000,         13.8227
         143,        2.366667,         13.5387
         144,        2.383333,         13.2854
         145,        2.400000,         13.0016
         146,        2.416667,         12.7444
         147,        2.433333,         12.5226
         148,        2.450000,         12.2895
         149,        2.466667,         12.1636
         150,        2.483333,         11.9143
         151,        2.500000,         11.6777
         152,        2.516667,         11.4070
         153,        2.533333,         11.2157
         154,        2.550000,         10.9783
         155,        2.566667,         10.7587
         156,        2.583333,         10.5528
         157,        2.600000,         10.3097
         158,        2.616667,         10.0572
         159,        2.633333,          9.7712
         160,        2.650000,          9.5265
         161,        2.666667,          9.2908
         162,        2.683333,          9.0611
         163,        2.700000,          8.8302
         164,        2.716667,          8.6779
         165,        2.733333,          8.5113
         166,        2.750000,          8.3303
         167,        2.766667,          8.1216
         168,        2.783333,          7.8788
         169,        2.800000,          7.6701
         170,        2.816667,          7.4837
         171,        2.833333,          7.3326
         172,        2.850000,          7.0182
         173,        2.866667,          6.7097
         174,        2.883333,          6.4833
         175,        2.900000,          6.2840
         176,        2.916667,          6.0135
         177,        2.933333,          5.8146
         178,        2.950000,          5.5957
         179,        2.966667,          5.4072
         180,        2.983333,          5.1667
         181,        3.000000,          4.9146

