"M08_5m_EXG_002 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_08\Complete_Model\TUFLOW\runs\M08_~s1~_~s2~_002.tcf]","Time (h)","H Loc1_P [M08_5m_EXG_002]"
           1,        0.000000,         39.0108
           2,        0.016667,         39.0108
           3,        0.033333,         39.0108
           4,        0.050000,         39.0108
           5,        0.066667,         39.0108
           6,        0.083333,         39.0108
           7,        0.100000,         39.0108
           8,        0.116667,         39.0108
           9,        0.133333,         39.0108
          10,        0.150000,         39.0108
          11,        0.166667,         39.0108
          12,        0.183333,         39.0108
          13,        0.200000,         39.0108
          14,        0.216667,         39.0108
          15,        0.233333,         39.0108
          16,        0.250000,         39.0108
          17,        0.266667,         39.0108
          18,        0.283333,         39.0108
          19,        0.300000,         39.0108
          20,        0.316667,         39.0108
          21,        0.333333,         39.0108
          22,        0.350000,         39.0108
          23,        0.366667,         39.0108
          24,        0.383333,         39.0108
          25,        0.400000,         39.0108
          26,        0.416667,         39.0108
          27,        0.433333,         39.0108
          28,        0.450000,         39.0108
          29,        0.466667,         39.0108
          30,        0.483333,         39.0108
          31,        0.500000,         39.0108
          32,        0.516667,         39.0108
          33,        0.533333,         39.0108
          34,        0.550000,         39.0108
          35,        0.566667,         39.0108
          36,        0.583333,         39.0108
          37,        0.600000,         39.0108
          38,        0.616667,         39.0108
          39,        0.633333,         39.0108
          40,        0.650000,         39.0711
          41,        0.666667,         39.1436
          42,        0.683333,         39.1642
          43,        0.700000,         40.8107
          44,        0.716667,         41.4983
          45,        0.733333,         41.8266
          46,        0.750000,         42.0155
          47,        0.766667,         42.1323
          48,        0.783333,         42.2097
          49,        0.800000,         42.2701
          50,        0.816667,         42.3307
          51,        0.833333,         42.4092
          52,        0.850000,         42.5051
          53,        0.866667,         42.6077
          54,        0.883333,         42.7085
          55,        0.900000,         42.8023
          56,        0.916667,         42.8860
          57,        0.933333,         42.9537
          58,        0.950000,         43.0066
          59,        0.966667,         43.0553
          60,        0.983333,         43.0933
          61,        1.000000,         43.1195
          62,        1.016667,         43.1438
          63,        1.033333,         43.1595
          64,        1.050000,         43.1725
          65,        1.066667,         43.1821
          66,        1.083333,         43.1887
          67,        1.100000,         43.1938
          68,        1.116667,         43.1971
          69,        1.133333,         43.1991
          70,        1.150000,         43.1999
          71,        1.166667,         43.1996
          72,        1.183333,         43.1984
          73,        1.200000,         43.1964
