"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.017,              ,  0.000000    , 0.2306552E-02,  6.204493    ,  0.000000    ,  6.204493    , 0.2306552E-02,  6.202186    ,  6.202701    , 0.5147701E-03, 0.8293649E-02,  6.206799    ,  6.202701    ,  6.206799    , 0.5147701E-03, 0.8293649E-02, 0.8293649E-02
         0.033,              ,  0.000000    , 0.4182895E-01,  18.60746    ,  0.000000    ,  18.60746    , 0.4182895E-01,  18.56563    ,  18.69447    , 0.1288407    , 0.6908610    ,  18.64929    ,  24.89717    ,  24.85608    , 0.1293554    , 0.5195588    , 0.5204176    
         0.050,              ,  0.000000    , 0.1569169    ,  31.00821    ,  0.000000    ,  31.00821    , 0.1569169    ,  30.85129    ,  31.41951    , 0.5682146    ,  1.823238    ,  31.16513    ,  56.31668    ,  56.02121    , 0.6975700    ,  1.238656    ,  1.245189    
         0.067,              ,  0.000000    , 0.2728450    ,  44.47688    ,  0.000000    ,  44.47688    , 0.2728450    ,  44.20403    ,  44.72335    , 0.5193191    ,  1.160497    ,  44.74972    ,  101.0400    ,  100.7709    ,  1.216889    ,  1.204363    ,  1.207579    
         0.083,              ,  0.000000    , 0.3233429    ,  57.56818    ,  0.000000    ,  57.56818    , 0.3233429    ,  57.24484    ,  57.72533    , 0.4804912    , 0.8299854    ,  57.89152    ,  158.7654    ,  158.6625    ,  1.697380    ,  1.069113    ,  1.069806    
         0.100,              ,  0.000000    , 0.3882939    ,  83.77033    ,  0.000000    ,  83.77033    , 0.3882939    ,  83.38204    ,  84.24825    , 0.8662173    ,  1.029267    ,  84.15862    ,  243.0136    ,  242.8211    ,  2.563598    ,  1.054919    ,  1.055756    
         0.117,              ,  0.000000    , 0.5019439    ,  117.8136    ,  0.000000    ,  117.8136    , 0.5019439    ,  117.3117    ,  118.0155    , 0.7038463    , 0.5948889    ,  118.3156    ,  361.0292    ,  361.1367    ,  3.267444    , 0.9047667    , 0.9047667    
         0.133,              ,  0.000000    , 0.6522553    ,  150.7682    ,  0.000000    ,  150.7682    , 0.6522553    ,  150.1160    ,  151.2153    ,  1.099331    , 0.7260118    ,  151.4205    ,  512.2445    ,  512.5572    ,  4.366775    , 0.8519585    , 0.8519585    
         0.150,              ,  0.000000    , 0.7775682    ,  184.4618    ,  0.000000    ,  184.4618    , 0.7775682    ,  183.6842    ,  184.5976    , 0.9134108    , 0.4930976    ,  185.2394    ,  696.8421    ,  697.7965    ,  5.280185    , 0.7566941    , 0.7566941    
