"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.1000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,     0.000
         0.017,         129,         0,         0,  1.354679    , 0.1666667E-01,  0.000000    , 0.2306552E-02, 0.8509153E-02,  0.000000    ,  0.000000    ,  0.000000    , 0.7499999    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.7562025    , 0.7562025    ,-0.7348675E-08, 0.7562025    ,     0.000
         0.033,         162,         0,         0,  2.638613    , 0.3333333E-01,  0.000000    , 0.4182895E-01, 0.5171943    ,  0.000000    ,  0.000000    ,  0.000000    ,  2.250000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  2.725365    ,  2.725365    , 0.2219749E-06,  3.481568    ,     0.000
         0.050,         182,         0,         0,  3.747521    , 0.5000000E-01,  0.000000    , 0.1569169    ,  3.386896    ,  0.000000    ,  0.000000    ,  0.000000    ,  3.750000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  6.979979    ,  6.979980    , 0.1217704E-05,  10.46155    ,     0.000
         0.067,         201,         0,         0,  3.164722    , 0.6666667E-01,  0.000000    , 0.2726411    ,  9.230845    ,  0.000000    ,  0.000000    ,  0.000000    ,  5.250000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  14.20820    ,  14.20820    , 0.4740432E-06,  24.66975    ,     0.000
         0.083,         222,         0,         0,  2.820198    , 0.8333334E-01,  0.000000    , 0.3232215    ,  16.66829    ,  0.000000    ,  0.000000    ,  0.000000    ,  6.793014    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  23.13809    ,  23.13808    ,-0.2670102E-05,  47.80783    ,    -0.000
         0.100,         245,         0,         0,  2.546897    , 0.1000000    ,  0.000000    , 0.3705659    ,  26.57014    ,  0.000000    ,  0.000000    ,  0.000000    ,  9.766666    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  35.96624    ,  35.96624    ,-0.3919005E-05,  83.77407    ,    -0.000
         0.117,         271,         0,         0,  2.324033    , 0.1166667    ,  0.000000    , 0.4646349    ,  41.19604    ,  0.000000    ,  0.000000    ,  0.000000    ,  13.43333    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  54.16474    ,  54.16476    , 0.1974963E-04,  137.9388    ,     0.000
         0.133,         299,         0,         0,  2.161161    , 0.1333333    ,  0.000000    , 0.5173954    ,  58.67961    ,  0.000000    ,  0.000000    ,  0.000000    ,  17.10000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  75.26221    ,  75.26219    ,-0.1984276E-04,  213.2010    ,    -0.000
         0.150,         329,         0,         0,  2.041052    , 0.1500000    ,  0.000000    , 0.6405517    ,  77.43814    ,  0.000000    ,  0.000000    ,  0.000000    ,  20.76667    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  97.56425    ,  97.56430    , 0.4635565E-04,  310.7653    ,     0.000
