iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,         31.863,0.738956,0.721455,0.00346375,0.1082,1.52588e-05,99.4265
200,        231.741,2.78282,2.75304,0.335236,1.00668,0.0359955,96.6359
300,        445.161,1.94471,1.93548,0.421524,1.00264,0.0805969,96.0388
400,        620.000,1.68022,1.66667,0.439392,1.00165,0.100891,96.3222
500,        754.660,1.22875,1.20668,0.339325,1.00134,0.0853271,96.5516
600,        867.593,1.10624,1.08025,0.32103,1.00079,0.0887146,96.6679
700,        972.263,1.02985,1.01567,0.284271,1.00058,0.0938263,96.8376
800,       1070.453,0.971125,0.954677,0.26236,1.00055,0.102859,96.9695
900,       1164.000,0.924335,0.923077,0.23764,1.00043,0.107239,97.119
1000,       1253.047,0.886331,0.869183,0.221634,1.0004,0.113312,97.2127
1100,       1338.700,0.853658,0.842857,0.221207,1.0004,0.128418,97.2954
1200,       1421.153,0.822666,0.819444,0.22168,1.00038,0.141312,97.3646
1300,       1500.000,0.795185,0.682999,0.248215,1.00031,0.176559,97.3812
1400,       1576.780,0.765475,0.758242,0.272629,1.00043,0.215408,97.4334
1500,       1650.864,0.734944,0.728395,0.27858,1.0004,0.242462,97.4951
1600,       1721.788,0.707927,0.700448,0.262421,1.00034,0.242889,97.5328
1700,       1790.833,0.686422,0.654821,0.248093,1.00024,0.241608,97.5943
1800,       1857.450,0.67127,0.637544,0.40419,1.00018,0.240295,97.6183
1900,       1923.297,0.661873,0.659341,0.36824,1.00011,0.246475,97.661
2000,       1988.478,0.656572,0.652174,0.342056,1.00006,0.252716,97.7025
2100,       2053.696,0.653703,0.652175,0.405472,1.00003,0.258453,97.7619
2200,       2118.849,0.652089,0.642988,0.398682,1.00002,0.264969,97.8247
2300,       2183.226,0.651035,0.645161,0.383545,1.00002,0.270706,97.8538
2400,       2247.742,0.65039,0.645161,0.371948,1.00002,0.272736,97.8911
2500,       2312.258,0.649973,0.645161,0.365036,1,0.275146,97.9285
2600,       2376.774,0.649676,0.64516,0.361298,1.00002,0.277588,97.9652
2700,       2441.290,0.649438,0.645161,0.358917,1,0.278366,98.0012
2800,       2505.807,0.649309,0.645161,0.3573,1,0.2789,98.036
2900,       2570.323,0.64923,0.645161,0.3564,1,0.27948,98.0694
3000,       2634.839,0.64916,0.645161,0.355835,1,0.28009,98.1014
3100,       2699.355,0.649101,0.645161,0.355423,1,0.280289,98.1322
3200,       2763.871,0.649091,0.645161,0.355072,1,0.279907,98.1617
3300,       2828.387,0.649101,0.645161,0.35495,1,0.279556,98.1898
3400,       2892.903,0.649121,0.645161,0.355011,1,0.279099,98.2166
3500,       2957.419,0.64918,0.645163,0.355148,1,0.277283,98.2421
3600,       3021.936,0.649299,0.645161,0.355499,0.999985,0.275421,98.2662
3700,       3086.452,0.649448,0.645161,0.356216,1,0.273605,98.2889
3800,       3150.968,0.649616,0.645161,0.357117,1,0.270142,98.3102
3900,       3215.484,0.649894,0.645161,0.358185,0.999985,0.265945,98.3299
4000,       3280.000,0.650221,0.645161,0.360046,0.999985,0.261795,98.3479
4100,       3344.516,0.650568,0.645161,0.362442,1,0.257751,98.3643
4200,       3409.032,0.650936,0.645161,0.365082,1,0.256363,98.379
4300,       3473.548,0.651373,0.645161,0.367599,0.999985,0.25531,98.392
4400,       3538.065,0.65188,0.645161,0.370239,0.999985,0.253799,98.4032
4500,       3602.609,0.652418,0.652174,0.37355,0.999985,0.251831,98.4134
4600,       3667.826,0.653025,0.652174,0.375198,1,0.249817,98.4402
