"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.083,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.167,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.250,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.333,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.417,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.500,              ,  0.000000    ,  0.000000    ,  4955.920    ,  0.000000    ,  4955.920    ,  0.000000    ,  4955.920    ,  4955.919    ,-0.3916323E-03,-0.7902313E-05,  4955.920    ,  4955.919    ,  4955.920    ,-0.3916323E-03,-0.7902313E-05,-0.7902313E-05
         0.583,              ,  0.000000    ,  0.000000    ,  19351.97    ,  0.000000    ,  19351.97    ,  0.000000    ,  19351.97    ,  19351.97    , 0.1068208E-03, 0.5519894E-06,  19351.97    ,  24307.89    ,  24307.89    ,-0.2848115E-03,-0.1171683E-05,-0.1171683E-05
         0.667,              ,  0.000000    ,  0.000000    ,  32146.76    ,  0.000000    ,  32146.76    ,  0.000000    ,  32146.76    ,  32146.76    ,-0.3226651E-02,-0.1003725E-04,  32146.76    ,  56454.65    ,  56454.66    ,-0.3511462E-02,-0.6219970E-05,-0.6219970E-05
         0.750,              ,  0.000000    ,  0.000000    ,  30391.42    ,  0.000000    ,  30391.42    ,  0.000000    ,  30391.42    ,  30391.44    , 0.1836395E-01, 0.6042479E-04,  30391.42    ,  86846.09    ,  86846.08    , 0.1485249E-01, 0.1710208E-04, 0.1710209E-04
         0.833,              ,  0.000000    ,  0.000000    ,  15791.72    ,  0.000000    ,  15791.72    ,  0.000000    ,  15791.72    ,  15791.72    ,-0.5378846E-02,-0.3406117E-04,  15791.72    ,  102637.8    ,  102637.8    , 0.9473645E-02, 0.9230170E-05, 0.9230171E-05
         0.917,              ,  0.000000    ,  0.000000    ,  3520.527    ,  0.000000    ,  3520.527    ,  0.000000    ,  3520.527    ,  3520.539    , 0.1179163E-01, 0.3349394E-03,  3520.527    ,  106158.4    ,  106158.3    , 0.2126528E-01, 0.2003166E-04, 0.2003166E-04
         1.000,              ,  0.000000    ,  0.000000    ,  459.1210    ,  0.000000    ,  459.1210    ,  0.000000    ,  459.1210    ,  459.1484    , 0.2747643E-01, 0.5984573E-02,  459.1210    ,  106617.5    ,  106617.5    , 0.4874171E-01, 0.4571642E-04, 0.4571645E-04
         1.083,              ,  0.000000    ,  0.000000    ,  127.7998    ,  0.000000    ,  127.7998    ,  0.000000    ,  127.7998    ,  127.8438    , 0.4391982E-01, 0.3436610E-01,  127.7998    ,  106745.3    ,  106745.3    , 0.9266153E-01, 0.8680615E-04, 0.8680623E-04
         1.167,              ,  0.000000    ,  0.000000    ,  52.43997    ,  0.000000    ,  52.43997    ,  0.000000    ,  52.43997    ,  52.50781    , 0.6784178E-01, 0.1293704    ,  52.43997    ,  106797.9    ,  106797.7    , 0.1605033    , 0.1502870E-03, 0.1502873E-03
         1.250,              ,  0.000000    ,  0.000000    ,  26.33998    ,  0.000000    ,  26.33998    ,  0.000000    ,  26.33998    ,  26.43750    , 0.9752027E-01, 0.3702367    ,  26.33998    ,  106824.3    ,  106824.0    , 0.2580236    , 0.2415402E-03, 0.2415408E-03
         1.333,              ,  0.000000    ,  0.000000    ,  19.88999    ,  0.000000    ,  19.88999    ,  0.000000    ,  19.88999    ,  20.01562    , 0.1256306    , 0.6316271    ,  19.88999    ,  106844.3    ,  106843.9    , 0.3836542    , 0.3590778E-03, 0.3590791E-03
         1.417,              ,  0.000000    ,  0.000000    ,  13.53000    ,  0.000000    ,  13.53000    ,  0.000000    ,  13.53000    ,  13.61719    , 0.8718459E-01, 0.6443797    ,  13.53000    ,  106857.9    ,  106857.5    , 0.4708388    , 0.4406213E-03, 0.4406232E-03
         1.500,              ,  0.000000    ,  0.000000    ,  9.689994    ,  0.000000    ,  9.689994    ,  0.000000    ,  9.689994    ,  9.789062    , 0.9906831E-01,  1.022377    ,  9.689994    ,  106867.7    ,  106867.1    , 0.5699071    , 0.5332828E-03, 0.5332856E-03
         1.583,              ,  0.000000    ,  0.000000    ,  7.200000    ,  0.000000    ,  7.200000    ,  0.000000    ,  7.200000    ,  7.289062    , 0.8906268E-01,  1.236982    ,  7.200000    ,  106875.0    ,  106874.3    , 0.6589698    , 0.6165799E-03, 0.6165837E-03
         1.667,              ,  0.000000    ,  0.000000    ,  5.550001    ,  0.000000    ,  5.550001    ,  0.000000    ,  5.550001    ,  5.679688    , 0.1296860    ,  2.336684    ,  5.550001    ,  106880.7    ,  106879.9    , 0.7886558    , 0.7378843E-03, 0.7378897E-03
         1.750,              ,  0.000000    ,  0.000000    ,  4.379997    ,  0.000000    ,  4.379997    ,  0.000000    ,  4.379997    ,  4.468750    , 0.8875317E-01,  2.026330    ,  4.379997    ,  106885.1    ,  106884.3    , 0.8774089    , 0.8208894E-03, 0.8208962E-03
         1.833,              ,  0.000000    ,  0.000000    ,  3.540000    ,  0.000000    ,  3.540000    ,  0.000000    ,  3.540000    ,  3.664062    , 0.1240623    ,  3.504585    ,  3.540000    ,  106888.8    ,  106887.8    ,  1.001471    , 0.9369281E-03, 0.9369368E-03
         1.917,              ,  0.000000    ,  0.000000    ,  2.880001    ,  0.000000    ,  2.880001    ,  0.000000    ,  2.880001    ,  2.921875    , 0.4187421E-01,  1.453965    ,  2.880001    ,  106891.7    ,  106890.7    ,  1.043345    , 0.9760768E-03, 0.9760864E-03
         2.000,              ,  0.000000    ,  0.000000    ,  2.339998    ,  0.000000    ,  2.339998    ,  0.000000    ,  2.339998    ,  2.390625    , 0.5062667E-01,  2.163534    ,  2.339998    ,  106894.1    ,  106893.0    ,  1.093972    , 0.1023416E-02, 0.1023427E-02
         2.083,              ,  0.000000    ,  0.000000    ,  1.950003    ,  0.000000    ,  1.950003    ,  0.000000    ,  1.950003    ,  1.953125    , 0.3122019E-02, 0.1601033    ,  1.950003    ,  106896.1    ,  106895.0    ,  1.097094    , 0.1026319E-02, 0.1026329E-02
         2.167,              ,  0.000000    ,  0.000000    ,  1.679998    ,  0.000000    ,  1.679998    ,  0.000000    ,  1.679998    ,  1.726562    , 0.4656443E-01,  2.771695    ,  1.679998    ,  106897.8    ,  106896.7    ,  1.143659    , 0.1069862E-02, 0.1069873E-02
         2.250,              ,  0.000000    ,  0.000000    ,  1.469999    ,  0.000000    ,  1.469999    ,  0.000000    ,  1.469999    ,  1.507812    , 0.3781371E-01,  2.572363    ,  1.469999    ,  106899.3    ,  106898.1    ,  1.181472    , 0.1105220E-02, 0.1105232E-02
         2.333,              ,  0.000000    ,  0.000000    ,  1.230002    ,  0.000000    ,  1.230002    ,  0.000000    ,  1.230002    ,  1.312500    , 0.8249841E-01,  6.707180    ,  1.230002    ,  106900.6    ,  106899.4    ,  1.263971    , 0.1182379E-02, 0.1182393E-02
         2.417,              ,  0.000000    ,  0.000000    , 0.8399985    ,  0.000000    , 0.8399985    ,  0.000000    , 0.8399985    , 0.9296875    , 0.8968896E-01,  0.000000    , 0.8399985    ,  106901.6    ,  106900.2    ,  1.353660    , 0.1266267E-02, 0.1266283E-02
         2.500,              ,  0.000000    ,  0.000000    , 0.3000004    ,  0.000000    , 0.3000004    ,  0.000000    , 0.3000004    , 0.3515625    , 0.5156208E-01,  0.000000    , 0.3000004    ,  106901.9    ,  106900.5    ,  1.405222    , 0.1314496E-02, 0.1314514E-02
         2.583,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.1093750    , 0.1093750    ,  0.000000    ,  0.000000    ,  106902.0    ,  106900.5    ,  1.514597    , 0.1416808E-02, 0.1416828E-02
         2.667,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.8593750E-01, 0.8593750E-01,  0.000000    ,  0.000000    ,  106902.1    ,  106900.5    ,  1.600534    , 0.1497196E-02, 0.1497219E-02
         2.750,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.2343750E-01, 0.2343750E-01,  0.000000    ,  0.000000    ,  106902.1    ,  106900.5    ,  1.623972    , 0.1519120E-02, 0.1519143E-02
         2.833,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.4687500E-01, 0.4687500E-01,  0.000000    ,  0.000000    ,  106902.2    ,  106900.5    ,  1.670847    , 0.1562968E-02, 0.1562992E-02
         2.917,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.3125000E-01, 0.3125000E-01,  0.000000    ,  0.000000    ,  106902.2    ,  106900.5    ,  1.702097    , 0.1592200E-02, 0.1592225E-02
