"","Time","DF01 Status","DF01 Trigger","DF01 Breach Depth","DF01 Top Width","DF01 Bottom Width","DF01 Flow Intact","DF01 Flow Failed","DF01 Flow","PF01 Status","PF01 Trigger","PF01 Flow"
       1,          0.000000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          58.999996,              0.000
       2,          0.016667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.000149,              0.000
       3,          0.033333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.000652,              0.000
       4,          0.050000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.001472,              0.000
       5,          0.066667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.002594,              0.000
       6,          0.083333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.004074,              0.000
       7,          0.100000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.006226,              0.000
       8,          0.116667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.009254,              0.000
       9,          0.133333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.013130,              0.000
      10,          0.150000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.017864,              0.000
      11,          0.166667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.023453,              0.000
      12,          0.183333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.029747,              0.000
      13,          0.200000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.036610,              0.000
      14,          0.216667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.043922,              0.000
      15,          0.233333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.051750,              0.000
      16,          0.250000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.060131,              0.000
      17,          0.266667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.069126,              0.000
      18,          0.283333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.079140,              0.000
      19,          0.300000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.090111,              0.000
      20,          0.316667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.101944,              0.000
      21,          0.333333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.114819,              0.000
      22,          0.350000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.129215,              0.000
      23,          0.366667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.145477,              0.000
      24,          0.383333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.163589,              0.000
      25,          0.400000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.183594,              0.000
      26,          0.416667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.205437,              0.000
      27,          0.433333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.229790,              0.000
      28,          0.450000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.258034,              0.000
      29,          0.466667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.290409,              0.000
      30,          0.483333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.326630,              0.000
      31,          0.500000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.366844,              0.000
      32,          0.516667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.415653,              0.000
      33,          0.533333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          59.479034,              0.000
      34,          0.550000,"Closed      ",           0.023536,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          59.555561,              0.006
      35,          0.566667,"Closed      ",           0.056868,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          59.645592,              0.037
      36,          0.583333,"Closed      ",           0.090201,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          59.750175,              0.094
      37,          0.600000,"Closed      ",           0.123532,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          59.862564,              0.178
      38,          0.616667,"Closed      ",           0.156867,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          59.982780,              0.291
      39,          0.633333,"Closed      ",           0.190199,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          60.108971,              0.433
      40,          0.650000,"Closed      ",           0.223531,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          60.242290,              0.606
      41,          0.666667,"Closed      ",           0.256862,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          60.381874,              0.811
      42,          0.683333,"Closed      ",           0.290192,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          60.527206,              1.050
      43,          0.700000,"Closed      ",           0.323523,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          60.675755,              1.323
      44,          0.716667,"Closed      ",           0.356852,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          60.827496,              1.631
      45,          0.733333,"Closed      ",           0.390184,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          60.982338,              1.976
      46,          0.750000,"Closed      ",           0.423514,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          61.140244,              2.359
      47,          0.766667,"Closed      ",           0.456847,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          61.299770,              2.780
      48,          0.783333,"Closed      ",           0.490180,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          61.460102,              3.241
      49,          0.800000,"Closed      ",           0.523507,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          61.620365,              3.743
      50,          0.816667,"Closed      ",           0.556841,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          61.781799,              4.287
