"M10_5m_003 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_10\Complete_Model\TUFLOW\runs\M10_5m_003.tcf]","Time (h)","H DF01.1 [M10_5m_003]","H DF01.2 [M10_5m_003]"
       1,          0.000000,     59.0000,     44.9990
       2,          0.016667,     59.0002,     44.9990
       3,          0.033333,     59.0006,     44.9990
       4,          0.050000,     59.0015,     44.9990
       5,          0.066667,     59.0026,     44.9990
       6,          0.083333,     59.0041,     44.9990
       7,          0.100000,     59.0062,     44.9990
       8,          0.116667,     59.0092,     44.9990
       9,          0.133333,     59.0131,     44.9990
      10,          0.150000,     59.0178,     44.9990
      11,          0.166667,     59.0234,     44.9990
      12,          0.183333,     59.0297,     44.9990
      13,          0.200000,     59.0366,     44.9990
      14,          0.216667,     59.0439,     44.9990
      15,          0.233333,     59.0517,     44.9990
      16,          0.250000,     59.0601,     44.9990
      17,          0.266667,     59.0691,     44.9990
      18,          0.283333,     59.0791,     44.9990
      19,          0.300000,     59.0900,     44.9990
      20,          0.316667,     59.1019,     44.9990
      21,          0.333333,     59.1147,     44.9990
      22,          0.350000,     59.1291,     44.9990
      23,          0.366667,     59.1454,     44.9990
      24,          0.383333,     59.1635,     44.9990
      25,          0.400000,     59.1834,     44.9990
      26,          0.416667,     59.2053,     44.9990
      27,          0.433333,     59.2296,     44.9990
      28,          0.450000,     59.2578,     44.9990
      29,          0.466667,     59.2902,     44.9990
      30,          0.483333,     59.3264,     44.9990
      31,          0.500000,     59.3666,     44.9990
      32,          0.516667,     59.4153,     44.9990
      33,          0.533333,     59.4785,     44.9990
      34,          0.550000,     59.5550,     44.9990
      35,          0.566667,     59.6449,     44.9990
      36,          0.583333,     59.7494,     44.9990
      37,          0.600000,     59.8618,     44.9990
      38,          0.616667,     59.9819,     44.9990
      39,          0.633333,     60.1081,     44.9990
      40,          0.650000,     60.2414,     44.9990
      41,          0.666667,     60.3809,     44.9990
      42,          0.683333,     60.5262,     44.9990
      43,          0.700000,     60.6748,     44.9990
      44,          0.716667,     60.8265,     44.9990
      45,          0.733333,     60.9814,     44.9990
      46,          0.750000,     61.1392,     44.9990
      47,          0.766667,     61.2988,     44.9990
      48,          0.783333,     61.4591,     44.9990
      49,          0.800000,     61.6194,     44.9990
      50,          0.816667,     61.7808,     44.9990
      51,          0.833333,     61.9416,     44.9990
      52,          0.850000,     62.1032,     44.9990
      53,          0.866667,     62.2630,     45.0281
      54,          0.883333,     62.4222,     45.1017
      55,          0.900000,     62.5810,     45.1725
      56,          0.916667,     62.7377,     45.2367
      57,          0.933333,     62.8941,     45.3623
      58,          0.950000,     63.0485,     45.4192
      59,          0.966667,     63.2004,     45.4680
      60,          0.983333,     63.3512,     45.5172
      61,          1.000000,     63.5000,     45.5674
      62,          1.016667,     63.6455,     45.6203
      63,          1.033333,     63.7887,     45.6771
      64,          1.050000,     63.8689,     46.8911
      65,          1.066667,     63.6280,     48.5228
      66,          1.083333,     63.3168,     48.5853
      67,          1.100000,     63.0240,     48.6102
      68,          1.116667,     62.6906,     48.6150
      69,          1.133333,     62.3721,     48.6304
      70,          1.150000,     62.0446,     48.6410
      71,          1.166667,     61.6963,     48.6436
      72,          1.183333,     61.3671,     48.6537
      73,          1.200000,     61.0090,     48.6509
      74,          1.216667,     60.6721,     48.6577
      75,          1.233333,     60.3091,     48.6533
      76,          1.250000,     59.9626,     48.6557
      77,          1.266667,     59.5959,     48.6501
      78,          1.283333,     59.2387,     48.6477
      79,          1.300000,     58.8704,     48.6418
      80,          1.316667,     58.5018,     48.6347
      81,          1.333333,     58.1337,     48.6282
      82,          1.350000,     57.7600,     48.6195
      83,          1.366667,     57.3847,     48.6101
      84,          1.383333,     57.0106,     48.6009
      85,          1.400000,     56.6336,     48.5908
      86,          1.416667,     56.2559,     48.5802
      87,          1.433333,     55.8765,     48.5690
      88,          1.450000,     55.4965,     48.5574
      89,          1.466667,     55.1155,     48.5454
      90,          1.483333,     54.7332,     48.5330
      91,          1.500000,     54.3502,     48.5204
      92,          1.516667,     53.9666,     48.5074
      93,          1.533333,     53.5800,     48.4934
      94,          1.550000,     53.1874,     48.4770
      95,          1.566667,     52.8250,     48.3717
      96,          1.583333,     52.4841,     48.2440
      97,          1.600000,     52.1664,     48.1291
      98,          1.616667,     51.8676,     48.0232
      99,          1.633333,     51.5827,     47.9247
     100,          1.650000,     51.3084,     47.8334
     101,          1.666667,     51.0391,     47.7427
     102,          1.683333,     50.7788,     47.6553
     103,          1.700000,     50.5272,     47.5717
     104,          1.716667,     50.2833,     47.4888
     105,          1.733333,     50.0460,     47.4047
     106,          1.750000,     49.8158,     47.3201
     107,          1.766667,     49.5918,     47.2351
     108,          1.783333,     49.3763,     47.1497
     109,          1.800000,     49.1707,     47.0639
     110,          1.816667,     48.9760,     46.9801
     111,          1.833333,     48.7889,     46.8978
     112,          1.850000,     48.6132,     46.8178
     113,          1.866667,     48.4516,     46.7376
     114,          1.883333,     48.3035,     46.6617
     115,          1.900000,     48.1678,     46.5901
     116,          1.916667,     48.0434,     46.5293
     117,          1.933333,     47.9306,     46.4711
     118,          1.950000,     47.8299,     46.4176
     119,          1.966667,     47.7411,     46.4012
     120,          1.983333,     47.6628,     46.3592
     121,          2.000000,     47.5943,     46.3207
     122,          2.016667,     47.5356,     46.2866
     123,          2.033334,     47.4830,     46.2574
     124,          2.050000,     47.4341,     46.2319
     125,          2.066667,     47.3886,     46.2085
     126,          2.083333,     47.3463,     46.1876
     127,          2.100000,     47.3061,     46.1683
     128,          2.116667,     47.2661,     46.1497
     129,          2.133333,     47.2259,     46.1312
     130,          2.150000,     47.1862,     46.1130
     131,          2.166667,     47.1458,     46.0948
     132,          2.183333,     47.1052,     46.0767
     133,          2.200000,     47.0671,     46.0588
     134,          2.216667,     47.0342,     46.0417
     135,          2.233333,     47.0059,     46.0276
     136,          2.250000,     46.9810,     46.0151
     137,          2.266667,     46.9585,     46.0040
     138,          2.283334,     46.9368,     45.9939
     139,          2.300000,     46.9150,     45.9837
     140,          2.316667,     46.8926,     45.9734
     141,          2.333333,     46.8701,     45.9633
     142,          2.350000,     46.8477,     45.9532
     143,          2.366667,     46.8268,     45.9438
     144,          2.383333,     46.8070,     45.9348
     145,          2.400000,     46.7890,     45.9266
     146,          2.416667,     46.7723,     45.9191
     147,          2.433333,     46.7564,     45.9118
     148,          2.450000,     46.7400,     45.9043
     149,          2.466667,     46.7219,     45.8968
     150,          2.483333,     46.7013,     45.8975
     151,          2.500000,     46.6805,     45.8893
     152,          2.516667,     46.6596,     45.8808
     153,          2.533334,     46.6372,     45.8694
     154,          2.550000,     46.6133,     45.8599
     155,          2.566667,     46.5904,     45.8503
     156,          2.583333,     46.5663,     45.8343
     157,          2.600000,     46.5406,     45.8252
     158,          2.616667,     46.5184,     45.8132
