"M10_5m_003 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_10\Complete_Model\TUFLOW\runs\M10_5m_003.tcf]","Time (h)","Q DF01 [M10_5m_003]","Q PF01 [M10_5m_003]"
       1,          0.000000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000
       3,          0.033333,           0.000,           0.000
       4,          0.050000,           0.000,           0.000
       5,          0.066667,           0.000,           0.000
       6,          0.083333,           0.000,           0.000
       7,          0.100000,           0.000,           0.000
       8,          0.116667,           0.000,           0.000
       9,          0.133333,           0.000,           0.000
      10,          0.150000,           0.000,           0.000
      11,          0.166667,           0.000,           0.000
      12,          0.183333,           0.000,           0.000
      13,          0.200000,           0.000,           0.000
      14,          0.216667,           0.000,           0.000
      15,          0.233333,           0.000,           0.000
      16,          0.250000,           0.000,           0.000
      17,          0.266667,           0.000,           0.000
      18,          0.283333,           0.000,           0.000
      19,          0.300000,           0.000,           0.000
      20,          0.316667,           0.000,           0.000
      21,          0.333333,           0.000,           0.000
      22,          0.350000,           0.000,           0.000
      23,          0.366667,           0.000,           0.000
      24,          0.383333,           0.000,           0.000
      25,          0.400000,           0.000,           0.000
      26,          0.416667,           0.000,           0.000
      27,          0.433333,           0.000,           0.000
      28,          0.450000,           0.000,           0.000
      29,          0.466667,           0.000,           0.000
      30,          0.483333,           0.000,           0.000
      31,          0.500000,           0.000,           0.000
      32,          0.516667,           0.000,           0.000
      33,          0.533333,           0.000,           0.000
      34,          0.550000,           0.000,           0.006
      35,          0.566667,           0.000,           0.037
      36,          0.583333,           0.000,           0.094
      37,          0.600000,           0.000,           0.178
      38,          0.616667,           0.000,           0.291
      39,          0.633333,           0.000,           0.433
      40,          0.650000,           0.000,           0.606
      41,          0.666667,           0.000,           0.811
      42,          0.683333,           0.000,           1.050
      43,          0.700000,           0.000,           1.323
      44,          0.716667,           0.000,           1.631
      45,          0.733333,           0.000,           1.976
      46,          0.750000,           0.000,           2.359
