"M10_5m_003 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_10\Complete_Model\TUFLOW\runs\M10_5m_003.tcf]","Time (h)","SQ DF01 [M10_5m_003]"
       1,          0.000000,      0.0000
       2,          0.016667,      0.0000
       3,          0.033333,      0.0000
       4,          0.050000,      0.0000
       5,          0.066667,      0.0000
       6,          0.083333,      0.0000
       7,          0.100000,      0.0000
       8,          0.116667,      0.0000
       9,          0.133333,      0.0000
      10,          0.150000,      0.0000
      11,          0.166667,      0.0000
      12,          0.183333,      0.0000
      13,          0.200000,      0.0000
      14,          0.216667,      0.0000
      15,          0.233333,      0.0000
      16,          0.250000,      0.0000
      17,          0.266667,      0.0000
      18,          0.283333,      0.0000
      19,          0.300000,      0.0000
      20,          0.316667,      0.0000
      21,          0.333333,      0.0000
      22,          0.350000,      0.0000
      23,          0.366667,      0.0000
      24,          0.383333,      0.0000
      25,          0.400000,      0.0000
      26,          0.416667,      0.0000
      27,          0.433333,      0.0000
      28,          0.450000,      0.0000
      29,          0.466667,      0.0000
      30,          0.483333,      0.0000
      31,          0.500000,      0.0000
      32,          0.516667,      0.0000
      33,          0.533333,      0.0000
      34,          0.550000,      0.0061
      35,          0.566667,      0.0366
      36,          0.583333,      0.0935
      37,          0.600000,      0.1779
      38,          0.616667,      0.2907
      39,          0.633333,      0.4331
      40,          0.650000,      0.6062
      41,          0.666667,      0.8114
      42,          0.683333,      1.0498
      43,          0.700000,      1.3226
      44,          0.716667,      1.6308
      45,          0.733333,      1.9758
      46,          0.750000,      2.3586
      47,          0.766667,      2.7802
      48,          0.783333,      3.2415
      49,          0.800000,      3.7432
      50,          0.816667,      4.2868
      51,          0.833333,      4.8725
      52,          0.850000,      5.5016
      53,          0.866667,      6.1743
      54,          0.883333,      6.8919
      55,          0.900000,      7.6543
      56,          0.916667,      8.4622
      57,          0.933333,      9.3170
      58,          0.950000,     10.2184
      59,          0.966667,     11.1665
      60,          0.983333,     12.1632
      61,          1.000000,     13.2072
      62,          1.016667,     14.2991
      63,          1.033333,     15.4391
      64,          1.050000,    104.1047
      65,          1.066667,    259.4987
      66,          1.083333,    262.4765
      67,          1.100000,    266.6024
      68,          1.116667,    267.9094
      69,          1.133333,    270.3342
      70,          1.150000,    272.0988
      71,          1.166667,    272.4256
      72,          1.183333,    274.0892
      73,          1.200000,    273.6850
      74,          1.216667,    274.8185
      75,          1.233333,    274.0581
      76,          1.250000,    274.4922
      77,          1.266667,    273.4828
      78,          1.283333,    273.1230
      79,          1.300000,    272.0010
      80,          1.316667,    270.8264
      81,          1.333333,    269.7056
      82,          1.350000,    268.1831
      83,          1.366667,    266.5472
      84,          1.383333,    264.9799
      85,          1.400000,    263.2411
      86,          1.416667,    261.4403
      87,          1.433333,    259.5155
      88,          1.450000,    257.5577
      89,          1.466667,    255.5362
      90,          1.483333,    253.4458
      91,          1.500000,    251.3064
      92,          1.516667,    249.1063
      93,          1.533333,    246.7551
      94,          1.550000,    243.9854
      95,          1.566667,    225.0957
      96,          1.583333,    204.0931
      97,          1.600000,    185.6056
      98,          1.616667,    169.1484
      99,          1.633333,    154.2849
     100,          1.650000,    140.7253
     101,          1.666667,    128.1174
     102,          1.683333,    116.5840
     103,          1.700000,    106.0322
     104,          1.716667,     96.3544
     105,          1.733333,     87.4512
     106,          1.750000,     79.2904
     107,          1.766667,     71.7862
     108,          1.783333,     64.9665
     109,          1.800000,     58.8260
     110,          1.816667,     53.3272
     111,          1.833333,     48.3335
     112,          1.850000,     43.8932
     113,          1.866667,     40.0229
     114,          1.883333,     36.6534
     115,          1.900000,     33.7111
     116,          1.916667,     31.1332
     117,          1.933333,     28.8960
     118,          1.950000,     26.9764
     119,          1.966667,     25.3431
     120,          1.983333,     23.9497
     121,          2.000000,     22.7672
     122,          2.016667,     21.7798
     123,          2.033334,     20.9152
     124,          2.050000,     20.1285
     125,          2.066667,     19.4119
     126,          2.083333,     18.7578
     127,          2.100000,     18.1468
     128,          2.116667,     17.5503
     129,          2.133333,     16.9633
     130,          2.150000,     16.3918
     131,          2.166667,     15.8223
     132,          2.183333,     15.2614
     133,          2.200000,     14.7432
     134,          2.216667,     14.3056
     135,          2.233333,     13.9328
     136,          2.250000,     13.6093
     137,          2.266667,     13.3234
     138,          2.283334,     13.0481
     139,          2.300000,     12.7736
     140,          2.316667,     12.4967
     141,          2.333333,     12.2213
     142,          2.350000,     11.9503
     143,          2.366667,     11.7009
     144,          2.383333,     11.4665
     145,          2.400000,     11.2561
     146,          2.416667,     11.0619
     147,          2.433333,     10.8787
     148,          2.450000,     10.6920
     149,          2.466667,     10.4886
     150,          2.483333,     10.2585
     151,          2.500000,     10.0294
     152,          2.516667,      9.8011
     153,          2.533334,      9.5600
     154,          2.550000,      9.3067
     155,          2.566667,      9.0661
     156,          2.583333,      8.8180
     157,          2.600000,      8.5565
     158,          2.616667,      8.3331
     159,          2.633333,      8.1031
     160,          2.650000,      7.8973
     161,          2.666667,      7.7040
     162,          2.683333,      7.5403
     163,          2.700000,      7.3606
     164,          2.716667,      7.1562
     165,          2.733334,      6.9344
     166,          2.750000,      6.7238
     167,          2.766667,      6.4900
     168,          2.783334,      6.2575
     169,          2.800000,      6.0165
     170,          2.816667,      5.7688
     171,          2.833333,      5.5141
     172,          2.850000,      5.2566
     173,          2.866667,      4.9910
     174,          2.883333,      4.7471
     175,          2.900000,      4.5041
     176,          2.916667,      4.2695
     177,          2.933333,      4.0347
     178,          2.950000,      3.8086
     179,          2.966667,      3.6001
     180,          2.983334,      3.4027
     181,          3.000000,      3.2246
