"M11_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_001.tcf]","Time(h)","F ds1 [M11_5m_001]","F ds2 [M11_5m_001]","F ds3 [M11_5m_001]","F ds4 [M11_5m_001]","F ds5 [M11_5m_001]","F ds_weir [M11_5m_001]","F FC01.01 [M11_5m_001]","F FC01.02 [M11_5m_001]","F FC01.03 [M11_5m_001]","F FC01.04 [M11_5m_001]","F FC01.05 [M11_5m_001]","F FC01.06 [M11_5m_001]","F FC01.07 [M11_5m_001]","F FC01.08 [M11_5m_001]","F FC01.09 [M11_5m_001]","F FC01.12 [M11_5m_001]","F FC01.13 [M11_5m_001]","F FC01.14 [M11_5m_001]","F FC01.15 [M11_5m_001]","F FC01.16 [M11_5m_001]","F FC01.17 [M11_5m_001]","F FC01.18 [M11_5m_001]","F FC01.19 [M11_5m_001]","F FC01.1_R [M11_5m_001]","F FC01.20 [M11_5m_001]","F FC01.21 [M11_5m_001]","F FC01.22 [M11_5m_001]","F FC01.23 [M11_5m_001]","F FC01.24 [M11_5m_001]","F FC01.25 [M11_5m_001]","F FC01.26 [M11_5m_001]","F FC01.27 [M11_5m_001]","F FC01.28A [M11_5m_001]","F FC01.28B [M11_5m_001]","F FC01.29 [M11_5m_001]","F FC01.2_R [M11_5m_001]","F FC01.30 [M11_5m_001]","F FC01.31 [M11_5m_001]","F FC01.32 [M11_5m_001]","F FC01.33 [M11_5m_001]","F FC01.34 [M11_5m_001]","F FC01.36 [M11_5m_001]","F FC01.37 [M11_5m_001]","F FC01.38 [M11_5m_001]","F FC01.39 [M11_5m_001]","F FC01.40 [M11_5m_001]","F FC02.01 [M11_5m_001]","F FC02.02 [M11_5m_001]","F FC02.03 [M11_5m_001]","F FC02.04 [M11_5m_001]","F FC02.05 [M11_5m_001]","F FC02.06 [M11_5m_001]","F FC04.1_C [M11_5m_001]","F FC_weir1 [M11_5m_001]"
       1,          0.000000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,,E,E,E,E,E,E,E,E,E,E,E,,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,,E
       2,          0.016667,E,,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,,*,E,E,E,E,E,*,G,E
       3,          0.033333,E,,,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,,,*,E,E,E,E,*,*,G,E
       4,          0.050000,E,,,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,,,,,*,E,E,E,E,*,*,G,E
       5,          0.066667,E,,,,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,,,,,*,E,E,E,E,,*,G,E
       6,          0.083333,E,,,,,E,E,E,E,E,E,E,E,,,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E,,,,,*,E,E,E,E,,*,G,E
       7,          0.100000,,,,,,E,E,E,E,E,E,E,,,,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E,,,,,*,E,E,E,E,,*,G,E
       8,          0.116667,,,,,,E,E,E,E,E,E,E,,,,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E,,,,,*,E,E,E,E,,*,G,E
       9,          0.133333,,,,,,E,E,E,E,E,E,,,,,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E,,,,,*,E,E,E,E,,*,G,E
      10,          0.150000,,,,,,E,E,E,E,E,,,,,,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E,,,,,*,E,E,E,E,,*,G,E
