"M11_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_001.tcf]","Time (h)","H Loc1_P [M11_5m_001]"
       1,          0.000000,     39.0013
       2,          0.016667, -99999.0000
       3,          0.033333, -99999.0000
       4,          0.050000, -99999.0000
       5,          0.066667, -99999.0000
       6,          0.083333, -99999.0000
       7,          0.100000, -99999.0000
       8,          0.116667, -99999.0000
       9,          0.133333, -99999.0000
      10,          0.150000, -99999.0000
      11,          0.166667, -99999.0000
      12,          0.183333, -99999.0000
      13,          0.200000, -99999.0000
      14,          0.216667, -99999.0000
      15,          0.233333, -99999.0000
      16,          0.250000, -99999.0000
      17,          0.266667, -99999.0000
      18,          0.283333, -99999.0000
      19,          0.300000, -99999.0000
      20,          0.316667, -99999.0000
      21,          0.333333, -99999.0000
      22,          0.350000, -99999.0000
      23,          0.366667, -99999.0000
      24,          0.383333, -99999.0000
      25,          0.400000, -99999.0000
      26,          0.416667,     39.0069
      27,          0.433333,     39.1105
      28,          0.450000,     39.4257
      29,          0.466667,     39.7610
      30,          0.483333,     39.9556
      31,          0.500000,     40.1206
      32,          0.516667,     40.2625
      33,          0.533333,     40.3913
      34,          0.550000,     40.5142
      35,          0.566667,     40.6386
      36,          0.583333,     40.7765
      37,          0.600000,     40.9396
      38,          0.616667,     41.1055
      39,          0.633333,     41.2551
      40,          0.650000,     41.3781
      41,          0.666667,     41.5204
      42,          0.683333,     41.6442
      43,          0.700000,     41.7502
      44,          0.716667,     41.8339
      45,          0.733333,     41.9068
      46,          0.750000,     41.9825
      47,          0.766667,     42.0708
      48,          0.783333,     42.1596
      49,          0.800000,     42.2429
      50,          0.816667,     42.3062
      51,          0.833333,     42.3570
      52,          0.850000,     42.3989
      53,          0.866667,     42.4264
      54,          0.883333,     42.4481
      55,          0.900000,     42.4687
      56,          0.916667,     42.4892
      57,          0.933333,     42.5119
      58,          0.950000,     42.5369
      59,          0.966667,     42.5637
      60,          0.983333,     42.5932
      61,          1.000000,     42.6255
      62,          1.016667,     42.6588
      63,          1.033333,     42.6920
      64,          1.050000,     42.7253
      65,          1.066667,     42.7582
      66,          1.083333,     42.7911
      67,          1.100000,     42.8219
      68,          1.116667,     42.8510
      69,          1.133333,     42.8775
      70,          1.150000,     42.9002
      71,          1.166667,     42.9191
      72,          1.183333,     42.9342
      73,          1.200000,     42.9461
      74,          1.216667,     42.9549
      75,          1.233333,     42.9611
      76,          1.250000,     42.9649
      77,          1.266667,     42.9666
      78,          1.283333,     42.9664
      79,          1.300000,     42.9646
      80,          1.316667,     42.9611
      81,          1.333333,     42.9562
      82,          1.350000,     42.9500
      83,          1.366667,     42.9425
      84,          1.383333,     42.9336
      85,          1.400000,     42.9241
      86,          1.416667,     42.9133
      87,          1.433333,     42.9017
      88,          1.450000,     42.8893
      89,          1.466667,     42.8761
      90,          1.483333,     42.8623
      91,          1.500000,     42.8474
      92,          1.516667,     42.8320
      93,          1.533333,     42.8158
      94,          1.550000,     42.7988
      95,          1.566667,     42.7807
      96,          1.583333,     42.7614
      97,          1.600000,     42.7408
      98,          1.616667,     42.7192
      99,          1.633333,     42.6968
     100,          1.650000,     42.6737
     101,          1.666667,     42.6499
     102,          1.683333,     42.6255
     103,          1.700000,     42.6005
     104,          1.716667,     42.5748
     105,          1.733333,     42.5486
     106,          1.750000,     42.5213
     107,          1.766667,     42.4934
     108,          1.783333,     42.4647
     109,          1.800000,     42.4352
     110,          1.816667,     42.4048
     111,          1.833333,     42.3735
     112,          1.850000,     42.3413
     113,          1.866667,     42.3082
