"M11_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_001.tcf]","Time (h)","SQ FC01.1_R [M11_5m_001]","SQ FC04.1_C [M11_5m_001]","SQ FC01.2_R [M11_5m_001]","SQ FC_weir1 [M11_5m_001]","SQ ds_weir [M11_5m_001]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0195,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0382,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0508,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0663,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0747,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0911,      0.0000,      0.0000
      12,          0.183333,      0.0000,      0.0000,      0.0990,      0.0000,      0.0000
      13,          0.200000,      0.0000,      0.0000,      0.1033,      0.0000,      0.0000
      14,          0.216667,      0.0000,      0.0000,      0.1081,      0.0000,      0.0000
      15,          0.233333,      1.0109,      0.0000,      0.1124,      0.0000,      0.0000
      16,          0.250000,      1.8972,      0.0000,      0.1170,      0.0000,      0.0000
      17,          0.266667,      2.5660,      0.0000,      0.1140,      0.0000,      0.0000
      18,          0.283333,      3.1276,      0.0000,      0.1338,      0.0000,      0.0000
      19,          0.300000,      3.6439,      0.0000,      0.1429,      0.0000,      0.0000
      20,          0.316667,      4.1524,      0.0000,      0.1526,      0.0000,      0.0000
      21,          0.333333,      4.6684,      0.0000,      0.1557,      0.0000,      0.0000
      22,          0.350000,      5.1961,      0.0000,      0.1657,      0.0000,      0.0000
      23,          0.366667,      5.7719,      0.0000,      0.1578,      0.0000,      0.0000
      24,          0.383333,      6.4492,      0.0000,      0.1813,      0.0000,      0.0000
      25,          0.400000,      7.2340,      0.0000,      0.1935,      0.0447,      0.0000
      26,          0.416667,      8.1007,      0.0000,      0.2071,      0.4329,      0.0000
      27,          0.433333,      9.0147,      0.0000,      0.2312,      0.9583,      0.0000
      28,          0.450000,     10.0178,      0.0000,      0.2647,      1.5920,      0.0000
      29,          0.466667,     11.2670,      0.0000,      0.3050,      2.4130,      0.0000
      30,          0.483333,     12.7656,      0.0000,      0.3629,      3.5099,      0.0000
      31,          0.500000,     14.4739,      0.0000,      0.5963,      4.9162,      0.0000
      32,          0.516667,     16.3635,      0.0000,      1.9519,      6.5900,      0.0000
      33,          0.533333,     19.3926,      0.0000,      3.9437,      8.8184,      0.0000
      34,          0.550000,     24.0256,      0.0000,      6.0702,     12.5537,      0.0000
      35,          0.566667,     28.7690,      0.0000,      7.5097,     17.0947,      0.0000
      36,          0.583333,     32.0590,      0.0000,      8.8317,     20.5915,      0.0000
      37,          0.600000,     34.9187,      0.0000,      9.7919,     23.6977,      0.0000
      38,          0.616667,     36.8604,      0.0000,     11.9365,     26.1229,      0.0000
      39,          0.633333,     39.2038,      0.0000,     14.4965,     28.4267,      0.0000
