"M11_5m_002 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_002.tcf]","Time(h)","LC ds1 [M11_5m_002]","LC ds2 [M11_5m_002]","LC ds3 [M11_5m_002]","LC ds4 [M11_5m_002]","LC ds5 [M11_5m_002]","LC ds_weir [M11_5m_002]","LC FC01.01 [M11_5m_002]","LC FC01.02 [M11_5m_002]","LC FC01.03 [M11_5m_002]","LC FC01.04 [M11_5m_002]","LC FC01.05 [M11_5m_002]","LC FC01.06 [M11_5m_002]","LC FC01.07 [M11_5m_002]","LC FC01.08 [M11_5m_002]","LC FC01.09 [M11_5m_002]","LC FC01.10_W [M11_5m_002]","BB LC 1 FC01.11_B [M11_5m_002]","BB LC 2 FC01.11_B [M11_5m_002]","LC FC01.12 [M11_5m_002]","LC FC01.13 [M11_5m_002]","LC FC01.14 [M11_5m_002]","LC FC01.15 [M11_5m_002]","LC FC01.16 [M11_5m_002]","LC FC01.17 [M11_5m_002]","LC FC01.18 [M11_5m_002]","LC FC01.19 [M11_5m_002]","LC FC01.20 [M11_5m_002]","LC FC01.21 [M11_5m_002]","LC FC01.22 [M11_5m_002]","LC FC01.23 [M11_5m_002]","LC FC01.24 [M11_5m_002]","LC FC01.25 [M11_5m_002]","LC FC01.26 [M11_5m_002]","LC FC01.27 [M11_5m_002]","LC FC01.28A [M11_5m_002]","LC FC01.28B [M11_5m_002]","LC FC01.29 [M11_5m_002]","LC FC01.30 [M11_5m_002]","LC FC01.31 [M11_5m_002]","LC FC01.32 [M11_5m_002]","LC FC01.33 [M11_5m_002]","LC FC01.34 [M11_5m_002]","BB LC 1 FC01.35_B [M11_5m_002]","BB LC 2 FC01.35_B [M11_5m_002]","LC FC01.36 [M11_5m_002]","LC FC01.37 [M11_5m_002]","LC FC01.38 [M11_5m_002]","LC FC01.39 [M11_5m_002]","LC FC01.40 [M11_5m_002]","LC FC02.01 [M11_5m_002]","LC FC02.02 [M11_5m_002]","LC FC02.03 [M11_5m_002]","LC FC02.04 [M11_5m_002]","LC FC02.05 [M11_5m_002]","LC FC02.06 [M11_5m_002]","Entry LC FC04.1_C [M11_5m_002]","Additional LC FC04.1_C [M11_5m_002]","Exit LC FC04.1_C [M11_5m_002]","LC FC_weir1 [M11_5m_002]"
       1,          0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       2,          0.016667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       3,          0.033333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       4,          0.050000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       5,          0.066667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       6,          0.083333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       7,          0.100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       8,          0.116667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       9,          0.133333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      10,          0.150000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
