"M11_5m_002 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_002.tcf]","Node ID","Hmax","Time Hmax"
     1,"ds1.1",     39.3395,      1.2740
     2,"ds1.2",     39.2732,      1.2776
     3,"ds2.2",     38.9501,      1.2877
     4,"ds3.2",     37.5872,      1.2966
     5,"ds4.2",     36.1541,      1.3230
     6,"ds5.2",     34.5750,      1.3456
     7,"ds_weir.2",     33.6926,      1.3457
     8,"FC01.01.1",     39.4144,      1.2707
     9,"FC01.02.1",     39.4360,      1.2687
    10,"FC01.03.1",     39.4756,      1.2679
    11,"FC01.04.1",     39.8176,      1.2521
    12,"FC01.05.1",     40.1461,      1.2362
    13,"FC01.06.1",     40.3505,      1.2301
    14,"FC01.07.1",     40.3881,      1.2274
    15,"FC01.08.1",     40.4952,      1.2248
    16,"FC01.09.1",     40.8020,      1.2129
    17,"FC01.10_W.1",     42.1567,      1.2043
    18,"FC01.12.1",     42.1734,      1.2033
    19,"FC01.13.1",     42.2201,      1.2001
    20,"FC01.14.1",     42.3075,      1.1943
    21,"FC01.15.1",     42.4287,      1.1784
    22,"FC01.16.1",     42.5656,      1.1600
    23,"FC01.17.1",     42.6539,      1.1502
    24,"FC01.18.1",     42.6774,      1.1510
    25,"FC01.19.1",     42.6980,      1.1506
    26,"FC01.20.1",     42.8214,      1.1465
    27,"FC01.21.1",     42.8557,      1.1432
    28,"FC01.22.1",     42.8783,      1.1432
    29,"FC01.23.1",     42.9380,      1.1370
    30,"FC01.24.1",     43.0055,      1.1348
    31,"FC01.25.1",     43.2590,      1.1329
    32,"FC01.26.1",     43.6501,      1.1183
    33,"FC01.27.1",     44.0778,      1.0929
    34,"FC01.28A.1",     44.8480,      1.0824
    35,"FC01.28B.1",     45.1542,      1.0835
    36,"FC01.29.1",     45.5218,      1.0755
    37,"FC01.30.1",     46.1481,      1.0704
    38,"FC01.31.1",     46.5743,      1.0673
    39,"FC01.32.1",     46.8040,      1.0650
    40,"FC01.33.1",     46.8384,      1.0624
    41,"FC01.34.1",     47.2251,      1.0565
    42,"FC01.35_B.1",     49.3786,      1.0438
    43,"FC01.36.1",     49.4177,      1.0462
    44,"FC01.37.1",     49.5243,      1.0442
    45,"FC01.38.1",     49.7383,      1.0325
    46,"FC01.39.1",     50.3851,      1.0071
    47,"FC01.40.1",     53.2813,      0.9256
    48,"FC02.01.1",     42.9474,      1.1368
    49,"FC02.02.1",     42.9555,      1.1406
    50,"FC02.03.1",     42.9784,      1.1322
    51,"FC02.04.1",     43.2845,      0.7926
    52,"FC02.05.1",     43.2766,      0.7966
    53,"FC02.06.1",     43.3323,      0.7732
    54,"FC04.1_C.1",     44.9236,      1.3226
    55,"FC04.1_C.2",     43.5098,      1.3233
