No,Node,Bed Level,Top Level,nChannels,Channels
    44,"ds1.1",      35.988,      44.231,    2,"FC01.01","ds1"
    50,"ds1.2",      35.899,      47.377,    2,"ds1","ds2"
    51,"ds2.2",      35.319,      46.797,    2,"ds2","ds3"
    54,"ds3.2",      34.291,      45.769,    2,"ds3","ds4"
    55,"ds4.2",      33.188,      44.666,    2,"ds4","ds5"
    52,"ds5.2",      31.259,      42.737,    2,"ds_weir","ds5"
    53,"ds_weir.2",      32.579,      42.737,    1,"ds_weir"
    43,"FC01.01.1",      36.055,      39.112,    2,"FC01.02","FC01.01"
    42,"FC01.02.1",      36.083,      39.140,    2,"FC01.03","FC01.02"
    41,"FC01.03.1",      36.129,      39.914,    2,"FC01.04","FC01.03"
    40,"FC01.04.1",      36.201,      41.326,    2,"FC01.05","FC01.04"
    39,"FC01.05.1",      36.288,      41.413,    2,"FC01.06","FC01.05"
    38,"FC01.06.1",      36.391,      42.526,    2,"FC01.07","FC01.06"
    37,"FC01.07.1",      36.418,      42.552,    2,"FC01.08","FC01.07"
    36,"FC01.08.1",      36.779,      42.913,    2,"FC01.09","FC01.08"
    35,"FC01.09.1",      37.461,      41.838,    3,"FC01.09","FC01.11_B","FC01.10_W"
    48,"FC01.10_W.1",      37.599,      41.740,    3,"FC01.12","FC01.11_B","FC01.10_W"
    47,"FC01.12.1",      38.461,      41.445,    2,"FC01.13","FC01.12"
    34,"FC01.13.1",      38.856,      41.810,    2,"FC01.14","FC01.13"
    33,"FC01.14.1",      38.897,      41.850,    2,"FC01.15","FC01.14"
    32,"FC01.15.1",      38.938,      41.870,    2,"FC01.16","FC01.15"
    31,"FC01.16.1",      39.001,      42.012,    2,"FC01.17","FC01.16"
    30,"FC01.17.1",      39.035,      42.045,    2,"FC01.18","FC01.17"
    29,"FC01.18.1",      39.099,      42.168,    2,"FC01.19","FC01.18"
    28,"FC01.19.1",      39.245,      42.419,    2,"FC01.20","FC01.19"
    27,"FC01.20.1",      39.520,      43.249,    2,"FC01.20","FC01.21"
    46,"FC01.21.1",      39.199,      42.928,    2,"FC01.22","FC01.21"
    26,"FC01.22.1",      39.702,      43.431,    2,"FC01.23","FC01.22"
    25,"FC01.23.1",      39.865,      43.215,    3,"FC01.24","FC02.01","FC01.23"
    18,"FC01.24.1",      40.280,      44.009,    2,"FC01.25","FC01.24"
    17,"FC01.25.1",      40.615,      44.344,    2,"FC01.26","FC01.25"
    16,"FC01.26.1",      41.020,      44.749,    2,"FC01.27","FC01.26"
    15,"FC01.27.1",      41.172,      44.956,    2,"FC01.27","FC01.28A"
    49,"FC01.28A.1",      41.537,      45.512,    2,"FC01.28B","FC01.28A"
    14,"FC01.28B.1",      41.828,      45.802,    2,"FC01.29","FC01.28B"
    13,"FC01.29.1",      42.273,      46.247,    2,"FC01.30","FC01.29"
    12,"FC01.30.1",      42.585,      46.361,    2,"FC01.31","FC01.30"
    11,"FC01.31.1",      42.854,      46.708,    2,"FC01.32","FC01.31"
    10,"FC01.32.1",      43.031,      46.884,    3,"FC01.33","FC01.32","FC_weir1"
     9,"FC01.33.1",      43.637,      47.490,    3,"FC01.34","FC01.33","FC_weir1"
     8,"FC01.34.1",      43.939,      47.644,    2,"FC01.34","FC01.35_B"
     7,"FC01.35_B.1",      44.055,      47.942,    2,"FC01.36","FC01.35_B"
     6,"FC01.36.1",      44.307,      48.684,    2,"FC01.37","FC01.36"
     5,"FC01.37.1",      44.606,      49.821,    2,"FC01.38","FC01.37"
     4,"FC01.38.1",      45.016,      51.443,    2,"FC01.39","FC01.38"
     3,"FC01.39.1",      45.983,      56.245,    2,"FC01.39","FC01.40"
    45,"FC01.40.1",      48.420,      56.244,    1,"FC01.40"
    24,"FC02.01.1",      39.974,      43.762,    2,"FC02.02","FC02.01"
    23,"FC02.02.1",      40.399,      44.187,    2,"FC02.03","FC02.02"
    22,"FC02.03.1",      41.766,      45.554,    2,"FC02.04","FC02.03"
    21,"FC02.04.1",      40.499,      44.954,    2,"FC02.05","FC02.04"
    20,"FC02.05.1",      40.499,      45.923,    2,"FC02.06","FC02.05"
    19,"FC02.06.1",      40.999,      45.923,    1,"FC02.06"
     1,"FC04.1_C.1",      43.349,      49.633,    1,"FC04.1_C"
     2,"FC04.1_C.2",      42.749,      49.033,    1,"FC04.1_C"
