"M11_5m_002 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_002.tcf]","Time (h)","SQ FC04.1_C [M11_5m_002]","SQ FC_weir1 [M11_5m_002]","SQ ds_weir [M11_5m_002]","SQ FC01.35_B [M11_5m_002]","SQ FC01.11_B [M11_5m_002]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000,      0.0002,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000,      0.0001,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000,      0.0001,      0.0008
       7,          0.100000,      0.0000,      0.0000,      0.0000,      0.0002,      0.0011
       8,          0.116667,      0.0000,      0.0000,      0.0000,      0.0007,      0.0068
       9,          0.133333,      0.0000,      0.0000,      0.0000,      0.0007,      0.0348
      10,          0.150000,      0.0000,      0.0000,      0.0000,      0.0007,      0.0729
      11,          0.166667,      0.0000,      0.0000,      0.0000,      0.0010,      0.0957
      12,          0.183333,      0.0000,      0.0000,      0.0000,      0.0872,      0.1025
      13,          0.200000,      0.0000,      0.0000,      0.0000,      0.6135,      0.1060
      14,          0.216667,      0.0000,      0.0000,      0.0000,      1.4103,      0.1160
      15,          0.233333,      0.0000,      0.0000,      0.0000,      2.1726,      0.1239
      16,          0.250000,      0.0000,      0.0000,      0.0000,      2.7166,      0.1276
      17,          0.266667,      0.0000,      0.0000,      0.0000,      3.1861,      0.1255
      18,          0.283333,      0.0000,      0.0000,      0.0000,      3.6011,      0.1377
      19,          0.300000,      0.0000,      0.0000,      0.0000,      4.0046,      0.1489
      20,          0.316667,      0.0000,      0.0000,      0.0000,      4.4344,      0.1613
      21,          0.333333,      0.0000,      0.0000,      0.0000,      4.9021,      0.1665
      22,          0.350000,      0.0000,      0.0000,      0.0000,      5.4033,      0.1795
      23,          0.366667,      0.0000,      0.0000,      0.0000,      5.9644,      0.1919
      24,          0.383333,      0.0000,      0.0000,      0.0000,      6.6465,      0.2033
      25,          0.400000,      0.0000,      0.1307,      0.0000,      7.4613,      0.2213
      26,          0.416667,      0.0000,      0.5837,      0.0000,      8.3825,      0.2349
      27,          0.433333,      0.0000,      1.1616,      0.0000,      9.3618,      0.2569
      28,          0.450000,      0.0000,      1.8645,      0.0000,     10.4288,      0.2957
      29,          0.466667,      0.0000,      2.7681,      0.0000,     11.7676,      0.3602
      30,          0.483333,      0.0000,      3.9976,      0.0000,     13.4013,      0.6258
      31,          0.500000,      0.0000,      5.5510,      0.0000,     15.2560,      2.2359
      32,          0.516667,      0.0000,      7.4047,      0.0000,     17.2950,      4.0872
      33,          0.533333,      0.0000,      9.8521,      0.0000,     20.2026,      5.4861
      34,          0.550000,      0.0000,     13.6120,      0.0000,     25.0538,      6.7244
      35,          0.566667,      0.0000,     18.6510,      0.0000,     31.5907,      7.9676
      36,          0.583333,      0.0000,     24.8455,      0.0000,     40.2462,      9.0870
      37,          0.600000,      0.0000,     30.2367,      0.0000,     44.3794,     10.2172
      38,          0.616667,      0.0000,     35.0137,      0.0000,     50.3891,     12.2641
      39,          0.633333,      0.0000,     39.5781,      0.0000,     55.2069,     14.7045
